ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA	clonal_complex
1718	14	419	47	20	179	405	452	
1719	100	92	84	244	98	395	98	
1720	14	75	321	43	5	7	453	
1721	437	273	40	94	449	101	454	
1722	41	46	322	20	6	316	455	
1723	13	224	40	42	12	23	23	
1724	438	90	323	183	139	53	41	
1725	318	420	188	527	85	84	456	
1726	220	221	324	81	243	406	412	
1727	25	82	325	22	18	85	25	
1728	25	77	192	22	18	407	222	
1729	229	77	80	465	277	367	25	
1730	247	225	166	276	450	374	408	
1731	88	26	30	26	21	87	457	
1732	30	28	326	151	22	29	30	
1733	380	13	276	528	240	408	208	
1734	439	28	31	151	22	29	30	
1735	440	421	10	529	451	116	216	
1736	441	422	68	412	213	132	272	
1737	84	11	25	42	452	6	4	
1738	84	11	3	243	453	409	303	
1739	4	36	8	163	206	83	458	
1740	255	26	30	282	21	87	28	
1741	33	26	30	25	21	27	28	
1742	88	26	327	213	21	229	28	
1743	442	288	249	424	454	410	291	
1744	19	73	15	7	5	6	22	
1745	19	73	12	9	8	9	11	
1746	10	7	12	9	6	9	2	
1747	5	2	12	7	6	6	11	
1748	10	7	12	9	5	9	8	
1749	14	7	18	12	14	18	1	
1750	75	67	10	17	15	9	14	
1751	71	65	143	75	73	9	64	
1752	36	31	35	14	73	8	8	
1753	36	31	35	8	26	34	8	
1754	10	7	16	42	5	9	2	
1755	84	11	3	7	40	71	4	
1756	39	35	143	75	29	9	36	
1757	7	6	143	8	7	8	13	
1758	7	6	6	7	7	8	13	
1759	5	2	8	36	6	6	11	
1760	312	90	328	530	76	337	291	
1761	150	423	153	531	455	146	166	
1762	127	90	40	361	76	100	126	
1763	75	2	18	110	325	310	459	
1764	13	140	17	16	456	322	460	
1765	443	86	40	532	61	58	461	
1766	444	110	35	533	140	74	105	
1767	93	110	18	534	164	9	3	
1768	111	47	49	16	41	411	4	
1769	152	424	108	535	5	74	462	
1770	2	157	44	536	163	9	463	
1771	127	90	329	537	2	226	464	
1772	25	77	27	22	18	85	91	
1773	37	20	330	62	115	221	22	
1774	173	413	8	538	457	412	465	
1775	61	46	25	183	9	45	368	
1776	10	19	12	9	5	9	466	
1777	10	7	12	9	458	9	2	
1778	10	7	12	9	84	9	2	
1779	10	19	12	9	84	9	2	
1780	10	19	12	9	5	413	2	
1781	18	14	12	9	5	18	2	
1782	10	7	12	9	5	9	9	
1783	14	13	18	205	14	18	2	
1784	104	100	54	123	104	9	48	
1785	18	14	12	123	5	18	3	
1786	10	60	58	9	6	9	16	
1787	16	16	20	78	8	12	104	
1788	16	16	20	9	5	12	104	
1789	18	14	12	99	5	18	21	
1790	10	187	12	234	5	9	2	
1791	10	19	12	9	5	9	15	
1792	14	210	8	14	38	19	102	
1793	5	14	108	12	5	14	58	
1794	5	85	79	88	76	95	85	
1795	16	16	20	18	8	12	11	
1796	104	100	54	78	104	74	48	
1797	130	2	25	125	84	9	101	
1798	140	392	40	125	140	9	18	
1799	202	4	10	33	90	6	275	
1800	202	20	10	33	3	6	275	
1801	10	7	21	12	15	12	23	
1802	10	7	21	12	15	12	467	
1803	5	2	3	381	6	6	11	
1804	36	31	293	14	26	6	8	
1805	18	7	128	9	39	9	322	
1807	84	161	8	75	206	197	172	
1808	7	6	8	8	7	12	13	
1809	5	320	3	7	6	6	11	
1810	11	10	25	13	40	13	4	
1811	127	133	25	33	8	149	468	
1812	95	353	27	53	55	414	375	
1813	288	77	27	167	18	415	236	
1814	2	13	10	540	459	416	34	
1815	14	2	331	7	105	19	12	
1816	5	2	332	38	460	5	10	
1817	2	5	8	7	5	7	12	
1818	189	193	8	539	64	9	185	
1822	16	2	61	43	36	417	42	
1823	14	178	3	12	5	171	143	
1824	17	18	22	17	462	21	19	
1825	17	18	22	17	5	21	469	
1826	72	4	36	33	62	74	3	
1827	446	31	35	14	26	40	8	
1828	48	31	35	14	26	52	470	
1830	88	26	30	55	21	87	471	
1831	50	10	25	13	10	421	4	
1832	43	41	25	42	12	13	23	
1833	100	92	84	97	463	104	98	
1834	13	426	274	46	5	422	84	
1835	2	427	40	43	66	423	425	
1836	202	428	102	544	100	424	472	
1837	41	14	336	545	5	142	104	
1838	46	122	3	18	6	138	1	
1839	448	245	333	292	296	418	76	
1840	385	234	81	542	221	233	240	
1841	447	425	334	68	296	419	76	
1842	449	425	335	541	461	420	76	
