ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
1605	5	33	7	18	238	39	29	
1606	1	1	1	13	93	25	16	
1607	5	33	7	15	26	58	48	
1608	16	8	160	48	10	1	3	
1609	106	1	71	54	46	244	29	
1610	35	1	22	36	7	130	29	
1611	17	18	53	2	62	176	34	
1612	28	33	7	12	11	125	48	
1613	68	43	38	14	95	165	18	
1614	26	2	16	1	62	40	4	
1615	18	6	3	1	10	28	12	
1616	3	18	53	2	62	1	10	
1617	22	19	11	7	22	19	16	
1618	183	115	21	43	26	124	96	
1619	40	3	17	1	7	12	11	
1620	40	1	1	121	61	69	5	
1621	5	15	7	9	7	5	147	
1622	11	2	15	8	74	61	3	
1623	42	33	34	5	77	45	3	
1624	95	54	58	72	47	55	48	
1625	33	8	16	16	17	25	29	
1626	6	20	41	40	234	63	43	
1627	135	43	52	7	78	28	98	
1628	3	18	53	15	86	8	23	
1629	10	2	15	8	17	61	3	
1630	14	7	13	7	111	13	17	
1631	10	2	15	122	26	61	3	
1632	1	1	44	14	61	112	3	
1633	14	7	13	29	1	21	1	
1634	33	2	16	16	49	2	3	
1635	14	7	1	15	45	4	1	
1636	33	8	16	16	17	12	29	
1637	51	36	16	29	64	63	18	
1638	93	46	72	86	47	63	45	
1639	5	8	58	14	91	58	29	
1640	51	36	36	29	64	3	18	
1641	63	50	22	15	77	40	3	
1642	1	22	19	19	17	17	2	
1643	1	1	44	14	61	21	5	
1644	35	1	22	36	7	39	29	
1645	51	36	16	29	64	50	18	
1646	42	2	38	1	271	55	10	
1647	63	54	165	1	270	31	10	
1648	51	36	36	29	64	249	18	
1649	26	17	8	1	78	248	50	
1650	42	9	8	2	159	250	4	
1651	193	14	22	5	4	7	22	
1652	194	87	38	18	6	251	10	
1653	3	4	17	1	112	252	34	
1654	51	36	41	123	158	38	18	
1655	10	15	4	5	4	7	22	
1656	195	115	36	124	61	3	148	
1657	10	14	182	5	4	7	22	
1658	110	8	178	4	269	140	28	
1659	42	2	181	41	104	55	10	
1660	17	4	180	41	7	12	11	
1661	192	22	19	19	17	17	2	
1662	1	1	179	1	1	14	5	
1663	6	30	23	1	33	253	7	
1664	14	7	13	114	17	13	149	
1665	7	11	6	7	6	16	9	
1666	50	8	1	7	26	45	32	
1667	14	7	16	13	46	21	1	
1668	14	7	16	14	46	21	1	
1669	127	14	12	41	62	3	89	
1670	40	3	38	1	189	40	21	
1671	3	4	17	1	15	3	34	
1672	26	17	7	1	78	57	50	
1673	149	34	77	1	190	44	1	
1674	5	33	7	1	64	41	29	
1675	53	74	42	1	268	247	86	
1676	53	74	42	14	268	247	86	
1677	53	74	134	1	272	50	99	
1678	5	33	7	15	47	254	29	
1679	5	33	16	7	273	55	10	
1680	95	54	183	15	274	55	48	
1681	26	11	104	7	275	5	42	
1682	26	11	104	7	7	5	42	
1683	63	54	165	1	17	31	10	
1684	42	9	8	9	26	130	4	
1685	1	8	1	14	1	14	13	
1686	1	1	1	1	67	13	5	
1687	1	1	1	1	67	53	5	
1688	18	6	3	7	28	28	12	
1689	17	18	53	2	62	255	34	
1690	137	11	104	11	217	5	42	
1691	18	6	3	22	64	28	12	
1692	5	8	58	14	92	58	29	
1693	3	18	53	15	86	21	23	
1694	1	1	1	38	104	1	5	
1695	35	1	22	125	7	58	29	
1696	42	9	8	1	276	130	4	
1697	39	8	35	11	205	48	19	
1698	39	8	35	11	91	48	19	
1699	107	20	7	7	26	214	29	
1700	5	33	7	99	238	39	29	
1701	14	14	6	8	6	245	21	
1702	6	30	23	9	33	29	7	
1703	10	14	4	3	28	3	8	
1704	10	14	4	5	10	7	126	
1705	1	1	1	1	7	2	5	
1706	1	1	1	14	9	14	3	
1707	1	121	1	14	45	14	21	
1708	37	35	57	14	7	183	13	
1709	1	1	44	97	61	21	5	
1710	186	83	109	1	257	21	47	
1711	5	18	53	15	86	14	23	
1712	44	2	16	37	256	2	3	
1713	187	1	1	14	45	14	21	
1714	26	1	46	1	79	130	23	
1715	14	7	170	7	17	13	17	
1716	1	1	1	1	67	28	5	
1717	37	35	57	14	7	183	8	
1718	16	8	16	16	30	238	3	
1719	17	4	17	1	7	57	11	
1720	71	18	53	18	10	118	34	
1721	10	14	5	7	4	257	8	
1722	10	14	4	5	4	258	8	
1723	3	4	17	7	202	259	34	
1724	20	12	1	7	20	256	19	
1725	40	57	22	53	7	70	4	
1726	11	100	184	5	51	130	19	
1727	127	14	136	41	62	261	89	
1728	51	36	41	18	158	260	18	
1729	42	9	8	1	158	130	4	
1730	51	36	41	1	158	252	18	
1731	183	115	21	43	7	124	96	
1732	106	1	71	54	149	62	29	
1733	17	4	180	41	22	12	11	
1734	98	33	7	15	7	55	29	
1735	42	8	58	4	22	133	29	
1736	68	43	38	7	95	165	18	
1737	127	18	6	43	175	55	150	
1738	14	33	13	7	17	13	17	
1739	22	132	11	11	22	19	15	
1740	22	19	11	11	22	262	15	
1741	5	35	8	8	7	183	13	
1742	139	2	16	8	62	40	4	
1743	45	34	33	1	68	263	1	
1744	20	12	9	126	21	23	19	
1745	51	36	1	7	278	38	18	
1746	50	8	106	16	29	1	5	
1747	16	11	1	14	49	1	3	
1748	50	11	1	14	49	1	5	
1749	71	2	15	2	22	38	3	
1750	14	7	153	30	146	21	1	
1751	127	14	136	36	62	265	89	
1752	93	41	186	14	11	60	98	
1753	18	135	3	7	10	28	12	
1754	1	1	1	13	13	25	153	
1755	13	134	5	18	279	11	36	
1756	40	20	23	18	33	29	152	
1757	22	19	11	127	22	19	15	
1758	197	6	3	41	10	28	12	
1759	43	2	132	36	7	38	104	
1760	4	17	4	128	2	9	6	
1761	196	1	1	14	45	14	21	
1762	47	54	19	129	94	90	62	
1763	1	1	1	14	30	14	10	
1764	42	20	7	7	26	92	29	
1765	42	7	8	1	26	13	4	
1766	107	20	7	14	7	92	29	
1767	198	16	5	18	3	135	7	
1768	63	50	22	7	30	40	3	
1769	26	2	15	7	22	3	3	
1770	5	15	10	87	8	5	11	
1771	14	7	180	30	1	21	34	
1772	124	8	16	14	31	21	3	
1773	124	8	16	16	31	21	3	
1774	5	2	7	41	7	14	10	
1775	5	8	58	14	280	13	29	
1776	68	14	164	8	26	28	115	
1777	3	18	1	2	7	1	10	
1778	17	4	77	11	7	137	11	
1779	14	8	18	11	158	2	3	
1780	11	43	35	11	51	31	18	
1781	199	20	7	7	91	2	43	
1782	139	2	16	130	62	40	4	
1783	3	43	1	7	78	28	96	
1784	40	136	38	1	35	67	21	
1785	200	16	5	18	3	11	7	
1786	13	16	5	2	3	266	7	
1787	3	18	53	9	202	13	23	
1788	30	1	1	7	51	58	29	
1789	6	20	7	66	202	39	43	
1790	1	1	1	14	26	127	37	
1791	202	54	38	18	62	3	10	
1792	69	54	8	47	80	40	61	
1793	5	19	11	11	22	19	15	
1794	40	3	38	1	35	269	21	
1795	5	15	10	131	8	5	11	
1796	29	7	13	1	89	13	1	
1797	11	2	15	108	28	26	3	
1798	14	2	15	8	26	61	3	
1799	1	1	1	1	60	78	3	
1800	1	8	16	46	15	14	13	
1801	40	1	1	14	227	59	5	
1802	40	1	1	8	1	59	5	
1803	1	1	5	13	13	25	16	
1804	16	7	13	14	29	235	1	
1805	104	8	16	16	17	217	29	
1806	14	109	13	7	17	13	1	
1807	32	1	22	4	30	14	29	
1808	1	57	22	18	7	245	4	
1809	40	1	1	14	51	200	10	
1810	1	1	1	43	227	14	13	
1811	40	107	50	7	10	240	64	
1812	6	20	107	15	77	130	43	
1813	3	18	53	2	7	40	10	
1814	26	2	15	7	64	38	3	
1815	5	33	7	15	28	117	29	
1816	1	24	18	14	55	14	5	
1817	6	20	41	40	15	63	43	
1818	47	15	5	132	284	271	155	
1819	180	3	38	1	35	40	21	
1820	6	20	107	15	77	70	43	
1821	1	1	1	14	15	36	5	
1822	55	7	1	30	1	21	1	
1823	14	44	1	1	22	1	3	
1824	118	8	16	14	7	1	5	
1825	26	17	8	1	285	57	50	
1826	1	8	1	14	9	272	13	
1827	11	2	15	8	7	26	3	
1828	13	16	5	2	3	11	154	
1829	3	18	53	15	86	13	23	
1830	39	8	35	11	65	21	19	
1831	26	137	121	7	35	270	21	
1832	42	2	23	41	46	55	10	
1833	1	1	10	14	186	42	5	
1834	35	33	7	15	46	44	29	
1835	45	112	111	73	62	126	23	
1836	3	4	17	1	112	3	34	
1837	1	3	1	1	46	1	5	
1838	51	36	41	29	158	38	18	
1839	45	34	17	7	7	44	1	
1840	33	8	16	16	7	2	127	
1841	100	8	16	16	17	2	127	
1842	6	20	7	1	202	92	43	
1843	1	1	1	38	287	1	5	
1844	196	1	15	8	26	61	3	
1845	17	4	17	15	7	12	11	
1846	63	54	102	1	10	1	10	
1847	26	2	15	7	4	38	3	
1848	5	33	7	1	26	1	29	
1849	130	38	107	2	254	1	19	
1850	42	2	38	41	23	55	10	
1851	1	1	1	1	67	21	5	
1852	1	51	16	48	15	1	13	
1853	30	2	15	7	22	273	3	
1854	14	51	190	48	15	2	31	
1855	3	9	8	2	15	8	4	
1856	14	1	18	11	158	2	3	
1857	5	8	1	1	49	2	5	
1858	33	8	16	16	51	2	29	
1859	1	45	1	38	15	1	5	
1860	10	2	15	8	26	26	3	
1861	50	1	71	54	7	274	29	
1862	1	1	65	1	67	42	5	
1863	206	19	11	11	22	19	15	
1864	22	19	11	11	22	276	15	
1865	22	19	41	11	22	19	15	
1866	7	11	6	8	6	16	158	
1867	7	140	6	6	6	16	9	
1868	205	14	4	5	4	7	8	
1869	22	19	11	11	288	19	15	
1870	7	11	6	134	6	10	10	
1871	22	19	192	11	22	19	15	
1872	42	18	53	117	7	193	34	
1873	1	1	188	1	67	1	5	
1874	203	1	189	133	286	198	47	
1875	5	1	1	1	28	2	5	
1876	149	54	52	18	170	66	156	
1877	5	33	7	1	78	41	29	
1878	1	8	1	14	9	14	29	
1879	1	8	38	14	9	14	13	
1880	183	115	21	43	26	124	17	
1881	55	11	16	14	65	113	3	
1882	1	1	1	1	67	61	5	
1883	11	8	47	7	17	57	19	
1884	14	7	13	136	17	13	17	
1885	125	1	1	137	1	2	5	
1886	22	19	123	3	22	19	15	
1887	50	19	11	7	22	19	15	
1888	22	19	22	11	22	19	15	
1889	33	8	8	135	1	2	3	
1890	131	2	15	8	141	1	3	
1891	44	11	16	37	17	2	3	
1892	132	1	38	0	60	44	5	
1893	43	106	38	7	274	277	117	
