ST	glp	gmk	ilv	pta	pur	pyc	tpi	clonal_complex
1447	216	129	223	225	118	171	128	
1448	172	71	280	29	24	14	7	
1449	215	116	281	170	207	144	172	
1450	218	87	104	69	103	202	18	
1451	221	131	243	227	211	203	177	
1452	23	10	5	216	201	205	11	
1453	206	1	285	214	18	29	19	
1454	208	8	283	45	58	87	7	
1455	64	10	284	36	57	23	11	ST-196 complex
1456	220	118	282	226	210	185	176	
1457	212	128	287	222	203	204	65	
1458	210	8	68	11	245	12	10	
1459	207	1	286	1	1	37	42	
1460	258	71	14	26	225	50	7	
1461	259	57	81	80	90	90	32	
1462	13	8	8	11	9	12	211	ST-142 complex
1463	126	152	133	190	178	114	140	
1464	93	6	288	261	4	39	15	
1465	122	8	8	14	9	12	10	ST-142 complex
1466	81	53	217	232	113	93	80	
1467	71	105	217	48	42	61	49	
1468	81	53	117	111	209	93	80	
1469	85	110	61	94	42	57	32	
1470	19	2	234	5	208	18	92	
1471	24	30	33	37	44	31	5	
1472	24	12	1	205	48	31	19	
1473	38	1	93	110	55	33	24	
1474	65	1	175	1	51	52	24	
1475	247	1	1	1	18	29	19	
1476	14	8	13	30	2	17	17	
1477	15	143	10	8	4	7	14	
1478	46	9	14	12	12	25	7	ST-18 complex
1479	37	9	14	11	12	36	7	ST-18 complex
1480	14	8	13	19	8	17	185	
1481	13	8	9	11	9	12	8	ST-142 complex
1482	14	8	35	42	39	75	63	
1483	24	12	33	205	48	31	19	
1484	43	26	78	42	39	71	30	ST-111 complex
1485	43	26	35	42	39	75	63	ST-111 complex
1486	87	26	78	90	39	41	30	ST-111 complex
1487	135	131	110	172	211	138	128	
1488	175	56	75	188	64	96	26	
1489	180	32	48	45	58	87	7	
1490	22	6	211	18	20	19	7	
1491	87	26	35	42	39	41	30	ST-111 complex
1492	15	9	29	46	4	8	39	
1493	59	35	111	22	52	131	26	
1494	15	20	23	8	4	8	21	ST-97 complex
1495	12	8	73	7	122	12	7	
1496	24	22	33	37	48	31	158	
1497	55	72	33	37	49	31	19	
1498	14	8	40	19	8	17	7	
1499	87	42	290	42	39	41	63	
1500	24	22	291	37	49	31	5	
1501	260	1	1	1	18	37	88	
1502	24	72	292	37	49	31	41	
1503	188	10	22	36	57	23	11	
1504	161	68	81	264	42	61	26	
1505	261	1	293	1	18	53	42	
1506	40	8	14	12	12	36	213	
1507	151	51	104	75	109	92	79	
1508	86	57	81	80	42	90	32	
1509	81	35	107	22	96	20	120	
1510	102	35	178	22	96	20	78	
1511	82	87	104	69	155	138	18	
1512	24	12	50	21	159	31	4	
1513	24	12	50	21	83	31	4	
1514	82	99	104	69	103	146	18	
1515	15	58	29	263	4	79	177	
1516	93	6	10	8	4	7	14	
1517	262	56	75	22	42	96	26	
1518	262	68	75	22	42	96	26	
1519	166	10	5	174	247	70	11	
1520	68	54	245	2	248	84	13	
1521	22	9	18	220	15	19	7	
1522	5	4	42	111	16	6	3	
1523	94	2	100	5	32	156	22	
1524	12	8	42	14	11	12	10	
1525	6	4	42	4	16	6	10	
1526	3	2	121	5	36	3	4	
1527	59	35	106	22	102	95	26	
1528	19	2	42	5	19	3	2	ST-205 complex
1529	211	127	123	221	16	125	171	
1530	254	30	277	37	44	199	10	
1531	122	8	8	11	4	12	5	ST-142 complex
1532	13	4	3	4	15	6	16	
1533	24	22	246	21	23	31	19	
1534	24	4	3	4	15	6	16	
1535	3	2	234	5	36	3	4	
1536	21	2	21	5	19	3	2	ST-205 complex
1537	5	4	3	4	15	5	16	
1538	51	2	234	5	208	3	2	ST-205 complex
1539	11	9	14	29	43	14	7	ST-18 complex
1540	67	2	121	5	36	3	4	
1541	3	2	123	17	36	3	4	
1542	3	2	42	5	36	3	4	
1543	100	1	93	136	51	37	71	
1544	255	8	9	14	11	12	10	
1545	255	8	63	5	36	3	4	
1546	12	9	102	26	97	50	7	
1547	240	2	110	5	32	156	22	
1548	19	2	261	5	19	3	2	ST-205 complex
1549	67	2	8	5	9	3	4	
1550	3	2	9	17	19	126	55	
1551	19	2	9	5	19	3	2	ST-205 complex
1552	13	8	9	11	9	12	23	ST-142 complex
1553	65	1	83	1	1	37	43	
1554	3	2	59	5	16	3	4	
1555	19	2	8	5	19	3	2	ST-205 complex
1556	172	2	31	117	16	3	4	
1557	210	8	68	11	9	12	10	ST-142 complex
1558	22	9	18	220	37	19	7	
1559	22	9	18	220	148	19	7	
1560	22	9	18	220	227	19	7	
1561	11	9	14	12	12	14	4	ST-18 complex
1562	3	2	143	5	36	156	4	
1563	67	2	63	5	36	3	22	
1564	3	2	13	5	16	3	4	
1565	37	8	280	11	24	14	7	
1566	147	155	162	149	185	166	151	
1567	147	155	162	59	185	166	151	
1568	153	10	297	53	22	129	11	
1569	33	8	36	19	41	17	17	
1570	86	57	81	80	80	90	113	
1571	74	22	118	115	66	66	52	
1572	46	28	14	12	86	50	7	
1573	15	143	10	9	4	7	14	
1574	15	54	235	2	98	84	13	
1575	93	6	29	91	4	82	21	
1576	40	8	15	44	2	25	7	
1577	15	20	145	9	4	8	21	
1578	15	6	29	8	4	8	21	
1579	10	8	16	12	2	16	7	
1580	15	6	29	189	4	8	39	
1581	15	6	10	230	4	7	122	
1582	15	20	29	46	4	8	21	
1583	16	6	29	8	4	7	7	
1584	15	80	145	11	4	8	21	
1585	35	144	29	9	224	7	21	
1586	93	6	10	8	4	7	21	
1587	15	58	10	8	4	7	14	
1588	15	6	29	8	4	191	7	
1589	15	6	14	8	4	8	7	
1590	41	6	170	8	242	7	21	
1591	15	6	23	46	4	8	39	
1592	14	8	13	10	2	17	7	
