ST	aroA	cpn60	dpr	gki	mutS	recA	thrA	clonal_complex
1605	63	477	42	103	139	13	340	
1606	1	1	1	1	1	1	339	
1607	23	25	19	32	11	3	337	
1608	1	1	1	1	1	1	338	
1609	6	17	5	12	1	10	4	
1610	8	68	5	34	6	177	63	
1611	8	1	5	12	220	10	1	
1612	66	478	329	79	291	103	344	
1613	8	479	24	12	1	10	4	
1614	8	30	5	423	44	21	4	
1615	16	77	23	161	108	38	111	
1616	2	21	5	45	44	22	4	
1617	2	21	5	45	44	22	23	
1618	1	1	1	1	1	299	1	
1619	25	73	54	72	54	45	42	
1620	369	90	30	110	428	122	76	
1621	8	21	5	6	44	22	4	
1622	17	21	5	45	44	22	127	
1623	8	30	5	16	30	3	25	
1624	48	10	85	14	84	20	11	
1625	17	11	330	14	267	1	8	
1626	37	10	14	14	5	32	27	
1627	62	296	331	108	139	42	34	
1628	62	85	88	150	427	42	34	
1629	2	30	5	1	31	3	25	
1630	1	1	332	16	1	1	1	
1631	1	1	1	424	1	1	1	
1632	17	21	5	45	44	21	4	
1633	62	85	72	150	427	42	34	
1634	38	124	9	6	7	6	12	
1635	62	109	72	108	106	34	34	
1636	370	109	88	11	247	227	194	
1637	8	21	24	12	1	10	4	
1638	63	75	293	15	7	30	8	
1639	25	28	64	12	84	1	8	
1640	8	21	5	45	30	22	25	
1641	17	21	5	45	424	22	4	
1642	1	1	1	101	1	1	1	
1643	1	1	1	101	339	1	1	
1644	6	21	24	4	1	10	4	
1645	15	1	330	14	267	189	345	
1646	229	177	2	239	16	72	76	
1647	18	1	5	12	1	301	346	
1648	9	30	5	34	430	3	25	
1649	17	482	21	1	14	6	76	
1650	17	21	5	45	44	302	4	
1651	31	6	88	20	6	7	25	
1652	17	21	5	45	429	22	4	
1653	33	481	44	145	16	33	348	
1654	15	327	9	425	305	30	347	
1655	17	21	5	45	44	22	1	
1656	8	30	5	15	44	21	75	
1657	17	33	45	162	2	6	12	
1658	96	45	99	108	45	42	34	
1659	18	483	24	12	1	10	4	
1660	1	8	24	12	1	10	25	
1661	1	21	5	45	44	22	4	
1662	1	1	1	26	1	1	1	
1663	8	1	5	12	226	10	1	
1664	91	78	74	129	108	34	81	
1665	144	77	73	420	108	38	81	
1666	16	110	32	164	133	34	111	
1667	144	77	137	159	133	34	81	
1668	91	484	99	426	65	113	61	
1669	252	35	284	427	191	303	175	
1670	362	233	74	103	109	106	111	
1671	48	383	30	267	16	55	170	
1672	7	405	28	356	136	209	8	
1673	62	296	271	54	139	42	34	
1674	252	70	216	79	47	62	28	
1675	43	49	227	428	304	304	49	
1676	371	49	40	15	304	141	80	
1677	372	30	216	4	431	64	8	
1678	373	146	5	12	245	18	37	
1679	8	21	5	17	44	22	4	
1680	373	146	5	12	245	18	38	
1681	49	91	85	67	62	84	18	
1682	222	472	46	6	308	28	332	
1683	223	472	46	6	308	28	332	
1684	117	177	2	429	139	111	12	
1685	38	49	30	7	72	45	79	
1686	117	403	49	15	35	26	76	
1687	25	285	42	7	14	109	349	
1688	25	485	42	7	14	109	349	
1689	8	21	333	45	44	22	4	
1690	45	480	30	288	426	300	120	
1691	86	102	7	42	432	18	11	
1692	269	486	335	39	433	307	114	
1693	23	21	25	45	44	22	4	
1694	31	28	5	430	44	7	76	
1695	63	68	42	103	139	13	8	
1696	17	33	49	30	2	6	1	
1697	23	21	5	45	44	22	4	
1698	8	21	5	45	44	22	1	
1699	38	259	20	15	434	26	149	
1700	25	487	7	32	16	3	8	
1701	8	21	36	24	435	22	12	
1702	1	1	1	1	1	306	1	
1703	317	77	279	9	10	156	18	
1704	375	13	129	254	212	38	179	
1705	15	327	9	39	305	30	11	
1706	38	259	14	15	323	55	149	
1707	8	1	5	12	1	10	350	
1708	1	1	1	1	1	1	351	
1709	3	8	5	437	278	10	4	
1710	8	8	5	437	278	10	4	
1711	1	1	1	86	1	1	3	
1712	13	13	32	431	448	38	112	
1713	8	30	5	32	44	21	75	
1714	391	1	1	1	1	1	3	
1715	46	77	73	104	452	320	100	
1716	45	518	28	60	232	52	55	
1717	2	1	1	12	1	1	3	
1718	1	1	1	1	1	1	357	
1719	1	1	1	1	1	1	358	
1720	376	488	336	39	436	308	51	
1721	18	8	24	12	1	10	109	
1722	217	21	5	45	44	22	25	
1723	377	77	58	254	145	116	62	
1724	8	21	36	24	2	22	13	
1725	17	30	5	432	44	21	75	
1726	8	30	5	30	44	21	4	
1727	62	278	58	155	82	42	62	
1728	23	275	22	4	153	85	12	
1729	66	489	30	7	54	71	55	
1730	23	177	22	7	7	6	12	
1731	25	491	9	433	9	309	63	
1732	139	492	30	7	232	71	55	
1733	5	21	5	45	44	22	25	
1734	17	55	22	4	437	310	12	
1735	25	30	9	56	44	13	55	
1736	379	493	74	168	133	37	353	
1737	380	494	30	6	54	71	55	
1738	223	495	5	30	14	26	1	
1739	141	496	74	359	133	113	51	
1740	72	305	88	278	45	42	62	
1741	62	278	58	434	82	42	62	
1742	216	492	30	247	105	71	55	
1743	9	274	22	4	438	85	12	
1744	381	497	338	188	439	311	61	
1745	62	85	58	155	82	42	16	
1746	17	498	22	4	153	85	12	
1747	62	85	333	39	145	42	62	
1748	8	21	1	45	44	22	4	
1749	62	85	333	62	82	42	62	
1750	382	489	22	72	139	19	55	
1751	383	499	49	72	70	20	55	
1752	62	85	58	390	82	42	62	
1753	62	278	58	155	440	42	62	
1754	8	21	36	435	2	22	12	
1755	62	85	333	390	82	42	62	
1756	384	500	74	436	441	169	61	
1757	380	86	40	72	232	312	42	
1758	385	494	30	7	54	71	55	
1759	386	501	30	72	54	313	55	
1760	64	501	30	72	54	103	55	
1761	230	125	23	381	442	37	8	
1762	321	47	74	62	133	134	111	
1763	81	102	67	15	6	73	6	
1764	245	77	339	438	138	314	92	
1765	91	497	99	422	133	321	111	
1766	216	502	30	6	153	71	55	
1767	62	296	271	439	139	42	34	
1768	186	77	340	7	443	36	111	
1769	218	31	284	155	107	18	37	
1770	18	6	18	20	28	7	4	
1771	251	77	23	155	138	315	61	
1772	91	493	99	440	133	37	92	
1773	184	493	58	27	133	37	354	
1774	222	30	7	42	302	18	11	
1775	377	77	326	254	145	116	62	
1776	17	76	22	4	437	6	12	
1777	251	503	74	167	444	316	111	
1778	91	504	99	441	82	113	51	
1779	62	505	341	167	139	42	34	
1780	16	77	99	442	108	113	61	
1781	64	177	54	72	232	313	55	
1782	17	55	22	4	153	85	12	
1783	5	30	5	97	44	21	75	
1784	377	497	326	422	145	116	62	
1785	56	485	30	121	70	19	28	
1786	88	485	53	6	445	15	76	
1787	56	86	2	72	70	19	55	
1788	62	278	58	72	82	42	62	
1789	377	506	338	95	145	34	98	
1790	62	296	121	16	139	42	34	
1791	63	507	22	72	154	162	12	
1792	31	86	2	72	70	19	55	
1793	184	493	74	168	133	37	353	
1794	91	508	326	351	446	34	16	
1795	91	506	338	95	447	34	98	
1796	251	197	131	443	27	37	189	
1797	151	492	329	6	43	19	76	
1798	186	510	74	163	449	318	12	
1799	188	511	154	444	145	113	113	
1800	312	52	181	445	10	156	18	
1801	8	3	5	396	28	21	1	
1802	64	76	40	72	232	103	42	
1803	140	512	58	446	133	113	111	
1804	64	77	28	39	154	71	55	
1805	1	6	18	20	28	7	4	
1806	381	497	74	188	25	311	61	
1807	5	30	5	86	9	6	12	
1808	23	55	42	31	14	319	349	
1809	8	21	67	4	437	6	12	
1810	45	513	30	72	128	20	55	
1811	91	77	74	39	133	34	61	
1812	217	21	5	447	44	22	25	
1813	64	86	53	79	232	19	42	
1814	91	145	99	15	82	37	12	
1815	388	517	259	448	145	113	12	
1816	389	515	32	39	450	113	8	
1817	23	32	42	31	153	85	356	
1818	218	2	109	82	6	21	118	
1819	15	516	343	66	453	85	11	
1820	159	517	132	103	451	34	51	
1821	390	312	53	66	135	6	8	
1822	5	17	334	12	1	10	4	
1824	62	45	88	49	6	305	34	
1825	8	30	5	34	30	3	359	
1826	8	30	5	34	44	22	109	
1827	344	453	49	4	14	6	8	
1828	49	25	30	310	16	190	204	
1829	8	23	36	24	2	22	8	
1830	2	21	36	24	2	22	22	
1831	18	53	30	18	139	91	63	
1832	8	53	30	18	139	91	63	
1833	392	53	30	18	139	91	63	
1834	2	519	5	34	31	3	25	
1835	91	77	34	11	133	113	62	
1836	31	53	30	18	139	91	63	
1837	31	30	30	18	139	91	63	
1838	8	30	30	18	139	22	63	
1839	393	53	30	18	139	91	63	
1840	8	53	30	374	139	91	63	
1841	8	53	30	18	139	91	4	
1842	1	1	344	1	1	1	1	
1843	203	520	34	62	21	42	62	
1844	8	30	30	18	139	91	63	
1845	197	53	30	18	139	91	63	
1846	396	527	30	15	105	324	76	
1847	52	528	30	66	105	91	55	
1848	397	529	23	129	133	37	113	
1849	91	421	23	451	145	37	111	
1850	62	524	347	62	82	42	12	
1851	45	525	28	326	54	52	12	
1852	395	526	99	141	65	113	100	
1853	1	1	1	34	1	1	3	
1854	406	347	351	459	460	314	362	
1855	21	537	22	7	461	26	157	
1856	100	538	58	460	25	38	179	
1857	407	539	352	461	462	327	368	
1858	408	540	353	462	463	328	363	
1859	13	13	346	95	117	113	113	
1860	23	68	293	14	433	26	8	
1861	406	541	354	463	464	206	362	
1862	62	545	355	197	6	329	34	
1863	409	542	149	66	465	330	364	
1864	31	405	181	386	16	156	18	
1865	410	543	36	16	21	38	13	
1866	325	270	128	103	466	39	18	
1867	150	77	32	464	55	331	365	
1868	68	22	356	42	33	17	366	
1869	411	544	357	465	467	332	367	
1870	8	21	5	449	44	22	25	
1871	18	8	345	12	1	10	4	
1872	8	8	24	12	31	10	4	
1873	178	521	346	164	194	268	92	
1874	25	177	28	449	16	322	8	
1875	229	291	36	248	21	38	8	
1876	91	77	32	164	454	37	61	
1877	49	177	30	138	232	52	38	
1878	394	522	17	450	281	323	51	
1879	223	523	36	15	455	38	12	
1880	122	77	348	452	456	34	94	
1881	16	21	34	17	457	142	13	
1882	400	532	74	139	288	182	111	
1883	13	236	133	164	268	37	61	
1884	401	533	2	138	16	64	55	
1885	402	534	213	103	459	182	16	
1886	129	535	350	155	143	37	61	
1887	403	536	44	15	139	20	76	
1888	151	411	45	30	2	26	12	
1889	404	30	284	12	431	18	37	
1890	100	58	213	458	211	72	16	
1891	405	142	28	15	236	72	106	
1892	1	1	1	466	1	1	1	
1893	412	546	56	467	83	67	155	
1894	295	547	358	332	83	67	155	
1895	413	83	172	83	83	229	227	
1896	414	548	319	304	408	333	267	
1897	415	548	359	468	468	333	268	
1898	416	348	201	469	408	334	267	
1899	13	476	12	470	171	113	44	
1900	149	384	74	129	212	113	100	
1901	13	110	123	350	444	34	100	
1902	252	52	181	138	10	156	18	
1903	88	134	30	60	299	20	55	
1904	15	193	22	4	16	85	145	
1905	417	32	53	86	43	68	63	
1906	63	32	53	86	43	68	63	
1907	8	30	5	471	44	22	109	
1908	8	30	5	472	44	22	109	
1909	43	32	66	15	236	20	76	
1910	250	451	7	475	295	209	18	
1911	88	134	30	15	299	20	76	
1912	43	32	66	15	299	20	8	
1913	17	33	45	30	2	6	12	
1914	17	142	45	31	53	189	74	
1915	95	37	30	476	101	336	84	
1916	45	132	28	15	218	337	55	
1917	17	177	2	265	236	189	76	
1918	17	48	42	154	43	6	8	
1919	39	531	216	282	191	338	138	
1920	218	551	284	12	191	339	37	
1921	331	332	9	138	295	13	63	
1922	248	531	216	282	294	18	369	
1923	23	257	42	31	14	109	12	
1924	56	142	361	473	154	71	28	
1925	17	33	22	4	153	85	12	
1926	365	30	11	7	136	77	18	
1927	365	451	5	445	136	46	39	
1928	111	132	54	7	47	103	28	
1929	151	71	42	6	139	59	76	
1930	418	428	99	126	469	265	51	
1931	380	513	30	72	154	59	55	
1932	383	110	99	474	138	37	111	
1933	15	275	52	86	16	69	12	
1934	151	90	42	72	154	59	76	
1935	91	549	23	39	145	37	92	
1936	419	165	28	6	16	123	125	
1937	64	550	30	79	103	335	44	
1938	420	489	30	66	154	71	55	
1939	421	30	5	34	31	3	25	
1940	223	30	5	453	14	28	240	
1941	16	188	362	268	145	37	8	
1942	96	45	360	108	45	42	34	
1943	2	21	36	24	2	22	12	
1944	17	177	30	15	365	190	76	
1945	95	37	30	107	101	81	42	
1946	8	21	5	164	44	22	4	
1947	63	259	9	7	7	26	12	
1948	8	360	36	167	2	22	12	
1949	23	131	45	30	2	6	12	
1950	270	38	7	310	319	3	37	
1951	2	21	5	45	44	22	109	
1952	77	108	49	310	16	26	361	
1953	17	552	5	45	44	22	4	
1954	1	1	1	1	1	1	371	
1955	5	17	14	12	1	10	4	
1956	8	17	363	12	1	340	4	
1957	8	1	5	477	1	10	1	
1958	398	530	349	457	133	113	111	
1959	422	249	49	66	471	55	57	
1960	63	131	2	233	9	6	12	
1961	63	131	2	223	9	6	12	
1962	53	69	30	74	71	236	53	
1963	7	31	5	87	36	322	31	
1964	24	351	35	25	9	33	1	
1965	24	30	35	25	9	33	143	
1966	25	34	234	5	48	19	106	
1967	31	3	5	12	35	21	18	
1968	31	30	5	38	71	8	200	
1969	35	35	286	145	35	33	64	
1970	35	35	286	282	35	18	64	
1971	43	308	2	6	135	15	149	
1972	57	308	40	6	98	15	149	
1973	62	85	58	62	82	42	62	
1974	63	11	9	4	7	6	349	
1975	91	395	99	244	108	34	92	
1976	107	6	18	20	28	7	4	
1977	147	395	32	188	211	38	115	
1978	250	332	146	15	295	17	63	
1979	269	432	99	443	159	34	92	
1980	317	3	5	12	319	21	24	
1981	362	201	193	126	55	34	113	
1982	376	550	28	415	71	18	74	
1983	362	395	132	139	159	342	115	
1984	127	395	379	155	473	34	92	
1985	127	395	379	479	473	34	92	
1986	127	395	379	155	479	34	115	
1987	36	567	216	490	294	18	138	
1988	127	432	133	139	211	343	171	
1989	147	395	372	484	413	142	115	
1990	147	561	375	139	211	343	176	
1991	15	118	22	15	484	26	12	
1992	157	232	369	244	478	198	232	
1993	157	565	377	244	478	133	232	
1994	16	432	380	480	475	134	372	
1995	17	68	367	4	477	6	8	
1996	178	58	58	478	472	34	8	
1997	178	58	58	155	472	34	8	
1998	188	29	233	443	483	38	113	
1999	2	30	381	34	31	3	25	
2000	2	30	378	34	31	3	25	
2001	20	560	5	12	35	21	4	
2002	214	232	186	244	478	36	232	
2003	224	558	99	488	211	34	374	
2004	224	562	74	488	211	34	374	
2005	224	563	132	488	211	39	374	
2006	25	30	179	7	228	351	4	
2007	250	332	146	6	485	209	63	
2008	269	395	132	155	480	198	115	
2009	269	395	99	483	159	34	92	
2010	269	556	132	126	481	142	11	
2011	281	29	132	155	487	350	98	
2012	29	337	366	12	107	242	18	
2013	31	555	5	15	52	259	18	
2014	334	553	129	139	474	344	11	
2015	334	559	374	139	486	343	176	
2016	334	559	374	139	211	343	176	
2017	35	35	286	145	35	32	64	
2018	36	567	216	282	294	18	138	
2019	362	395	132	103	211	343	115	
2020	362	201	170	139	55	345	113	
2021	362	554	193	482	55	345	218	
2022	38	33	49	15	489	175	149	
2023	362	562	193	126	55	142	113	
2024	362	201	193	126	55	345	113	
2025	362	554	193	126	55	142	113	
2026	38	557	371	66	482	17	64	
2027	423	432	133	481	476	343	171	
2028	424	1	284	12	44	32	63	
2029	424	1	284	6	44	32	63	
2030	424	1	284	12	4	32	63	
2031	425	77	373	244	483	347	218	
2032	426	29	129	95	108	149	373	
2033	429	566	49	6	84	26	149	
2034	429	433	30	491	5	348	44	
2035	38	566	49	489	84	26	149	
2036	430	395	132	139	473	39	92	
2037	57	433	30	485	5	348	364	
2038	62	85	365	62	82	42	62	
2039	71	404	370	145	244	346	1	
2040	76	29	368	481	475	34	11	
2041	76	29	368	126	475	34	218	
2042	76	558	375	139	483	271	16	
2043	8	21	5	492	44	22	23	
2044	91	395	129	481	138	349	375	
2045	114	296	58	188	488	219	149	
2046	127	554	383	126	55	142	113	
2047	127	395	379	487	473	34	92	
2048	157	564	376	244	478	352	376	
2049	248	35	294	282	368	353	138	
2050	423	432	384	486	211	343	171	
2051	429	177	49	493	5	55	149	
2052	429	433	15	494	5	354	149	
2053	278	44	46	165	291	93	126	
2054	45	132	28	15	218	52	55	
2055	63	33	22	223	14	85	11	
2056	25	312	30	72	9	13	8	
2057	17	142	53	496	365	189	74	
2058	427	569	58	495	145	134	377	
2059	100	77	99	155	212	113	378	
2060	122	568	17	27	490	34	61	
2061	428	569	58	495	145	134	377	
2062	431	177	30	15	365	190	76	
2063	114	170	99	497	159	113	12	
2064	224	569	58	456	491	35	247	
2065	386	570	30	326	139	337	76	
2066	88	44	257	39	291	93	379	
2067	17	142	53	9	365	189	74	
2068	94	63	272	106	48	141	28	
2069	33	99	293	106	433	26	12	
2070	365	3	5	396	28	21	4	
2071	38	10	19	26	5	32	27	
2072	2	30	382	34	31	25	3	
2073	432	1	1	1	1	1	1	
2074	1	6	385	20	28	7	4	
2075	38	566	387	503	498	26	28	
2076	38	566	40	503	498	26	28	
2077	62	296	271	16	495	42	34	
2078	147	240	170	95	496	159	98	
2079	48	28	49	6	494	26	44	
2080	18	572	52	503	489	194	11	
2081	229	571	88	197	493	355	62	
2082	435	85	72	197	145	42	62	
2083	37	152	14	26	8	32	179	
2084	35	36	27	13	37	28	29	
2085	35	36	27	140	37	28	29	
2086	242	308	40	7	98	15	18	
2087	434	38	72	197	493	42	62	
2088	31	7	109	13	6	7	382	
2089	272	573	250	278	492	198	194	
2090	18	405	44	7	16	6	380	
2091	141	58	132	235	159	282	261	
2092	63	75	30	499	22	30	8	
2093	31	6	18	20	28	7	4	
2094	197	6	18	20	28	7	4	
2095	210	575	29	358	34	259	4	
2096	13	574	388	501	499	37	117	
2097	438	6	18	20	28	7	4	
2098	18	572	184	15	489	194	383	
2099	18	1	391	12	1	10	25	
2100	439	1	1	1	1	1	1	
2101	1	1	1	1	1	1	384	
2102	37	10	392	128	8	32	125	
2103	440	577	394	504	502	357	145	
2104	440	577	30	7	502	357	145	
2105	441	578	395	505	102	358	385	
2106	444	242	396	220	508	102	388	
2107	114	395	397	508	509	159	16	
2108	157	390	398	11	510	142	176	
2109	166	201	399	129	511	206	389	
2110	184	584	400	509	303	362	51	
2111	25	392	15	41	15	23	390	
2112	306	63	23	106	359	141	28	
2113	306	63	272	106	359	141	28	
2114	307	585	5	20	6	7	25	
2115	325	586	193	129	512	363	18	
2116	62	85	288	278	45	42	34	
2117	62	29	88	16	82	42	62	
2118	8	1	5	510	1	10	1	
2119	119	177	2	265	53	190	76	
2120	367	106	30	294	34	189	76	
2121	119	177	2	265	53	190	55	
2122	389	482	23	168	27	149	12	
2123	45	489	28	74	128	104	55	
2124	312	52	181	6	10	156	18	
2125	389	77	99	507	145	113	111	
2126	46	583	121	277	507	37	51	
2127	100	581	198	103	506	360	387	
2128	91	582	74	163	133	311	386	
2129	16	581	32	39	38	149	101	
2130	251	579	23	441	505	37	12	
2131	443	29	74	95	144	359	111	
2132	159	497	338	422	504	361	51	
2133	442	580	99	506	503	34	218	
2134	108	587	401	7	48	71	28	
2135	16	588	402	129	212	124	391	
2136	87	255	371	7	513	15	145	
2137	88	227	74	164	514	90	82	
2138	445	110	99	103	145	37	111	
2139	16	77	74	167	404	364	81	
2140	57	589	8	6	14	15	245	
2141	446	591	403	512	515	365	393	
2142	448	591	403	512	515	365	392	
2143	448	591	403	461	515	365	392	
2144	13	590	100	143	348	113	111	
2145	1	1	1	1	1	1	395	
2146	220	593	21	7	517	242	114	
2147	450	426	95	513	132	366	80	
2148	43	594	21	288	517	225	114	
2149	220	593	46	288	245	242	114	
2150	43	593	21	288	245	242	114	
2151	43	82	21	288	245	242	114	
2152	366	327	42	342	43	13	12	
2153	43	279	404	39	16	225	173	
2154	259	337	30	66	312	115	166	
2155	39	249	261	86	285	216	1	
2156	89	32	30	7	224	20	334	
2157	18	451	5	12	1	10	1	
2158	63	128	42	303	14	102	334	
2159	63	327	42	342	43	13	12	
2160	451	58	53	443	105	34	8	
2161	246	318	37	272	285	40	396	
2162	154	612	17	155	534	37	115	
2163	451	603	53	83	532	34	8	
2164	53	601	28	7	529	71	170	
2165	38	598	30	490	103	20	64	
2166	249	613	412	520	34	15	30	
2167	53	598	28	531	529	71	136	
2168	38	598	30	531	103	114	64	
2169	16	612	17	525	534	58	115	
2170	456	606	413	443	145	39	19	
2171	456	606	413	530	145	39	19	
2172	457	604	30	60	103	235	240	
2173	460	152	17	500	533	282	12	
2174	458	51	411	7	43	235	399	
2175	453	609	28	527	529	71	38	
2176	38	614	407	72	531	114	38	
2177	25	11	9	72	220	86	63	
2178	23	68	21	4	14	6	334	
2179	192	609	335	521	67	69	136	
2180	38	609	335	521	67	69	136	
2181	63	600	42	4	14	72	334	
2182	38	613	30	515	535	20	42	
2183	452	152	66	83	538	20	64	
2184	38	606	42	521	67	69	136	
2185	249	614	66	103	538	23	38	
2186	38	128	264	303	14	102	8	
2187	34	613	30	521	48	370	368	
2188	178	152	17	524	108	282	51	
2189	461	72	28	7	523	114	33	
2190	461	607	413	420	536	372	336	
2191	467	132	30	72	531	114	38	
2192	461	72	28	7	537	114	33	
2193	465	613	30	518	360	15	397	
2194	192	606	46	522	135	382	400	
2195	45	604	66	7	535	377	30	
2196	461	132	28	531	529	71	401	
2197	467	610	30	7	530	378	402	
2198	461	132	28	531	529	71	400	
2199	463	611	407	517	530	69	403	
2200	459	601	28	523	81	379	404	
2201	464	255	28	7	100	380	158	
2202	249	598	335	520	522	381	405	
2203	466	77	415	520	522	376	406	
2204	462	614	30	528	535	369	405	
2205	91	606	410	529	377	373	12	
2206	90	616	6	66	528	52	158	
2207	461	49	409	7	34	382	44	
2208	154	515	23	155	534	373	115	
2209	66	90	28	519	527	123	403	
2210	456	606	413	526	525	141	405	
2211	53	599	28	520	529	374	38	
2212	53	197	28	520	529	374	38	
2213	53	598	415	77	67	69	136	
2214	466	83	335	84	522	67	406	
2215	38	77	46	520	526	69	403	
2216	252	616	166	155	319	18	6	
2217	38	77	46	520	526	71	403	
2218	278	44	30	165	291	93	126	
2219	82	44	418	39	539	367	64	
2220	8	21	5	532	44	22	4	
2221	468	37	70	7	101	103	79	
2222	469	44	28	39	291	93	64	
2223	471	424	28	165	540	52	407	
2224	8	617	5	12	1	10	1	
2225	51	618	30	533	232	385	55	
2226	472	105	42	7	541	386	136	
2227	469	44	28	39	291	384	126	
2228	87	619	419	534	34	88	44	
2229	87	106	71	86	84	123	12	
2230	473	348	420	393	408	223	408	
2231	473	348	420	393	542	223	408	
2232	475	620	420	535	408	223	410	
2233	8	1	5	34	30	177	63	
2234	49	340	19	52	300	214	125	
2235	8	1	5	12	1	383	246	
2236	8	1	417	12	1	10	1	
2237	52	308	49	60	112	141	55	
2238	470	263	46	239	94	93	126	
2239	45	424	421	127	540	71	407	
2240	94	113	30	165	112	141	42	
2241	43	624	278	537	6	73	6	
2242	468	386	30	187	136	388	79	
2243	16	625	74	538	472	34	243	
2244	162	476	422	178	137	195	101	
2245	16	77	74	129	108	34	411	
2246	8	404	24	12	1	10	4	
2247	37	621	25	26	8	32	27	
2248	122	476	131	163	172	195	101	
2249	8	30	5	540	44	22	109	
2250	124	622	131	7	503	131	120	
2251	124	622	158	7	503	131	120	
2252	29	19	25	10	11	270	6	
2253	88	134	15	60	299	190	55	
2254	289	76	54	72	544	45	42	
2255	95	478	46	539	545	390	28	
2256	16	171	165	536	147	113	11	
2257	82	113	46	7	112	141	83	
2258	94	202	28	7	54	387	237	
2259	350	626	23	161	108	389	111	
2260	46	627	423	542	147	391	113	
2261	476	110	108	541	214	38	150	
2262	91	77	23	161	108	34	111	
2263	137	595	23	103	108	106	111	
2264	117	106	2	15	139	189	113	
2265	173	29	74	155	188	34	163	
2266	13	171	23	163	109	113	149	
2267	91	623	23	161	138	34	111	
2268	126	77	74	161	109	34	111	
2269	13	166	123	155	133	113	11	
2270	249	72	335	520	522	381	405	
2271	77	615	408	516	369	26	158	
2272	477	602	49	56	360	371	55	
2273	456	629	416	443	247	34	243	
2274	477	605	49	56	360	371	55	
2275	374	68	5	15	7	107	8	
2276	7	7	109	453	6	7	24	
2277	49	459	30	310	16	393	204	
2278	9	275	28	454	16	46	8	
2279	399	7	5	4	6	7	24	
2280	21	344	225	455	16	325	125	
2281	31	7	109	453	6	7	24	
2282	254	90	19	66	48	214	76	
2283	229	291	36	24	21	38	8	
2284	77	90	245	310	382	214	360	
2285	229	291	34	456	458	38	13	
2286	63	33	45	30	2	6	12	
2287	206	51	439	60	139	20	55	
2288	119	456	30	73	139	20	174	
2289	13	311	34	248	247	198	8	
2290	31	409	166	4	312	115	31	
2291	147	77	32	544	38	392	94	
2292	63	644	49	267	79	33	12	
2293	25	25	7	32	35	27	37	
2294	31	3	16	12	44	21	6	
2295	222	25	203	32	11	322	8	
2296	25	38	7	7	319	3	37	
2297	250	332	20	333	295	209	63	
2298	373	38	7	7	319	3	37	
2299	197	247	44	357	16	6	76	
2300	63	42	53	4	7	68	12	
2301	252	52	166	15	319	18	370	
2302	490	646	445	559	546	394	412	
2303	26	78	23	514	156	38	72	
2304	148	110	74	129	518	113	81	
2305	149	58	405	254	519	265	61	
2306	326	424	46	7	520	15	80	
2307	488	639	2	534	323	26	113	
2308	264	349	440	560	553	404	418	
2309	119	142	2	31	53	190	76	
2310	62	109	72	16	106	39	34	
2311	122	444	31	552	491	34	12	
2312	191	285	432	387	212	39	92	
2313	96	45	429	108	45	42	414	
2314	8	23	36	561	298	410	12	
2315	485	128	202	305	357	102	153	
2316	343	643	359	400	559	411	184	
2317	367	177	30	548	34	86	76	
2318	482	632	202	550	549	102	127	
2319	16	110	266	218	192	158	13	
2320	36	259	181	7	557	409	370	
2321	489	197	441	303	216	407	420	
2322	31	262	181	383	2	18	33	
2323	487	83	433	556	393	67	227	
2324	297	546	172	84	548	67	227	
2325	484	245	173	553	393	67	415	
2326	154	593	435	164	133	37	81	
2327	478	83	172	84	393	67	227	
2328	479	245	172	238	393	67	155	
2329	486	636	30	156	552	357	417	
2330	90	30	11	138	107	77	18	
2331	8	30	45	269	2	6	12	
2332	17	177	53	223	53	189	74	
2333	491	2	275	344	228	32	422	
2334	492	433	446	563	560	15	8	
2335	157	399	397	368	361	34	234	
2336	306	63	23	345	359	255	33	
2337	493	388	226	114	369	245	235	
2338	157	647	46	16	561	246	234	
2339	144	110	456	419	576	34	111	
2340	490	646	30	559	546	394	428	
2341	498	618	28	566	67	45	145	
2342	88	56	28	15	218	52	55	
2343	59	53	54	7	78	61	64	
2344	91	77	457	571	444	113	111	
2345	62	85	58	54	483	42	62	
2346	281	452	32	95	212	38	102	
2347	144	201	74	103	65	419	12	
2348	16	110	99	60	145	98	61	
2349	91	167	74	572	109	420	51	
2350	510	76	54	72	54	103	42	
2351	508	77	74	573	133	37	94	
2352	509	159	340	552	577	37	8	
2353	197	247	22	223	16	6	427	
2354	96	664	99	574	145	37	111	
2355	326	655	95	7	94	415	77	
2356	38	655	30	7	94	71	64	
2357	82	655	95	165	581	93	55	
2358	486	666	30	7	582	52	126	
2359	511	667	66	79	181	423	152	
2360	43	668	49	15	16	81	106	
2361	254	344	22	30	16	21	157	
2362	54	241	66	127	181	423	152	
2363	15	48	42	154	43	6	12	
2364	45	132	28	15	218	337	113	
2365	15	193	22	4	323	85	145	
2366	8	8	24	270	1	10	4	
2367	43	134	30	15	299	20	76	
2368	254	33	22	72	7	86	145	
2369	242	669	8	6	14	15	245	
2370	512	241	66	79	181	423	152	
2371	8	30	5	9	44	21	4	
2372	18	30	53	30	2	6	12	
2373	48	33	30	66	48	55	76	
2374	8	1	5	34	16	26	1	
2375	254	90	30	66	48	214	360	
2376	13	674	464	103	441	38	432	
2377	23	25	24	32	11	3	8	
2378	222	25	21	7	14	3	18	
2379	17	25	5	356	11	3	8	
2380	270	21	309	32	11	3	8	
