ST	aspA	glnA	gltA	glyA	pgm	tkt	uncA	clonal_complex
5482	103	110	30	140	22	164	79	ST-1150 complex
5483	3	392	5	17	11	11	6	ST-49 complex
5484	24	30	2	2	89	466	6	ST-460 complex
5485	24	2	2	15	23	1	12	ST-443 complex
5486	7	71	2	62	569	67	6	
5487	22	15	4	64	363	25	23	ST-1034 complex
5488	166	411	1	10	151	3	1	
5489	300	7	10	4	1	7	1	ST-45 complex
5490	7	84	5	2	11	1	6	ST-353 complex
5491	129	39	65	82	113	47	17	
5492	22	15	4	64	74	60	23	ST-1034 complex
5493	2	1	12	3	239	1	5	ST-21 complex
5494	204	412	86	445	581	209	76	
5495	33	38	30	82	582	43	17	ST-828 complex
5496	33	39	30	82	189	85	17	ST-828 complex
5497	33	38	30	79	583	43	41	
5498	7	15	4	28	460	59	35	
5499	2	15	4	3	154	25	26	
5500	22	28	307	28	58	99	35	
5501	2	4	1	2	10	1	5	ST-48 complex
5502	2	257	4	64	17	25	212	ST-1034 complex
5503	4	7	10	4	584	7	1	ST-45 complex
5504	7	15	4	28	363	3	35	
5505	215	153	30	82	104	35	17	ST-828 complex
5506	33	39	30	79	506	47	17	ST-828 complex
5507	33	39	30	79	112	64	17	ST-828 complex
5508	33	407	30	104	104	47	139	
5509	66	39	30	79	104	35	325	
5510	33	39	30	82	112	47	17	ST-828 complex
5511	33	39	30	82	113	47	139	ST-828 complex
5512	33	39	30	82	506	47	17	ST-828 complex
5513	32	39	65	82	113	47	17	
5514	33	39	241	79	113	47	17	
5515	33	39	30	442	104	206	17	ST-828 complex
5516	33	176	30	82	113	43	139	ST-828 complex
5517	304	39	30	82	104	47	139	ST-828 complex
5518	33	39	30	167	104	47	139	ST-828 complex
5519	32	39	30	82	104	47	139	ST-828 complex
5520	22	405	4	28	363	3	35	
5521	7	4	5	2	10	1	5	ST-48 complex
5522	2	4	1	2	2	3	5	ST-48 complex
5523	64	33	78	18	585	86	16	
5524	18	33	22	326	1	109	60	
5525	18	22	229	24	586	86	6	
5526	27	255	78	18	43	86	16	
5527	18	89	77	107	122	86	60	ST-952 complex
5528	18	70	165	97	115	86	47	
5529	64	22	343	255	138	479	16	
5530	18	22	22	18	345	86	47	
5531	18	33	22	18	159	86	16	
5532	76	22	165	98	116	480	16	
5533	258	174	207	193	116	381	284	
5534	18	22	20	104	25	160	60	
5535	18	2	344	18	587	86	16	
5536	307	413	113	446	588	392	347	
5537	2	1	2	62	2	1	5	ST-21 complex
5538	1	17	2	2	11	12	6	ST-354 complex
5539	2	1	1	3	2	456	5	ST-21 complex
5540	2	1	12	449	2	1	5	ST-21 complex
5541	2	414	5	3	2	3	5	ST-21 complex
5542	1	1	2	448	2	3	6	
5543	18	22	22	18	194	17	16	
5544	1	2	3	4	5	9	16	ST-42 complex
5545	64	70	77	98	123	229	1	
5546	4	7	10	4	1	7	3	ST-45 complex
5547	2	1	12	3	2	1	16	ST-21 complex
5548	4	7	10	4	1	292	5	ST-45 complex
5549	4	7	12	4	42	51	5	ST-283 complex
5550	1	6	29	2	40	32	6	ST-179 complex
5551	7	2	8	5	8	2	4	ST-177 complex
5552	1	2	3	209	5	9	3	ST-42 complex
5553	197	1	12	3	2	1	5	ST-21 complex
5554	197	1	1	3	2	1	5	ST-21 complex
5555	2	4	255	4	19	3	6	ST-658 complex
5556	64	22	212	98	120	301	16	
5557	267	1	12	3	2	1	5	ST-21 complex
5558	4	7	10	4	1	76	1	ST-45 complex
5559	64	22	164	100	123	101	60	
5560	2	1	50	3	2	1	5	ST-21 complex
5561	10	81	12	99	50	76	52	ST-677 complex
5562	64	33	78	111	138	17	16	
5563	10	81	59	99	120	76	52	ST-677 complex
5564	64	22	68	255	68	103	16	
5565	4	7	10	4	10	308	1	ST-45 complex
5566	197	4	1	2	7	1	5	ST-48 complex
5567	197	4	1	4	19	62	5	
5568	213	4	1	2	7	51	5	ST-48 complex
5569	213	4	1	2	7	4	5	ST-48 complex
5570	84	106	29	28	136	1	90	ST-1287 complex
5571	4	7	41	4	41	7	1	ST-45 complex
5572	2	1	12	3	12	1	5	ST-21 complex
5573	166	2	5	2	5	3	12	
5574	7	64	5	2	5	3	6	ST-353 complex
5575	10	81	50	99	50	76	52	ST-677 complex
5576	2	1	5	3	5	1	5	ST-21 complex
5577	7	84	5	25	5	1	5	
5578	4	7	10	4	10	380	1	ST-45 complex
5579	1	2	42	4	42	58	34	
5580	4	7	41	4	41	380	1	ST-45 complex
5581	2	1	10	4	1	7	1	ST-45 complex
5582	4	7	2	4	19	3	6	ST-658 complex
5583	55	21	2	71	11	1	3	
5584	2	21	5	2	2	12	5	ST-206 complex
5585	8	10	5	2	11	3	6	ST-354 complex
5586	55	21	2	71	11	5	3	
5587	1	84	5	10	11	3	6	
5588	7	55	346	10	19	413	6	
5589	2	21	1	93	11	3	6	
5590	1	2	42	450	10	9	59	
5591	7	2	49	4	11	66	8	ST-362 complex
5592	8	21	5	451	11	5	1	ST-607 complex
5593	7	396	5	62	591	61	44	
5594	2	2	42	209	90	25	8	
5595	3	415	2	452	11	3	6	
5596	10	17	2	10	11	227	5	
5597	10	2	42	4	90	25	8	
5598	1	3	6	4	3	66	1	ST-22 complex
5599	7	1	5	10	11	11	6	ST-49 complex
5600	7	55	5	10	590	481	6	
5601	2	257	16	243	23	3	12	
5602	7	1	12	2	2	3	5	
5603	136	188	69	113	270	277	152	
5604	33	176	30	82	188	43	17	ST-828 complex
5605	10	7	10	4	1	7	16	ST-45 complex
5606	4	7	10	4	1	292	57	ST-45 complex
5607	37	4	4	48	3	25	5	
5608	4	7	10	4	1	7	46	ST-45 complex
5609	18	235	164	100	138	114	16	
5610	48	7	10	3	4	7	1	ST-45 complex
5611	48	7	10	4	1	7	23	ST-45 complex
5612	80	22	270	100	2	103	16	
5613	10	7	10	4	10	7	1	ST-45 complex
5614	2	29	4	27	10	112	57	
5615	10	81	50	99	20	76	52	ST-677 complex
5616	37	1	10	26	127	80	23	ST-692 complex
5617	64	22	203	255	134	103	60	
5618	80	33	22	18	116	10	47	
5619	4	4	1	2	7	51	5	ST-48 complex
5620	7	17	5	2	5	3	6	ST-353 complex
5621	2	17	1	2	1	48	6	
5622	182	112	5	62	11	3	249	
5623	10	119	50	126	50	51	112	
5624	2	4	67	4	19	3	6	ST-658 complex
5625	2	17	5	10	7	178	26	
5626	47	17	5	10	11	48	8	ST-446 complex
5627	2	59	27	365	487	3	33	
5628	29	7	10	4	1	3	1	ST-45 complex
5629	311	96	22	100	134	103	16	
5630	312	70	22	18	2	74	47	
5631	76	22	347	98	116	86	16	ST-952 complex
5632	294	230	87	271	420	196	327	
5633	53	66	30	454	104	117	17	
5634	86	417	186	455	267	208	268	
5635	136	188	69	456	270	85	152	
5636	33	39	30	79	113	85	17	ST-828 complex
5637	142	86	88	276	594	208	156	
5638	86	86	86	319	165	483	156	
5639	130	86	86	315	595	484	95	
5640	33	39	30	82	247	77	17	ST-828 complex
5641	8	17	5	2	460	59	6	ST-353 complex
5642	33	39	30	79	247	43	17	ST-828 complex
5643	33	39	30	296	104	85	38	ST-828 complex
5644	2	64	4	64	126	7	23	ST-1034 complex
5645	2	1	21	3	2	9	5	ST-21 complex
5646	18	22	5	18	43	86	16	ST-952 complex
5647	2	52	57	26	74	29	35	ST-692 complex
5648	37	418	57	26	129	29	23	ST-692 complex
5649	2	1	5	10	11	1	5	ST-21 complex
5650	175	6	216	4	261	7	3	
5651	4	7	10	457	1	7	1	ST-45 complex
5652	33	66	44	82	189	44	17	
5653	7	21	5	62	4	173	44	
5654	8	10	149	2	104	12	6	ST-354 complex
5655	1	1	21	3	2	1	5	ST-21 complex
5656	8	10	149	2	11	12	17	ST-354 complex
5657	1	6	216	4	261	7	3	
5658	130	240	87	458	335	126	194	
5659	33	66	30	82	113	206	17	ST-828 complex
5660	136	188	69	456	270	277	152	
5661	9	53	2	53	11	12	3	ST-574 complex
5662	9	2	2	10	10	3	6	ST-52 complex
5663	24	10	2	2	89	59	6	ST-460 complex
5664	8	30	2	2	11	12	6	ST-354 complex
5665	9	2	2	10	11	3	5	ST-52 complex
5666	9	17	5	53	151	3	6	ST-353 complex
5667	7	2	5	72	22	3	6	ST-353 complex
5668	9	17	1	53	151	102	6	
5669	7	2	5	72	22	102	3	
5670	2	6	1	3	2	1	5	ST-21 complex
5671	7	17	351	15	23	3	12	ST-443 complex
5672	33	39	30	82	152	47	17	ST-828 complex
5673	18	22	22	18	410	103	16	
5674	64	22	77	100	134	17	16	
5675	33	39	30	79	113	47	68	
5676	33	39	66	174	104	58	41	
5677	33	39	66	174	104	436	41	
5678	33	110	134	82	210	35	17	
5679	85	100	22	18	133	86	149	
5680	181	53	2	53	312	3	3	ST-574 complex
5681	1	1	12	3	2	1	6	ST-21 complex
5682	1	1	1	3	6	1	3	ST-21 complex
5683	2	1	12	3	2	16	5	ST-21 complex
5684	2	4	1	372	7	1	5	ST-48 complex
5685	2	17	3	4	2	1	5	ST-21 complex
5686	7	4	1	68	86	58	6	
5687	8	1	5	3	2	3	5	ST-21 complex
5688	8	17	5	2	7	3	1	ST-353 complex
5689	9	4	1	93	11	3	6	
5690	1	25	2	2	6	3	5	ST-61 complex
5691	2	1	2	4	19	3	6	ST-658 complex
5692	2	1	12	82	104	1	5	ST-21 complex
5693	60	69	52	79	90	3	6	
5694	9	17	5	79	350	3	3	
5695	303	39	30	79	113	47	17	
5696	303	39	30	79	576	47	17	
5697	7	2	350	72	22	102	6	
5698	7	2	5	53	22	3	6	ST-353 complex
5699	9	17	1	72	151	102	6	
5700	7	2	5	461	22	102	6	
5701	9	53	2	72	11	3	6	ST-52 complex
5702	8	419	2	2	11	12	6	ST-354 complex
5703	24	2	2	10	10	3	5	ST-464 complex
5704	237	165	254	340	433	485	349	
5705	2	4	84	459	126	25	57	
5706	18	33	22	460	586	486	6	
5707	1	1	42	4	3	58	351	
5708	8	2	255	212	309	253	147	
5709	8	17	5	2	5	3	1	ST-353 complex
5710	4	7	10	67	42	7	1	ST-45 complex
5711	7	84	42	62	11	67	6	
5712	22	2	27	297	2	436	5	
5713	61	70	22	18	2	1	47	
5714	32	66	122	192	189	44	17	
5715	2	27	30	78	104	122	17	
5716	9	17	5	10	151	61	3	
5717	2	421	4	64	332	7	23	ST-1034 complex
5718	8	10	2	2	11	487	6	ST-354 complex
5719	18	93	20	108	138	107	61	
5720	8	2	52	10	10	3	6	
5721	8	10	2	4	11	12	335	ST-354 complex
5722	4	2	10	4	42	7	1	ST-45 complex
5723	10	31	95	129	101	45	49	
5724	314	420	78	463	205	86	16	
5725	309	39	69	447	589	35	352	
5726	2	1	5	462	2	1	5	ST-21 complex
5727	2	1	12	462	2	1	5	ST-21 complex
5728	2	59	4	38	10	488	35	ST-433 complex
5729	7	114	2	83	2	3	6	
5730	7	17	5	2	22	5	1	ST-353 complex
5731	24	2	2	2	10	3	12	ST-464 complex
5732	24	2	2	2	10	59	1	ST-464 complex
5733	33	39	65	82	596	47	17	ST-828 complex
5734	33	110	30	115	104	43	17	ST-828 complex
5735	33	39	30	82	113	47	353	ST-828 complex
5736	33	66	30	79	163	43	292	
5737	87	39	30	79	243	43	17	ST-828 complex
5738	160	84	5	10	13	3	5	
5739	315	112	5	2	13	1	26	
5740	2	4	5	2	2	282	5	ST-206 complex
5741	308	1	12	3	2	1	5	ST-21 complex
5742	9	2	4	62	11	5	6	ST-257 complex
5743	33	39	30	79	112	35	17	ST-828 complex
5744	2	15	29	28	10	67	35	
5745	33	38	30	464	104	35	17	ST-828 complex
5746	33	38	30	81	104	35	36	
5747	62	4	5	2	6	1	5	ST-48 complex
5748	1	4	2	80	6	3	5	ST-61 complex
5749	2	1	342	3	2	1	5	ST-21 complex
5750	8	17	2	2	11	12	350	ST-354 complex
5751	7	17	355	2	11	3	6	ST-353 complex
5752	2	59	4	48	126	25	23	ST-1034 complex
5753	8	7	352	4	125	7	1	ST-45 complex
5754	7	28	353	28	363	59	35	
5755	33	38	354	82	113	64	17	
5756	73	21	2	465	86	3	6	
5757	33	38	30	466	104	43	17	ST-828 complex
5758	7	422	5	10	11	3	6	ST-353 complex
5759	22	28	4	295	372	99	35	
5760	2	257	4	243	2	25	212	
5761	4	296	40	4	42	51	1	ST-283 complex
5762	8	61	4	64	141	60	23	ST-1034 complex
5763	8	15	4	64	74	25	23	ST-1034 complex
5764	32	39	30	115	113	85	17	
5765	22	28	4	399	600	99	35	
5766	53	39	44	174	104	44	36	
5767	33	39	30	82	118	171	17	ST-828 complex
5768	33	424	30	82	113	43	17	ST-828 complex
5769	32	153	30	82	104	43	17	ST-828 complex
5770	33	153	30	173	104	35	68	
5771	32	160	44	82	118	43	36	
5772	33	38	30	173	104	85	68	
5773	33	153	30	82	113	44	17	ST-828 complex
5774	33	39	30	78	118	43	17	ST-828 complex
5775	32	38	30	82	104	43	42	ST-828 complex
5776	32	39	30	81	118	44	36	
5777	33	39	65	82	113	43	17	ST-828 complex
5778	10	39	356	82	113	43	17	ST-828 complex
5779	2	21	5	3	2	12	5	ST-206 complex
5780	2	257	80	243	11	25	212	
5781	62	2	3	4	5	9	3	ST-42 complex
5782	33	39	30	467	104	43	17	ST-828 complex
5783	33	426	30	82	104	43	17	ST-828 complex
5784	33	39	103	79	113	43	41	
5785	2	1	21	3	119	1	5	ST-21 complex
5786	2	4	5	2	11	201	6	
5787	33	38	30	82	118	1	17	ST-828 complex
5788	53	39	30	79	152	43	17	ST-828 complex
5789	2	1	5	400	11	1	5	ST-21 complex
5790	38	33	22	288	122	17	243	
5791	2	28	4	64	599	3	35	
5792	53	39	44	82	113	35	17	
5793	181	17	1	10	23	3	6	
5794	316	17	2	15	23	3	12	ST-443 complex
5795	22	28	4	28	363	3	23	
5796	9	25	357	10	7	3	6	ST-52 complex
5797	2	1	12	3	19	1	5	ST-21 complex
5798	2	15	4	405	154	25	35	
5799	7	2	2	15	23	3	12	ST-443 complex
5800	1	3	10	4	3	3	3	ST-22 complex
5801	9	2	12	2	11	3	1	ST-607 complex
5802	24	1	5	10	11	68	6	ST-49 complex
5803	2	52	29	48	23	25	23	ST-702 complex
5804	18	70	77	97	115	86	47	
5805	24	2	2	2	601	3	1	ST-464 complex
5806	32	39	30	79	104	117	36	
5807	22	15	4	3	602	25	35	
5808	7	2	2	2	89	59	6	ST-460 complex
5809	2	4	5	4	2	1	5	ST-206 complex
5810	2	39	30	82	113	47	17	ST-828 complex
5811	2	2	52	3	2	100	5	ST-21 complex
5812	24	2	2	2	17	3	1	ST-464 complex
5813	53	39	30	82	603	43	17	ST-828 complex
5814	124	39	30	82	113	47	74	
5815	7	17	358	2	10	3	354	ST-353 complex
5816	7	17	5	2	2	1	6	ST-353 complex
5817	2	61	10	26	600	25	23	ST-1034 complex
5818	6	15	5	2	11	1	5	
5819	2	427	5	37	60	1	5	ST-206 complex
5820	8	10	1	2	11	12	6	ST-354 complex
5821	2	4	1	2	11	1	5	ST-48 complex
5822	9	25	2	10	7	3	6	ST-52 complex
5823	9	2	4	62	86	5	6	ST-257 complex
5824	8	10	2	2	86	12	6	ST-354 complex
5825	7	4	1	2	22	1	5	ST-48 complex
5826	2	1	5	3	22	3	5	ST-21 complex
5827	14	21	2	10	7	3	6	ST-52 complex
5828	33	1	4	3	7	1	5	ST-21 complex
5829	2	4	156	2	7	1	5	ST-48 complex
5830	33	4	1	2	10	1	5	ST-48 complex
5831	7	71	5	62	4	67	6	ST-581 complex
5832	2	4	84	48	131	25	57	
5833	33	39	30	19	188	47	17	ST-828 complex
5834	33	39	66	174	104	53	41	
5835	317	39	30	79	113	85	17	
5836	4	7	10	4	1	492	1	ST-45 complex
5837	9	17	2	2	11	12	356	ST-354 complex
5838	103	110	103	171	188	172	79	ST-1150 complex
5839	33	38	30	82	189	85	17	ST-828 complex
5840	7	17	5	62	23	67	6	ST-353 complex
5841	227	425	253	338	597	490	250	
5842	2	59	4	105	179	25	23	ST-1034 complex
5843	1	1	5	48	394	88	233	
5844	33	39	44	82	104	43	17	ST-828 complex
5845	18	70	164	97	115	86	47	
5846	76	105	72	104	124	96	31	
5847	2	1	57	26	127	25	35	
5848	9	2	4	62	4	255	6	ST-257 complex
5849	24	2	2	53	23	3	1	ST-464 complex
5850	9	17	5	10	7	3	3	
5851	24	2	2	2	5	3	1	ST-464 complex
5852	1	2	3	4	10	9	3	ST-42 complex
5853	2	17	17	3	2	1	5	ST-21 complex
5854	2	1	12	407	11	1	5	ST-21 complex
5855	2	428	1	2	7	1	5	ST-48 complex
5856	8	364	4	64	129	99	35	
5857	8	2	80	28	74	24	23	
5858	8	364	80	64	129	25	35	
5859	8	2	2	212	127	253	147	
5860	60	30	2	2	89	59	6	ST-460 complex
5861	24	2	2	2	89	3	6	ST-460 complex
5862	24	17	27	10	11	3	6	
5863	33	17	27	10	11	47	6	
5864	7	114	52	2	13	3	6	ST-353 complex
5865	33	36	5	2	89	3	6	ST-353 complex
5866	7	17	5	10	2	3	6	ST-353 complex
5867	9	17	5	10	350	253	3	
5868	9	2	2	10	309	3	147	ST-52 complex
5869	8	2	2	212	22	253	147	
5870	24	30	2	2	11	253	6	ST-460 complex
5871	24	30	5	2	89	25	6	ST-460 complex
5872	9	2	2	10	127	29	5	
5873	24	30	5	2	13	3	6	ST-353 complex
5874	37	52	4	131	127	29	23	ST-692 complex
5875	37	52	57	131	127	29	23	ST-692 complex
5876	8	2	5	2	10	3	6	ST-353 complex
5877	24	30	2	2	86	3	6	ST-460 complex
5878	9	17	5	10	350	3	23	
5879	2	29	4	48	10	25	24	
5880	2	29	4	48	13	3	57	
5881	2	59	4	48	131	25	238	
5882	2	61	4	64	126	136	23	ST-1034 complex
5883	27	7	31	18	178	136	16	
5884	84	106	29	28	74	25	90	ST-1287 complex
5885	84	106	29	28	74	29	87	ST-1287 complex
5886	84	106	29	28	74	136	87	ST-1287 complex
5887	84	106	29	28	74	388	90	ST-1287 complex
5888	84	106	29	28	526	136	116	ST-1287 complex
5889	84	121	20	144	74	183	90	
5890	84	141	29	144	388	136	87	
5891	18	70	22	97	134	29	47	
5892	8	364	80	69	604	25	35	
5893	8	364	80	470	127	25	328	
5894	2	52	29	469	127	253	23	ST-702 complex
5895	7	17	5	10	605	99	6	ST-353 complex
5896	7	17	5	10	605	12	6	ST-353 complex
5897	37	15	29	10	127	29	57	
5898	33	17	30	82	104	47	6	ST-828 complex
5899	8	2	30	212	2	58	147	
5900	24	30	5	2	10	3	6	ST-353 complex
5901	33	39	30	79	19	43	17	ST-828 complex
5902	33	110	30	115	189	47	41	
5903	2	195	103	140	188	164	79	ST-1150 complex
5904	2	4	1	2	17	1	5	ST-48 complex
5905	33	39	30	82	113	59	17	ST-828 complex
5906	33	38	30	82	104	225	36	ST-828 complex
5907	7	247	1	10	11	3	6	ST-574 complex
5908	7	2	5	2	104	3	6	ST-353 complex
5909	33	364	30	82	129	47	6	
5910	7	53	5	15	11	3	6	ST-353 complex
5911	8	364	80	470	470	25	6	
5912	8	364	57	470	220	29	35	
5913	16	2	2	62	3	9	8	ST-41 complex
5914	32	38	30	82	104	493	17	ST-828 complex
5915	7	2	4	62	606	5	6	ST-257 complex
5916	37	52	4	131	604	3	23	
5917	37	364	359	64	127	47	23	
5918	37	52	4	48	127	29	23	ST-692 complex
5919	33	39	30	82	104	225	33	ST-828 complex
5920	33	38	30	82	113	43	40	ST-828 complex
5921	33	38	30	82	104	47	26	ST-828 complex
5922	33	39	30	82	113	44	23	ST-828 complex
5923	33	38	30	82	104	47	139	ST-828 complex
5924	33	39	30	82	104	225	36	ST-828 complex
5925	33	38	30	82	104	29	36	ST-828 complex
5926	33	39	30	82	506	43	17	ST-828 complex
5927	32	39	2	79	113	12	6	
5928	33	38	30	174	104	47	17	ST-828 complex
5929	33	42	30	310	104	47	17	ST-828 complex
5930	33	291	30	174	104	47	17	ST-828 complex
5931	33	39	30	26	113	47	125	
5932	33	42	30	82	104	3	6	ST-828 complex
5933	32	38	30	82	104	43	12	ST-828 complex
5934	9	53	2	10	10	3	5	ST-52 complex
5935	103	39	30	140	188	164	79	ST-1150 complex
5936	32	39	30	82	104	47	17	ST-828 complex
5937	33	38	30	82	104	44	147	ST-828 complex
5938	32	38	30	82	104	43	6	ST-828 complex
5939	37	52	57	26	127	3	23	ST-692 complex
5940	32	39	30	82	104	43	79	ST-828 complex
5941	53	38	30	82	104	43	38	ST-828 complex
5942	33	38	30	79	104	214	17	ST-828 complex
5943	33	38	134	79	104	117	17	
5944	33	110	30	79	113	164	17	
5945	33	38	30	82	113	35	36	
5946	33	39	134	82	113	333	17	ST-828 complex
5947	33	38	30	82	104	47	36	ST-828 complex
5948	317	39	30	79	113	47	17	
5949	8	61	4	471	470	24	6	
5950	8	61	4	472	470	99	23	
5951	33	176	30	79	104	117	17	ST-828 complex
5952	8	61	4	472	470	24	6	
5953	37	364	4	471	74	407	124	
5954	318	2	30	82	113	43	42	
5955	33	39	30	82	113	44	6	ST-828 complex
5956	33	39	30	470	189	47	17	ST-828 complex
5957	33	42	30	79	104	35	3	
5958	33	39	30	296	104	47	17	ST-828 complex
5959	53	38	30	82	337	43	17	ST-828 complex
5960	33	39	30	79	113	65	17	ST-828 complex
5961	33	39	65	79	163	35	17	
5962	33	406	30	82	113	43	17	ST-828 complex
5963	130	177	86	124	325	372	156	
5964	86	228	88	221	598	278	355	
5965	33	39	161	79	104	206	17	ST-828 complex
5966	33	38	37	82	104	43	17	ST-828 complex
5967	33	66	30	79	188	43	17	ST-828 complex
5968	7	17	79	15	23	3	12	ST-443 complex
5969	22	28	4	243	363	99	35	
5970	9	21	4	28	363	3	35	
5971	2	115	4	26	127	3	35	
5972	47	2	5	10	11	48	6	ST-446 complex
5973	22	15	4	64	360	25	23	ST-1034 complex
5974	18	22	77	100	134	103	60	
5975	18	89	77	351	122	113	16	ST-952 complex
5976	10	2	106	349	1	7	1	
5977	10	2	106	349	261	7	1	
5978	64	22	77	98	122	17	16	ST-952 complex
5979	18	33	22	104	116	1	16	
5980	9	21	4	28	1	3	1	
5981	18	22	22	18	410	103	1	
5982	76	375	318	409	124	285	31	
5983	18	7	10	4	1	7	1	ST-45 complex
5984	64	22	20	143	134	103	16	
5985	18	22	77	345	134	378	47	
5986	64	22	68	255	138	103	16	
5987	18	22	22	98	138	320	16	ST-952 complex
5988	85	100	22	18	158	86	149	
5989	80	70	68	97	122	106	16	
5990	64	33	22	10	122	303	16	
5991	18	22	77	155	134	101	16	ST-952 complex
5992	2	2	12	3	1	1	1	
5993	2	21	248	10	151	3	6	
5994	8	10	248	2	11	12	6	ST-354 complex
5995	2	71	95	62	11	67	6	
5996	2	1	12	3	2	436	5	ST-21 complex
5997	14	21	248	10	86	3	6	
5998	9	2	2	53	11	3	1	ST-607 complex
5999	8	15	4	64	74	430	23	ST-1034 complex
6000	7	2	5	480	10	37	1	
6001	4	7	10	481	1	7	1	ST-45 complex
6002	37	15	4	482	600	25	35	
6003	9	17	5	10	350	3	360	
6004	2	15	4	28	527	29	35	
6005	22	61	29	38	141	60	40	
6006	322	116	88	124	162	126	76	
6007	33	39	30	82	104	7	17	ST-828 complex
6008	8	10	2	2	11	498	6	ST-354 complex
6009	2	115	4	28	90	25	35	
6010	321	2	3	4	5	9	3	ST-42 complex
6011	2	2	5	3	2	1	5	ST-21 complex
6012	1	3	6	4	3	491	3	ST-22 complex
6013	4	7	10	4	42	292	1	ST-45 complex
6014	288	81	50	99	174	76	52	ST-677 complex
6015	76	22	77	189	1	101	16	
6016	76	22	77	189	10	101	16	
6017	4	7	10	4	74	7	1	ST-45 complex
6018	4	7	10	4	332	7	1	ST-45 complex
6019	2	1	1	3	42	1	5	ST-21 complex
6020	37	52	4	26	1	29	23	ST-692 complex
6021	2	21	5	3	11	1	5	ST-206 complex
6022	9	2	4	62	1	5	6	ST-257 complex
6023	4	7	40	4	74	7	1	ST-45 complex
6024	4	7	348	4	176	7	1	ST-45 complex
6025	2	15	4	3	1	25	35	
6026	2	61	4	64	4	7	23	ST-1034 complex
6027	9	25	2	10	19	3	6	ST-52 complex
6028	4	7	10	4	593	7	1	ST-45 complex
6029	2	61	4	64	10	7	23	ST-1034 complex
6030	2	1	1	3	4	1	3	ST-21 complex
6031	9	2	4	62	120	5	6	ST-257 complex
6032	2	61	4	133	2	80	23	ST-1034 complex
6033	9	2	4	62	2	5	6	ST-257 complex
6034	64	70	77	98	2	229	16	
6035	2	61	4	133	89	80	23	ST-1034 complex
6036	48	7	10	4	134	7	1	ST-45 complex
6037	8	17	5	2	134	59	6	ST-353 complex
6038	22	15	4	64	1	25	23	ST-1034 complex
6039	1	3	6	4	43	3	3	ST-22 complex
6040	2	61	4	64	1	7	23	ST-1034 complex
6041	4	7	10	4	2	51	1	ST-45 complex
6042	84	106	29	28	89	1	35	ST-1287 complex
6043	4	7	10	4	127	7	1	ST-45 complex
6044	313	2	5	53	1	3	1	ST-607 complex
6045	313	2	5	53	23	3	1	ST-607 complex
6046	2	1	12	3	23	1	5	ST-21 complex
6047	22	61	4	64	42	25	23	ST-1034 complex
6048	2	1	29	28	1	57	35	ST-1332 complex
6049	4	7	10	4	154	7	1	ST-45 complex
6050	9	2	4	62	332	7	6	ST-257 complex
6051	2	1	1	3	332	76	5	ST-21 complex
6052	2	4	1	2	22	1	5	ST-48 complex
6053	2	4	1	4	22	1	5	ST-48 complex
6054	8	2	5	53	4	1	1	ST-607 complex
6055	4	296	10	4	2	1	1	ST-45 complex
6056	4	28	4	64	1	1	23	
6057	2	29	4	27	332	282	57	
6058	10	81	50	99	4	76	52	ST-677 complex
6059	2	4	349	2	2	1	5	ST-48 complex
6060	2	1	1	3	74	1	5	ST-21 complex
6061	2	1	2	3	1	1	5	ST-21 complex
6062	2	1	12	3	123	1	5	ST-21 complex
6063	6	4	52	2	74	282	5	
6064	2	61	4	64	126	489	23	ST-1034 complex
6065	15	423	78	18	205	86	188	
6066	17	2	362	5	8	2	4	ST-177 complex
6067	19	24	23	20	26	1	15	
6068	2	432	4	405	74	25	1	ST-1034 complex
6069	37	126	4	38	141	499	40	
6070	14	1	7	64	612	25	58	
6071	2	4	1	4	113	62	5	ST-48 complex
6072	2	112	5	62	2	3	26	
6073	33	38	44	323	113	35	36	
6074	33	38	30	79	104	332	17	ST-828 complex
6075	33	39	30	82	540	43	17	ST-828 complex
6076	1	7	363	4	261	7	1	ST-45 complex
6077	7	71	5	62	22	67	26	
6078	2	17	2	3	2	500	5	ST-21 complex
6079	84	106	29	28	74	136	89	ST-1287 complex
6080	84	106	115	28	74	161	87	ST-1287 complex
6081	2	4	4	48	74	25	57	ST-1034 complex
6082	10	31	95	129	388	134	49	
6083	24	30	2	2	89	3	6	ST-460 complex
6084	8	10	2	2	11	3	1	ST-354 complex
6085	103	103	57	26	74	25	23	
6086	63	223	181	251	306	263	168	
6087	7	76	5	2	10	3	6	ST-353 complex
6088	324	6	29	484	40	32	3	ST-179 complex
6089	2	1	12	3	2	226	5	ST-21 complex
6090	63	164	364	188	27	19	18	
6091	2	4	5	25	11	203	5	
6092	63	223	181	251	305	264	170	
6093	63	223	365	253	305	263	168	
6094	325	223	365	253	305	263	168	
6095	326	223	365	253	305	263	168	
6096	24	30	2	2	258	59	6	ST-460 complex
6097	8	2	2	2	11	12	69	ST-354 complex
6098	7	4	1	68	430	58	6	
6099	24	2	5	72	568	5	39	
6100	9	53	27	10	11	3	3	ST-574 complex
6101	9	364	57	26	176	3	35	
6102	60	69	5	10	11	3	6	
6103	9	17	193	2	86	3	1	
6104	24	2	27	72	75	5	321	
6105	9	30	2	2	258	59	6	ST-460 complex
6106	7	17	2	15	550	3	12	ST-443 complex
6107	9	2	2	10	529	3	5	ST-52 complex
6108	2	4	1	372	2	1	5	ST-21 complex
