ST	flaA	pilE	asd	mip	mompS	proA	neuA
1705	7	6	17	6	13	4	11
1706	6	6	14	14	4	14	6
1707	5	1	22	27	6	10	12
1708	6	10	17	28	4	14	9
1709	3	10	15	28	4	3	207
1710	2	3	5	28	33	14	6
1711	31	1	20	10	21	4	11
1712	27	3	9	12	2	1	6
1713	17	10	19	67	69	14	207
1714	37	11	4	9	58	16	52
1715	17	6	15	14	9	14	6
1716	6	6	17	28	13	14	11
1717	26	41	22	69	55	48	31
1718	11	14	16	19	15	13	215
1719	11	14	16	65	7	13	217
1720	2	10	17	14	21	14	221
1721	2	10	17	28	13	11	207
1722	2	3	6	50	51	1	9
1723	6	10	20	13	9	4	9
1724	2	7	11	3	11	12	9
1725	8	6	30	6	48	8	10
1726	21	14	29	1	15	29	206
1727	6	10	15	2	4	14	11
1728	32	6	15	6	86	7	6
1729	7	10	17	10	13	4	3
1730	2	6	17	6	8	8	9
1731	2	3	40	69	87	5	6
1732	8	6	30	6	48	8	11
1733	2	6	3	28	4	4	207
1734	6	10	23	70	33	14	9
1735	1	4	3	30	1	1	1
1736	17	10	15	14	17	3	11
1737	3	10	1	28	21	9	3
1738	10	22	7	28	9	18	13
1739	8	3	64	15	21	1	6
1740	19	25	25	68	49	28	225
1741	11	14	32	62	7	33	226
1742	2	19	5	10	33	1	10
1743	4	7	11	3	29	12	17
1744	4	8	11	15	59	26	6
1745	6	10	15	28	21	3	207
1746	6	10	19	28	9	14	207
1747	6	10	15	13	4	14	209
1748	2	3	5	10	2	1	201
1749	6	10	19	10	19	4	209
1750	2	10	15	16	21	14	201
1751	17	10	19	28	4	7	207
1752	6	10	19	28	9	14	208
1753	1	4	3	16	2	1	207
1754	1	10	19	28	4	7	207
1755	6	10	19	8	9	4	207
1756	3	13	1	21	11	9	9
1757	8	8	3	15	18	1	34
1758	2	3	9	1	2	1	6
1759	2	10	21	13	17	14	9
1760	12	15	11	11	18	12	10
1761	6	10	14	10	39	3	10
1762	7	10	21	28	9	14	3
1763	6	14	16	71	15	13	1
1764	27	3	9	12	63	1	6
1765	7	8	17	10	13	12	2
1766	21	23	28	2	15	29	6
1767	4	7	11	3	40	12	37
1768	10	10	7	28	85	18	16
1769	3	6	65	9	2	8	209
1770	2	10	3	36	9	4	9
1771	2	6	17	14	12	8	221
1772	2	6	3	28	9	4	3
1773	6	43	15	6	21	7	53
1774	7	10	3	72	9	4	13
1775	3	4	1	6	1	1	220
1776	4	4	1	1	14	9	24
1777	1	4	3	1	1	1	215
1778	3	14	16	16	15	13	9
1779	2	14	16	16	15	13	9
1780	6	10	20	28	13	14	207
1781	8	6	17	6	12	31	220
1782	2	6	17	28	12	11	207
1783	17	10	15	28	13	14	11
1784	2	10	2	16	13	14	202
1785	2	15	3	73	29	1	201
1786	2	15	3	73	29	1	9
1787	6	8	66	28	4	4	3
1788	26	6	9	52	67	1	6
1789	21	27	28	54	15	29	9
1790	3	12	1	3	1	9	11
1791	6	10	19	28	9	4	207
1792	6	10	3	14	9	4	6
1793	6	10	19	16	19	4	207
1794	10	22	7	28	16	3	8
1795	6	48	14	36	1	49	207
1796	2	8	18	10	2	1	2
1797	2	10	15	28	9	3	9
1798	7	10	17	10	13	4	11
1799	6	10	3	28	9	4	13
1800	4	8	11	2	5	12	4
1801	3	6	3	3	14	9	11
1802	7	6	17	10	11	11	3
1803	3	13	1	6	11	9	11
1804	26	41	22	21	55	48	31
1805	12	29	2	21	3	20	15
1806	4	8	11	3	29	12	9
1807	4	10	11	10	29	12	10
1808	4	8	11	25	11	12	2
1809	17	10	3	27	9	14	3
1810	4	7	11	3	30	12	9
1811	6	10	15	28	4	3	6
1812	2	12	3	6	9	14	11
1813	3	13	1	6	14	9	3
1814	10	22	7	50	8	18	6
1815	7	6	17	3	13	11	207
1816	6	10	17	3	4	14	6
1817	6	10	15	28	21	7	9
1818	10	12	7	28	4	18	11
1819	1	4	3	12	1	1	1
1820	12	8	11	18	8	12	6
1821	5	1	22	30	6	10	11
1822	2	6	3	10	9	14	11
1823	21	14	29	10	15	29	206
1824	12	10	11	5	20	12	2
1825	6	10	15	3	21	4	15
1826	12	10	5	10	18	1	209
1827	3	5	1	8	14	9	207
1828	5	1	22	20	6	10	4
1829	6	10	15	1	17	14	11
1830	7	10	17	28	62	11	11
1831	2	10	14	10	21	4	6
1832	2	4	19	28	21	14	11
1833	2	10	14	10	9	4	3
1834	2	3	18	15	63	1	6
1835	11	14	22	16	15	13	2
1836	2	10	19	28	9	4	13
1837	2	10	3	3	9	4	42
1838	6	10	15	3	2	3	3
1839	3	10	1	28	14	9	4
1840	6	10	15	30	9	4	1
1841	6	41	22	69	55	48	31
1842	2	10	15	12	17	14	11
1843	7	10	17	12	13	11	11
1844	17	10	15	28	17	3	207
1845	21	27	28	28	15	29	9
1847	2	3	5	12	2	1	6
1848	6	10	14	5	21	14	9
1849	5	1	20	74	6	10	203
1850	6	10	15	10	13	4	9
1851	6	10	19	12	19	4	207
1852	2	10	63	10	2	1	6
1853	8	10	3	15	29	1	6
1854	5	3	6	10	2	1	6
1855	7	6	17	28	36	11	1
1856	26	9	2	5	3	17	15
1857	6	6	3	28	9	4	11
1858	1	6	3	1	1	1	9
1859	7	10	3	3	9	4	11
1860	2	10	3	3	9	4	207
1861	16	4	33	1	41	1	1
1862	22	4	3	28	1	1	1
1863	6	10	19	28	9	4	9
1864	3	13	1	28	9	9	11
1865	2	3	46	13	2	5	6
1866	17	23	13	20	32	22	205
1867	21	14	29	11	15	29	6
1868	8	10	20	10	9	17	11
1869	12	9	2	5	19	17	11
1870	2	6	19	10	9	4	40
1871	2	10	5	13	52	1	6
1872	3	13	1	28	14	9	15
1873	6	10	15	28	19	4	207
1874	22	4	3	1	2	1	1
1875	31	10	20	10	19	4	11
1876	6	6	15	28	4	4	9
1877	6	10	19	42	19	4	207
1878	1	10	3	16	2	1	208
1879	6	6	15	14	21	7	6
1880	32	12	50	6	48	11	220
1881	6	10	19	28	69	4	11
1882	8	6	34	5	2	8	15
1883	3	10	1	1	14	9	215
1884	1	10	17	10	19	4	209
1885	6	10	14	28	2	14	3
1886	6	10	19	28	21	12	9
1887	7	6	17	7	13	11	207
1888	8	6	34	8	2	8	11
1889	12	29	2	5	50	20	213
1890	6	10	15	3	4	14	11
1891	4	8	11	5	11	12	34
1892	6	10	14	28	21	14	3
1893	6	16	18	28	4	4	6
1894	6	10	15	8	4	14	207
1895	7	10	15	28	21	7	207
1896	32	6	17	6	48	8	11
1897	27	3	9	3	56	5	6
1898	5	7	22	27	6	10	12
1899	2	10	3	14	9	1	6
1900	2	6	15	28	9	4	13
1901	2	8	11	10	10	1	2
