ST	atpA	ddl	gdh	purK	gyd	pstS	adk	clonal_complex
1494	15	1	1	1	12	0	1	CC17
1495	2	3	1	1	1	20	1	CC17
1496	9	26	1	1	1	1	1	CC17
1497	15	1	1	69	1	20	1	CC17
1498	9	2	24	6	1	1	5	
1499	9	1	88	1	1	7	1	CC17
1500	13	16	8	16	11	138	6	
1501	9	103	1	1	1	1	1	CC17
1502	51	2	12	9	1	14	5	
1503	2	3	1	1	39	20	1	
1504	5	3	1	3	1	1	1	CC17
1505	25	13	18	15	10	119	6	
1506	51	5	1	3	63	1	1	
1507	51	5	8	3	1	1	1	
1508	4	5	1	3	1	19	1	
1509	51	5	1	3	1	1	1	CC17
1510	7	4	1	1	5	1	8	
1511	111	1	1	1	12	1	1	CC17
1512	4	5	1	3	1	139	1	
1513	36	8	8	8	17	140	6	CC94
1514	5	8	14	22	8	27	6	
1515	2	89	1	2	1	123	1	
1516	7	1	1	44	5	20	1	
1517	113	3	1	44	1	20	1	
1518	9	1	1	1	1	141	1	CC17
1519	12	2	1	105	64	25	1	
1520	13	8	10	104	6	28	11	
1521	1	104	1	1	1	1	1	CC17
1522	5	1	1	1	1	130	1	CC17
1523	7	1	1	1	5	130	1	CC17
1524	7	105	1	1	65	1	1	CC17
1525	7	2	1	44	5	1	1	
1526	1	3	1	6	1	1	1	CC17
1527	12	9	6	3	1	41	1	
1528	14	4	10	6	1	26	5	
1529	5	8	52	17	8	26	6	
1530	9	2	1	9	1	20	5	
1531	3	3	6	6	1	7	1	
1532	5	3	1	2	8	1	1	
1533	5	3	1	2	1	27	1	
1534	5	2	8	9	1	1	5	
1535	57	4	12	9	1	63	8	
1536	9	1	1	1	12	2	1	CC17
1537	11	13	8	17	10	19	6	
1538	15	2	1	9	1	1	5	
1539	19	8	52	33	8	6	6	
1540	24	8	8	8	2	10	6	CC94
1541	25	13	18	15	17	41	6	
1542	3	34	3	6	1	24	1	
1543	4	1	1	1	12	20	1	CC17
1544	5	12	12	6	2	1	5	
1545	7	1	1	1	5	0	1	CC17
1546	7	1	1	1	5	7	6	
1547	9	3	1	2	6	1	1	
1548	2	3	1	106	1	1	1	CC17
1549	5	13	9	108	8	0	6	
1550	11	8	8	109	10	19	6	
1551	1	1	1	110	1	1	1	CC17
1552	13	8	8	23	6	10	56	CC94
1553	1	1	1	1	1	0	57	CC17
1554	114	1	1	6	1	11	1	CC17
1555	115	8	14	22	8	73	6	
1556	109	108	8	111	68	27	6	
1557	116	1	1	1	1	20	1	CC17
1558	1	106	1	1	1	0	1	CC17
1559	9	107	1	1	12	0	1	
1560	13	8	90	8	11	40	6	CC94
1561	15	1	1	1	66	20	1	CC17
1562	3	3	12	2	1	143	1	
1563	15	1	1	1	1	144	1	CC17
1564	13	8	8	107	6	10	6	CC94
1565	13	8	91	23	6	27	6	CC94
1566	1	1	1	1	1	142	1	CC17
1567	20	9	6	3	1	145	1	
1568	117	1	1	1	10	19	1	CC17
1569	1	1	1	1	1	3	1	CC17
1570	4	1	1	1	1	1	58	CC17
1571	5	13	9	108	8	19	6	
1572	15	1	1	1	1	114	1	CC17
1573	53	40	47	13	38	28	29	
1574	2	89	72	2	1	1	1	
1575	13	61	8	8	6	88	6	CC94
1576	9	12	24	3	1	1	5	
1577	9	2	1	3	1	1	5	
1578	9	1	5	1	1	1	1	CC17
1579	1	2	1	66	1	1	1	CC17
1580	24	8	8	23	2	19	11	
1581	9	67	1	1	12	1	1	CC17
1582	1	1	1	1	1	14	1	CC17
1583	14	14	10	20	17	7	10	
1584	9	12	1	3	1	33	1	
1585	7	67	1	1	5	7	1	
1586	7	1	1	1	5	16	1	CC17
1587	9	1	1	1	1	27	1	CC17
1588	15	1	1	1	1	145	1	CC17
1589	117	5	1	3	1	20	1	
1590	119	1	1	1	1	1	1	CC17
1591	9	63	1	1	12	1	1	CC17
1592	9	1	1	1	1	1	60	CC17
1593	37	38	19	37	17	11	26	
1594	9	1	92	1	12	1	1	CC17
1595	15	1	1	112	1	7	1	CC17
1596	4	110	1	3	1	62	1	
1597	118	1	1	1	1	7	1	CC17
1598	9	1	1	1	1	7	61	CC17
1599	109	61	8	72	11	14	15	
1600	2	2	1	9	1	20	5	
1601	4	2	1	6	1	36	1	
1602	5	68	1	6	1	7	1	
1603	14	14	10	14	17	7	10	
1604	12	5	1	6	1	4	1	
1605	5	2	1	6	1	6	1	
1606	9	92	1	1	1	7	1	CC17
1607	5	7	5	7	1	116	1	
1608	9	2	7	6	7	8	1	
1609	3	1	1	1	1	58	1	CC17
1610	5	5	1	3	41	1	1	
1611	5	2	6	3	1	16	1	
1612	1	1	1	1	5	0	1	CC17
1613	10	11	4	8	8	8	2	
1614	95	61	8	8	10	10	6	CC94
1615	13	3	1	2	6	27	1	
1616	11	13	9	17	10	46	6	
1617	13	13	52	23	6	27	6	
1618	13	61	8	23	17	27	11	
1619	25	61	8	8	10	10	6	CC94
1620	5	13	18	22	6	26	6	
1621	13	8	18	17	6	10	6	CC94
1622	8	61	8	23	1	27	15	
1623	9	1	1	2	12	1	1	CC17
1624	1	1	1	1	1	1	62	CC17
1625	9	5	1	8	1	20	1	
1626	15	87	1	1	1	1	1	CC17
1627	15	4	1	44	1	11	8	
1628	14	3	1	2	1	1	1	CC17
1629	9	3	6	53	1	1	1	
1630	4	5	1	3	1	92	1	
1631	15	4	1	7	1	90	5	
1632	13	8	8	8	6	2	6	CC94
1633	1	111	1	1	1	0	1	CC17
1634	5	3	1	14	1	146	1	
1635	2	46	3	6	1	147	59	
1636	5	3	1	6	1	16	1	
1637	8	8	8	23	11	10	15	
1638	3	8	8	8	1	59	6	CC94
1639	5	109	12	3	1	1	8	
1640	5	2	1	9	2	1	6	
1641	9	5	1	113	1	1	1	CC17
1642	116	7	1	1	12	1	1	CC17
1643	9	1	1	1	12	143	1	CC17
1644	1	1	1	1	1	143	3	CC17
1645	3	1	1	1	12	143	1	CC17
1646	9	1	1	1	12	1	46	CC17
1647	70	1	1	1	12	1	47	CC17
1648	7	3	1	1	1	4	3	
1649	7	3	1	1	12	1	6	
1650	7	1	1	1	1	94	1	CC17
1651	9	1	1	1	1	143	1	CC17
1652	1	1	1	1	12	1	6	CC17
1653	9	1	1	1	12	133	43	
1654	7	92	1	1	1	84	5	
1655	120	3	1	1	1	1	6	CC17
1656	13	8	8	8	6	10	63	CC94
1657	2	3	1	2	1	7	1	
1658	4	5	5	3	1	2	1	
1659	4	5	1	114	1	20	1	
1660	9	5	1	3	1	1	5	
1661	9	92	1	1	12	123	1	
1662	13	3	8	8	6	27	6	CC94
1663	3	2	1	9	1	148	64	
1664	13	8	8	115	6	149	6	CC94
1665	13	8	8	8	6	150	6	CC94
1666	15	1	1	1	69	1	1	CC17
1667	5	1	1	2	2	2	1	
1668	78	8	8	8	11	27	6	CC94
1669	24	8	8	23	2	10	11	
1670	121	8	10	23	6	28	11	
1671	13	8	8	8	6	10	65	CC94
1672	13	8	8	23	6	10	6	CC94
1673	122	5	93	3	1	151	1	
1674	123	8	10	23	6	28	11	
1675	5	2	12	116	1	1	5	
1676	57	4	8	3	1	2	5	
1677	9	1	1	1	39	1	1	CC17
1678	2	46	1	6	1	30	1	
1679	4	4	6	53	2	7	1	
1680	2	3	1	6	1	30	1	
1681	2	4	6	6	1	11	1	
1682	9	2	1	6	1	8	1	
1683	7	1	1	2	5	20	1	
1684	25	8	8	17	10	52	6	
1685	4	2	1	3	1	20	5	
1686	9	3	1	1	12	143	1	
1687	70	1	1	1	1	143	1	CC17
1688	98	1	22	1	19	4	8	
1689	98	1	22	1	19	143	8	
1690	98	1	22	1	12	143	18	
1691	70	1	32	1	5	7	8	
1692	5	1	1	1	12	20	1	CC17
1693	9	1	1	1	5	7	1	CC17
1694	11	67	9	17	10	46	6	
1695	13	8	8	8	2	10	6	CC94
1696	13	8	52	23	6	27	6	CC94
1697	9	67	1	2	1	1	1	CC17
1698	9	2	24	6	1	7	1	
1699	9	2	24	3	1	1	5	
1700	5	3	6	6	1	152	1	
1701	4	2	1	6	1	41	1	
1702	15	1	1	1	1	153	1	CC17
1703	1	1	1	1	70	20	1	CC17
1704	2	2	24	3	1	7	1	
1705	5	2	6	32	1	1	1	
1706	9	2	7	6	4	7	1	
1707	2	3	1	6	1	154	1	
1708	2	3	94	14	1	155	25	
1709	5	3	1	3	1	7	1	
1710	13	13	8	17	6	19	6	CC94
1711	5	8	8	17	10	117	6	
1712	9	3	12	9	1	39	1	
1713	5	3	12	9	1	1	1	
1714	21	2	12	6	1	1	5	
1715	5	2	12	9	1	92	5	
1716	9	40	12	3	1	63	1	
1717	5	3	12	2	1	39	1	
1718	5	2	1	9	1	92	5	
1719	11	13	9	17	10	26	6	
1720	5	8	8	17	10	34	6	
1721	5	8	12	17	1	19	6	
1722	2	2	6	6	1	41	1	
1723	36	13	9	17	56	19	40	
1724	2	8	8	17	1	19	6	
1725	11	13	9	17	10	19	40	
1726	9	5	1	3	1	62	1	
1727	9	113	1	1	1	1	1	CC17
1728	5	3	1	2	1	156	1	
1729	15	3	12	9	1	157	1	
1730	125	8	36	8	6	49	6	CC94
1731	1	1	1	1	71	1	1	CC17
1732	9	40	12	118	25	1	1	
1733	5	3	12	2	1	158	1	
1734	15	114	12	9	1	63	5	
1735	4	5	12	3	1	159	1	
1736	5	3	1	120	1	63	66	
1737	9	115	1	1	1	1	1	CC17
1738	3	3	95	2	1	1	1	
1739	15	3	12	119	1	39	1	
1740	5	3	40	3	1	7	1	
1741	3	3	1	1	1	7	1	CC17
1742	7	1	1	18	12	1	1	CC17
1743	4	1	1	1	12	1	1	CC17
1744	2	3	5	6	1	154	1	
1745	9	1	1	1	10	1	1	CC17
1746	9	1	1	1	4	4	1	CC17
1747	38	8	14	62	2	27	6	
1748	1	1	1	1	1	161	1	CC17
1749	5	2	1	3	2	160	1	
1750	3	3	1	121	1	1	1	CC17
1751	3	3	1	2	1	1	67	
1752	126	46	1	6	1	162	1	
1753	5	12	1	3	1	1	5	
1754	5	8	8	8	72	19	6	CC94
1755	4	5	1	3	1	159	1	
1756	9	3	6	6	1	7	1	
1757	25	13	18	17	17	6	68	
1758	10	13	9	17	17	19	69	
1759	127	116	96	122	3	163	70	
1760	25	8	14	22	10	19	70	
1761	36	13	18	15	56	19	6	
1762	13	8	8	23	6	149	6	CC94
1763	5	8	8	17	10	55	6	
1764	129	13	18	17	10	46	6	
1765	24	8	9	123	2	19	6	
1766	7	1	1	1	74	1	1	CC17
1767	5	4	1	6	1	2	8	
1768	9	1	1	3	1	16	1	CC17
1769	2	1	1	30	1	58	1	CC17
1770	2	7	5	7	1	165	1	
1771	2	7	5	7	1	165	43	
1772	2	7	5	7	19	1	1	
1773	2	2	6	6	39	149	1	
1774	2	2	6	6	1	149	1	
1775	2	50	1	3	1	152	1	
1776	2	1	1	2	1	165	1	CC17
1777	2	89	1	2	1	165	1	
1778	2	3	1	2	1	6	1	
1779	2	3	1	2	1	165	1	
1780	3	3	1	2	1	165	1	
1781	3	89	1	2	1	165	1	
1782	4	5	1	3	1	152	1	
1783	4	5	1	3	1	3	1	
1784	4	5	1	3	1	92	5	
1785	4	89	1	2	1	1	1	CC17
1786	4	5	1	1	1	92	5	
1787	4	89	1	1	1	165	1	CC17
1788	5	13	9	17	10	19	6	
1789	5	2	1	3	1	165	5	
1790	7	3	1	6	5	165	1	
1791	7	3	1	6	74	165	1	
1792	7	3	1	6	3	1	1	
1793	7	89	1	6	74	165	1	
1794	7	1	6	6	74	152	1	
1795	10	90	52	17	17	149	6	
1796	10	91	52	17	17	102	6	
1797	10	9	1	3	17	102	1	
1798	11	13	59	17	10	26	6	
1799	13	61	8	23	6	149	6	CC94
1800	13	61	8	23	6	13	6	CC94
1801	13	61	8	17	11	27	6	
1802	13	61	8	8	6	51	6	CC94
1803	13	61	8	8	6	27	6	CC94
1804	13	61	8	8	19	10	6	CC94
1805	13	61	58	8	6	10	6	CC94
1806	14	61	8	8	10	10	1	
1807	14	5	1	3	1	165	1	
1808	19	61	52	33	10	6	6	
1809	19	13	9	17	10	6	6	
1810	25	13	18	15	10	19	6	
1811	25	61	5	8	10	10	6	
1812	34	3	1	2	1	165	12	
1813	36	61	8	17	20	9	6	
1814	36	61	9	17	17	19	6	
1815	38	4	12	9	2	165	15	
1816	120	3	1	6	74	165	1	
1817	129	13	18	17	10	19	6	
1818	5	2	8	3	1	1	5	
1819	5	5	1	3	1	62	1	
1820	4	4	1	3	1	1	5	
1821	9	1	66	1	12	1	1	CC17
1822	15	1	24	1	1	1	1	CC17
1823	2	1	1	2	1	59	71	
1824	9	63	1	1	1	0	1	CC17
1825	47	1	32	1	14	1	23	
1826	6	6	4	4	3	7	27	
1827	2	5	3	5	4	1	1	
1828	7	7	66	1	5	1	1	
1829	8	4	12	9	1	123	5	
1830	8	4	12	9	53	124	5	
1831	8	4	12	6	53	1	5	
1832	4	5	1	9	1	19	1	
1833	15	8	8	17	10	19	6	
1834	1	64	1	1	1	1	1	CC17
1835	2	34	6	7	1	165	1	
1836	10	13	9	17	56	41	6	
1837	13	61	8	8	6	10	6	CC94
1838	11	13	32	17	10	19	6	
1839	15	1	1	44	12	7	1	
1840	130	8	8	8	6	49	6	CC94
1841	7	1	8	8	5	1	1	
1842	9	67	1	1	75	1	1	CC17
1843	9	118	1	1	12	1	1	CC17
1844	9	1	1	1	1	167	1	CC17
1845	9	1	1	124	12	1	1	CC17
1846	5	4	1	6	2	1	8	
1847	4	4	1	6	1	20	5	
1848	9	5	12	3	1	1	5	
1849	9	5	1	6	1	1	1	CC17
1850	15	1	1	1	1	165	1	CC17
1851	15	92	1	1	1	165	1	CC17
1852	15	92	1	1	1	1	1	CC17
1853	35	4	1	9	2	20	5	
1854	35	4	92	9	2	20	5	
1855	9	121	1	1	1	1	1	CC17
1856	11	8	9	17	10	102	6	
1857	5	1	1	2	1	165	1	CC17
1858	2	3	1	2	1	165	7	
1859	2	89	1	2	1	165	7	
1860	36	13	9	17	10	9	6	
1861	5	5	1	3	6	165	5	
1862	124	13	18	117	10	41	14	
1863	5	3	6	6	6	1	1	
1864	21	2	1	6	1	20	5	
1865	9	3	6	6	2	1	1	
1866	5	2	1	6	1	36	1	
1867	15	5	5	6	1	55	1	
1868	5	2	8	9	1	20	5	
1869	9	2	1	128	1	1	1	CC17
1870	4	2	6	6	1	1	1	
1871	2	4	1	2	1	1	1	CC17
1872	89	5	93	3	56	165	74	
1873	13	8	99	8	6	51	6	CC94
1874	15	89	50	2	1	70	1	
1875	5	2	1	3	1	165	1	
1876	25	8	8	8	10	22	6	CC94
1877	25	8	8	8	10	51	6	CC94
1878	13	8	8	23	11	27	6	CC94
1879	10	45	8	17	17	41	26	
1880	11	61	8	8	10	8	6	
1881	5	3	6	6	1	165	1	
1882	2	3	55	2	1	165	1	
1883	25	13	9	15	10	19	77	
1884	5	12	1	3	1	111	1	
1885	9	1	1	1	1	2	1	CC17
1886	9	1	1	1	1	6	1	CC17
1887	5	1	1	1	12	7	1	CC17
1888	9	92	1	1	1	94	1	CC17
1889	9	92	1	1	1	92	1	CC17
1890	9	75	1	1	1	94	1	CC17
1891	9	1	102	1	12	1	1	CC17
1892	9	1	1	1	75	1	1	CC17
1893	9	2	1	44	1	1	1	CC17
1894	35	3	25	2	78	1	1	
1895	74	1	1	1	1	1	1	CC17
1896	74	1	1	1	2	51	1	CC17
1897	74	1	1	1	12	1	1	CC17
1898	74	1	1	44	1	20	1	CC17
1899	13	1	1	1	1	51	1	CC17
1900	9	1	1	1	12	19	1	CC17
1901	52	1	1	1	12	1	1	CC17
1902	3	1	1	1	1	0	1	CC17
1903	9	3	1	97	12	1	1	
1904	1	62	1	1	1	0	1	CC17
1905	47	1	1	1	12	1	1	CC17
1906	52	1	1	44	3	20	1	
1907	9	1	8	1	12	1	1	CC17
1908	11	13	9	17	10	19	73	
1909	4	119	1	3	1	20	1	
1910	5	13	9	17	8	168	6	
1911	25	13	97	17	10	19	6	
1912	11	61	8	125	10	10	6	
1913	133	23	1	6	1	169	1	
1914	9	1	1	1	12	170	1	CC17
1915	7	1	1	1	5	171	1	CC17
1916	4	1	1	1	1	20	75	CC17
1917	5	3	6	6	81	1	1	
1918	1	1	1	1	1	172	76	CC17
1919	25	17	18	126	10	19	6	
1920	9	1	100	1	12	20	1	
1921	3	120	1	3	1	173	1	
1922	1	1	1	127	1	1	1	CC17
1923	13	8	101	8	11	10	6	CC94
1924	3	9	6	3	1	145	1	
1925	135	1	1	1	12	1	1	CC17
1926	25	8	14	22	10	27	6	
1927	13	8	103	8	6	27	6	CC94
1928	2	2	104	6	1	11	1	
1929	4	1	1	1	1	190	1	CC17
1930	2	7	1	14	1	175	1	
1931	136	5	1	3	1	20	1	
1932	2	3	53	14	1	10	1	
1933	10	21	9	17	17	19	6	
1934	137	6	14	129	3	176	6	
1935	13	8	9	8	6	10	6	CC94
1936	25	90	52	17	10	19	6	
1937	19	13	9	17	10	76	6	
1938	13	8	8	8	6	177	6	CC94
1939	25	13	9	15	10	29	6	
1940	2	3	53	14	1	178	1	
1941	25	8	8	8	10	134	6	CC94
1942	9	126	1	1	12	1	1	CC17
1943	5	69	12	78	1	63	1	
1944	5	90	52	17	10	27	6	
1945	25	45	9	17	10	19	26	
1946	36	13	9	130	10	9	6	
1947	19	8	52	33	10	6	80	
1948	11	13	18	15	10	26	6	
1949	36	8	8	17	20	9	78	
1950	2	3	1	14	1	179	1	
1951	5	2	7	131	2	1	1	
1952	5	2	1	132	31	72	5	
1953	5	13	18	17	8	0	6	
1954	25	13	9	140	10	19	6	
1955	5	7	5	7	1	7	1	
1956	2	1	105	2	1	180	1	
1957	96	3	1	133	2	2	1	
1958	25	8	8	23	10	181	11	
1959	36	8	9	17	17	19	6	
1960	21	2	8	3	1	20	5	
1961	25	13	18	17	10	191	6	
1962	2	9	6	6	1	182	1	
1963	5	1	1	3	6	1	1	CC17
1964	144	8	8	8	6	192	6	CC94
1965	9	127	1	1	12	0	1	
1966	13	8	8	134	6	27	6	CC94
1967	13	123	8	8	11	10	6	CC94
1968	13	8	93	33	6	10	6	CC94
1969	11	45	9	17	17	46	26	
1970	109	108	106	111	2	27	6	
1971	12	9	6	3	1	30	1	
1972	36	8	10	135	17	19	6	
1973	138	1	1	2	1	11	1	CC17
1974	3	3	1	2	1	1	81	
1975	13	8	8	59	6	10	6	CC94
1976	36	13	9	17	17	183	6	
1977	6	6	1	4	3	20	2	
1978	57	4	1	6	1	2	5	
1979	5	13	107	17	8	19	6	
1980	25	13	18	17	10	35	13	
1981	3	3	2	2	1	184	1	
1982	38	4	1	3	2	1	15	
1983	9	13	9	15	1	41	6	
1984	9	3	1	141	5	1	1	
1985	13	8	8	23	6	40	6	CC94
1986	94	2	6	142	1	117	1	
1987	145	128	6	6	1	193	1	
1988	146	9	6	6	1	11	1	
1989	10	13	9	84	17	41	6	
1990	9	3	1	2	1	14	1	
1991	9	4	1	6	2	2	1	
1992	15	129	1	2	1	1	1	CC17
1993	38	4	1	9	2	1	15	
1994	21	2	1	3	1	1	5	
1995	11	8	52	33	10	19	6	
1996	10	8	10	135	17	46	6	
1997	2	3	1	14	1	1	79	
1998	11	13	9	84	17	19	6	
1999	25	8	52	8	17	28	6	
2000	9	2	12	136	1	185	5	
2001	3	3	111	2	1	5	1	
2002	24	8	108	8	2	10	6	CC94
2003	4	2	1	3	1	1	1	CC17
2004	13	8	8	143	6	88	6	CC94
2005	13	13	18	17	11	186	6	
2006	25	13	109	17	17	6	6	
2007	3	4	5	6	1	1	5	
2008	4	5	12	3	1	1	1	
2009	139	21	18	137	17	187	6	
2010	5	130	1	3	1	194	5	
2011	140	13	110	17	10	9	6	
2012	36	8	18	23	10	27	6	
2013	13	8	8	8	10	10	6	CC94
2014	141	13	18	17	8	19	6	
2015	13	8	8	8	6	188	6	CC94
2016	13	8	8	8	6	189	6	CC94
2017	9	131	1	1	12	1	1	CC17
2018	36	8	8	23	11	10	15	
2019	13	13	18	17	11	19	6	
2020	15	7	5	7	1	5	1	
2021	13	16	8	16	6	51	6	CC94
2022	2	3	17	2	1	1	1	
2023	13	8	8	8	11	40	6	CC94
2024	142	45	9	138	17	19	26	
2025	20	124	1	3	1	91	1	
2026	36	13	52	17	10	41	6	
2027	4	4	12	9	79	7	15	
2028	147	13	112	17	17	102	6	
2029	11	13	9	17	10	46	40	
2030	109	108	8	72	2	27	6	
2031	36	13	18	17	10	59	6	
2032	9	1	1	1	82	1	1	CC17
2033	143	33	36	8	2	49	6	
2034	3	125	1	2	80	1	1	
2035	5	2	1	43	1	20	5	
2036	5	3	6	139	2	20	1	
2037	148	8	8	8	11	10	6	CC94
2038	13	8	8	8	83	10	6	CC94
2039	20	124	1	3	1	0	1	
2040	2	2	113	6	1	11	1	
2041	25	132	18	17	10	19	6	
2042	13	8	8	22	6	27	6	CC94
2043	5	8	14	22	8	19	6	
2044	3	3	1	6	1	7	1	
2045	15	1	114	1	1	20	1	CC17
2046	1	1	1	144	1	1	1	CC17
2047	25	13	9	15	84	19	6	
2048	15	3	1	145	1	1	1	CC17
2049	11	90	8	17	57	102	6	
2050	3	4	12	9	1	2	5	
2051	4	133	1	1	1	20	1	CC17
2052	15	1	1	1	58	20	1	CC17
2053	25	13	18	17	10	0	6	
2054	5	2	115	6	1	8	1	
2055	9	1	1	44	12	20	1	
2056	70	1	1	44	12	20	1	
2057	11	17	18	17	10	19	6	
2058	5	9	6	3	2	26	1	
2059	149	8	116	23	6	27	6	
2060	15	1	1	1	1	20	82	CC17
2061	15	1	1	1	1	195	1	CC17
2062	14	1	1	2	1	63	1	CC17
2063	1	134	1	1	1	1	1	CC17
2064	11	8	8	17	10	10	6	CC94
2065	9	5	1	3	22	1	1	
2066	3	3	117	2	1	1	1	
2067	2	3	118	2	1	1	1	
2068	3	3	119	2	1	1	1	
2069	25	8	120	8	10	10	6	CC94
2070	3	31	1	147	1	45	1	
2071	9	2	13	6	1	39	1	
2072	13	135	8	146	6	27	6	CC94
2073	1	3	1	1	1	198	1	CC17
2074	13	8	8	8	85	10	6	CC94
2075	25	13	18	17	10	196	6	
2076	2	3	121	6	1	197	5	
2077	3	8	8	23	1	19	15	
2078	3	136	12	3	1	1	1	
2079	3	46	1	6	1	39	1	
2081	150	7	5	7	1	1	1	
2082	15	137	1	1	1	20	1	CC17
2083	2	46	1	148	1	45	59	
2084	1	1	8	1	1	1	1	CC17
2085	5	1	5	1	1	1	1	CC17
2086	11	1	1	1	1	1	1	CC17
2087	9	3	1	149	12	1	3	
2088	9	58	1	1	1	1	1	CC17
2089	9	122	1	2	1	1	1	CC17
2090	5	2	8	6	1	174	5	
2091	11	21	9	17	10	102	6	
2092	5	2	1	3	1	41	1	
2093	153	1	1	1	12	1	1	CC17
2094	67	54	14	80	88	99	6	
2095	5	2	122	12	1	1	5	
2096	1	1	1	150	1	0	1	CC17
2097	13	6	4	4	11	10	2	
2098	11	13	52	17	10	40	6	
2099	4	5	8	3	1	7	1	
2100	7	1	1	1	12	0	1	CC17
2101	15	42	1	1	1	1	1	CC17
2102	15	3	1	6	1	1	1	CC17
2103	152	7	5	7	1	1	1	
2104	2	9	1	151	22	100	1	
2105	5	2	1	32	1	7	1	
2106	2	3	1	152	1	1	1	CC17
2107	13	13	8	8	11	10	6	CC94
2108	2	7	5	7	1	94	1	
2109	2	88	1	3	9	117	1	
2110	2	3	1	2	1	94	1	
2111	3	89	1	2	8	94	1	
2112	3	2	1	43	41	94	5	
2113	5	2	1	43	41	1	5	
2114	5	2	1	43	41	165	5	
2115	5	2	1	43	41	74	5	
2116	5	2	1	43	41	198	5	
2117	5	2	1	43	14	94	5	
2118	5	2	1	43	85	94	5	
2119	5	2	1	3	1	94	1	
2120	5	3	1	6	1	94	1	
2121	6	8	8	8	85	10	25	CC94
2122	8	5	1	3	1	7	1	
2123	8	5	1	3	9	74	1	
2124	11	132	9	93	85	19	6	
2125	11	13	9	17	85	19	6	
2126	13	8	8	8	85	22	6	CC94
2127	13	8	8	8	85	59	6	CC94
2128	14	5	1	3	1	94	1	
2129	14	5	1	3	9	94	1	
2130	14	5	1	3	63	94	1	
2131	25	13	18	147	2	106	6	
2132	25	8	8	8	10	59	6	CC94
2133	51	5	1	3	10	92	1	
2134	80	8	8	8	85	27	6	CC94
2135	1	140	1	1	1	1	1	CC17
2136	15	1	1	1	1	1	83	CC17
2137	1	3	1	1	1	20	1	CC17
2138	11	13	9	17	1	19	6	
2139	13	8	8	153	6	10	6	CC94
2140	57	54	36	62	6	99	6	
2141	9	98	1	43	41	193	5	
2142	13	8	123	23	6	27	6	CC94
2143	107	7	5	7	21	180	1	
2144	13	8	36	8	85	10	6	CC94
2145	14	5	1	3	1	74	1	
2146	154	1	1	1	1	7	1	CC17
2147	11	13	9	17	55	19	6	
2148	9	1	124	1	12	1	1	CC17
2149	9	1	1	1	12	201	1	CC17
2150	109	8	8	23	89	27	15	
2151	5	2	1	11	58	11	5	
2152	18	13	18	17	17	19	6	
2153	1	5	1	3	1	200	1	CC17
2154	1	5	1	3	6	74	5	
2155	3	3	1	2	61	1	1	
2156	5	5	1	3	60	96	1	
2157	10	2	1	6	1	1	1	CC17
2158	9	1	1	97	1	1	1	CC17
2159	7	1	1	155	5	1	1	CC17
2160	15	1	1	44	1	202	1	CC17
2161	9	1	1	154	12	7	1	
2162	10	5	1	3	9	74	1	
2163	9	2	5	6	1	1	5	
2164	9	141	1	1	12	1	1	CC17
2165	5	4	1	6	1	14	5	
2166	9	112	1	1	12	1	1	CC17
2167	1	2	1	44	1	20	1	CC17
2168	9	2	13	6	1	1	5	
2169	2	3	1	14	1	8	1	
2170	3	3	1	2	80	1	1	
2171	15	3	1	14	1	10	1	
2172	25	13	18	17	90	19	84	
2173	5	7	5	7	1	203	1	
2174	155	21	9	17	17	41	6	
2175	20	9	6	3	1	204	1	
2176	156	1	1	1	12	1	1	CC17
2177	9	138	1	1	12	1	1	CC17
2178	6	1	1	97	12	3	1	
2179	1	143	1	1	1	1	1	CC17
2180	15	1	125	44	1	20	1	
2181	9	144	1	1	12	1	1	CC17
2182	2	145	1	14	1	179	1	
2183	4	7	5	7	1	16	1	
2184	94	3	6	3	64	206	1	
2185	9	146	1	1	12	1	1	CC17
2186	36	13	52	17	10	207	6	
2187	13	8	126	8	6	10	6	CC94
2188	157	1	1	1	1	1	1	CC17
2189	158	8	14	62	6	125	6	
2190	159	1	1	1	1	1	1	CC17
2191	5	8	8	23	8	27	15	
2192	9	12	1	3	1	1	1	CC17
2193	36	3	1	2	10	59	1	
2194	2	3	1	6	1	25	1	
2195	5	1	1	1	8	0	1	CC17
2196	14	142	10	6	1	15	5	
2197	2	8	8	8	1	10	6	CC94
2198	3	3	1	2	1	205	1	
2199	160	3	1	2	1	1	1	CC17
2200	13	8	8	8	10	88	6	CC94
2201	12	5	1	6	1	42	1	
2202	3	1	1	31	1	11	1	CC17
2203	9	3	1	6	1	20	1	
2204	56	3	1	6	1	7	1	
2205	2	3	1	6	1	117	1	
2206	13	8	127	8	6	28	6	CC94
2207	2	5	1	156	22	1	1	
2208	9	4	12	157	2	2	5	
2209	137	81	14	129	3	208	6	
2210	5	3	128	2	2	1	1	
2211	137	6	129	158	91	209	85	
2212	1	78	1	1	1	1	1	CC17
2213	15	1	1	1	1	83	1	CC17
2214	9	147	1	1	1	1	1	CC17
2215	42	2	1	11	1	14	6	
2216	5	12	1	157	1	1	5	
2217	4	1	1	1	1	210	1	CC17
2218	7	12	1	6	5	7	1	
2219	5	148	1	7	1	1	1	CC17
2220	1	148	1	1	1	1	1	CC17
2221	36	8	8	8	10	10	6	CC94
2222	40	4	12	6	1	211	5	
2223	25	8	9	17	10	19	6	
2224	11	13	18	17	10	10	6	
2225	5	10	1	11	1	14	15	
