ST	arcC	aroE	glpF	gmk	pta	tpi	yqiL
4666	556	75	49	44	13	68	60
4667	2	693	2	2	6	3	2
4668	19	694	635	2	19	20	136
4669	46	75	49	352	13	68	60
4670	10	14	8	6	10	530	2
4671	7	363	1	5	8	8	6
4672	46	75	634	44	13	68	60
4673	3	35	19	353	20	26	39
4674	2	2	637	2	6	3	2
4675	1	3	636	8	11	5	11
4676	7	6	1	5	578	8	6
4677	7	6	1	5	8	8	627
4678	1	695	68	1	1	1	1
4679	7	6	1	5	8	35	6
4680	10	14	8	6	19	3	2
4681	19	23	15	2	19	532	15
4682	1	4	1	4	12	533	10
4683	19	23	15	2	579	20	15
4684	2	36	2	2	6	19	2
4685	2	20	2	2	6	3	2
4686	1	2	47	18	166	3	50
4687	19	122	276	2	13	237	15
4688	12	89	1	354	4	5	90
4689	3	35	19	2	580	26	39
4690	557	13	1	1	12	11	13
4691	3	1	1	8	1	534	1
4692	13	13	1	355	12	11	13
4693	1	1	638	1	1	1	1
4694	3	35	19	2	20	26	628
4695	1	4	639	4	12	41	10
4696	1	1	1	1	1	535	629
4697	7	697	1	5	8	8	6
4698	2	2	2	356	6	3	2
4699	3	3	599	80	4	4	3
4700	296	3	1	8	11	5	11
4701	1	3	1	14	11	51	431
4702	3	699	19	2	20	26	39
4703	558	4	1	4	12	1	10
4704	7	700	1	5	8	8	6
4705	2	3	1	1	4	4	183
4706	4	1	4	1	5	5	630
4707	3	38	1	1	1	1	338
4708	4	1	4	1	581	5	4
4709	1	698	1	8	582	5	11
4710	69	1	220	15	11	19	3
4711	1	4	514	4	12	1	10
4712	19	703	15	2	19	20	15
4713	10	14	640	6	10	3	376
4714	1	704	1	4	12	1	10
4715	19	705	15	2	19	20	42
4716	3	35	19	2	583	26	39
4717	3	3	452	1	4	4	3
4718	2	52	2	2	6	3	2
4719	90	4	1	4	4	44	3
4720	3	3	124	1	4	4	3
4721	3	3	1	1	355	4	3
4722	2	91	2	2	2	2	2
4723	8	2	2	167	6	3	2
4724	1	1	1	65	1	1	1
4725	10	11	8	6	10	3	163
4726	1	1	1	1	1	536	1
4727	7	6	1	5	8	8	631
4728	1	4	1	357	12	1	10
4729	10	14	8	357	10	3	2
4730	1	4	1	358	12	1	10
4731	2	2	2	359	6	3	2
4732	3	3	1	1	4	537	3
4733	3	3	1	1	4	4	632
4734	3	3	1	1	4	4	633
4735	3	3	1	1	4	4	634
4736	4	3	1	1	11	72	635
4737	3	3	1	1	584	4	3
4738	1	706	1	8	4	4	3
4739	5	4	258	4	4	6	3
4740	2	2	2	2	6	3	636
4741	559	1	1	1	1	1	1
4742	10	14	8	360	10	3	2
4743	151	14	215	34	175	180	2
4744	13	13	1	1	12	538	13
4745	1	707	1	4	12	1	10
4746	10	14	8	6	10	539	2
4747	3	3	642	1	4	4	3
4748	2	2	641	2	6	3	2
4749	10	14	8	6	10	3	637
4750	3	3	1	361	4	4	3
4751	13	13	1	1	472	11	13
4752	1	4	1	4	585	1	10
4753	1	708	1	4	12	24	29
4754	3	1	1	1	1	5	67
4755	3	147	1	8	1	1	1
4756	6	57	45	2	7	526	52
4757	8	2	2	2	6	540	2
4758	1	709	1	8	11	5	11
4759	1	1	1	1	1	541	1
4760	2	2	2	2	586	3	2
4761	1	4	1	4	587	1	10
4762	1	49	1	15	28	38	2
4763	4	9	563	8	1	10	8
4764	560	2	8	26	10	3	2
4765	561	4	1	4	12	1	3
4766	436	3	1	1	4	4	3
4767	3	4	1	4	12	6	8
4768	1	1	1	1	1	1	10
4769	1	710	1	4	588	1	10
4770	1	4	208	4	12	1	10
4771	3	388	1	1	1	5	137
4772	3	711	1	1	4	4	3
4773	562	1	1	1	1	514	1
4774	6	57	45	2	7	542	52
4775	1	712	1	1	1	1	1
4776	1	4	372	4	12	1	10
4777	3	3	1	42	4	4	10
4778	3	3	1	4	4	1	10
4779	1	1	41	1	1	1	10
4780	563	35	19	2	20	26	39
4781	1	4	1	4	589	1	10
4782	1	713	1	4	12	1	10
4783	566	1	1	1	1	5	3
4784	1	1	1	1	1	1	638
4785	5	715	1	4	4	6	3
4786	3	1	1	1	593	5	3
4787	568	4	1	4	12	1	10
4788	7	6	1	5	594	8	6
4789	2	2	2	2	6	3	639
4790	7	6	1	5	8	8	640
4791	3	3	645	1	4	4	3
4792	3	3	386	1	4	4	3
4793	4	722	1	1	11	72	11
4794	7	6	1	5	8	8	642
4795	3	1	1	363	1	5	3
4796	2	2	653	2	6	3	2
4797	1	402	1	8	11	5	11
4798	151	3	1	1	175	180	3
4799	376	2	2	2	6	3	2
4800	572	4	1	4	12	1	10
4801	2	2	2	364	6	3	2
4802	2	2	654	2	6	3	2
4803	90	3	1	1	4	4	3
4804	3	3	1	1	4	4	363
4805	2	2	2	2	599	3	2
4806	13	723	1	1	12	11	13
4807	1	1	1	9	528	1	1
4808	3	1	1	1	1	99	3
4809	2	2	656	2	6	3	2
4810	1	4	184	4	12	1	54
4811	10	14	655	6	10	3	2
4812	570	1	4	1	5	5	4
4813	10	718	8	6	10	3	2
4814	7	6	1	5	8	8	641
4815	1	719	1	8	11	5	11
4816	7	6	1	5	597	8	6
4817	571	1	1	1	1	5	3
4818	3	35	19	2	595	26	39
4819	2	720	2	2	6	3	2
4820	10	637	650	6	10	473	2
4821	2	717	471	2	6	3	2
4822	10	14	646	6	10	3	2
4823	2	2	652	2	6	3	2
4824	2	2	649	2	6	3	2
4825	2	2	2	2	598	3	2
4826	2	2	647	2	6	3	2
4827	2	2	2	362	6	3	2
4828	569	14	8	6	14	3	2
4829	10	14	651	6	10	3	2
4830	1	721	1	4	12	1	10
4831	4	1	4	1	596	5	4
4832	2	2	648	2	6	3	2
4833	573	75	49	44	13	68	60
4834	3	35	658	2	20	26	39
4835	574	3	1	1	4	4	3
4836	3	35	657	2	20	26	39
4837	2	2	2	365	6	3	2
4838	3	725	1	1	4	4	109
4839	1	4	1	4	600	1	10
4840	7	6	1	5	601	8	6
4841	1	3	1	366	11	51	10
4842	22	1	14	23	40	4	31
4843	1	4	1	4	249	1	10
4844	12	3	1	1	10	4	410
4845	19	23	15	2	8	20	15
4846	12	4	15	4	12	495	3
4847	12	3	1	1	4	4	5
4848	12	4	1	4	559	495	3
4849	13	13	1	1	559	42	13
4850	13	4	1	4	4	6	3
4851	13	5	6	2	7	14	5
4852	22	1	14	23	559	4	15
4853	7	6	1	5	12	8	6
4854	12	3	1	1	19	4	3
4855	1	1	1	1	1	495	1
4856	328	35	19	4	20	26	39
4857	1	1	1	177	559	495	295
4858	19	6	15	2	19	232	15
4859	1	1	1	177	559	495	1
4860	3	35	19	2	12	26	39
4861	1	4	1	8	559	495	10
4862	1	4	1	4	8	1	10
4863	3	1	1	8	1	495	1
4864	22	1	361	23	12	4	31
4865	3	1	1	8	123	495	1
4866	3	35	6	2	19	26	2
4867	4	1	4	1	5	8	4
4868	4	45	6	23	4	10	31
4869	19	23	15	2	19	418	15
4870	6	79	419	243	367	50	48
4871	1	106	1	14	11	51	10
4872	1	4	1	4	602	1	10
4873	19	23	15	2	19	548	15
4874	575	2	2	2	6	3	2
4875	7	6	1	367	8	8	6
4876	1	228	1	4	12	1	28
4877	2	2	2	2	6	3	643
4878	576	13	1	1	12	10	13
4879	10	14	659	6	10	3	2
4880	13	152	1	1	603	1	40
4881	1	726	1	8	11	5	11
4882	4	1	4	368	5	5	4
4883	1	4	1	4	12	428	10
4884	2	2	458	2	6	3	2
4885	2	2	660	2	6	3	2
4886	1	57	1	4	12	1	10
4887	1	4	1	133	12	1	10
4888	12	727	1	4	12	1	3
4889	577	3	1	1	4	4	3
4890	7	6	1	5	8	8	645
4891	2	2	2	369	6	3	2
4892	1	4	1	8	4	4	644
4893	578	14	8	6	1	3	2
4894	3	35	1	2	20	26	39
4895	1	255	1	4	12	1	10
4896	5	4	661	4	4	6	3
4897	1	728	1	4	12	1	10
4898	1	4	1	370	33	4	3
4899	12	4	1	4	12	549	3
4900	1	1	1	1	1	1	647
4901	10	14	662	6	10	3	2
4902	3	3	1	371	4	4	3
4903	1	729	1	1	1	1	1
4904	3	1	1	1	1	550	3
4905	3	1	1	1	1	248	3
4906	1	4	38	4	12	1	10
4907	3	78	1	1	1	551	3
4908	579	1	1	1	1	5	3
4909	7	6	452	5	8	8	6
4910	1	1	1	1	40	1	1
4911	1	1	1	1	1	1	649
4912	1	731	1	1	1	1	1
4913	1	1	1	1	1	1	648
4914	1	1	663	1	1	1	1
4915	1	724	1	14	11	51	10
4916	2	2	2	2	6	3	646
4917	3	3	1	372	4	4	3
4918	2	2	2	2	605	3	2
4919	2	2	2	2	604	3	2
4920	2	2	2	373	6	3	2
4921	1	223	1	1	1	1	1
4922	18	33	6	20	7	50	650
4923	6	5	6	2	7	17	651
4924	7	6	1	374	8	8	6
4925	3	732	1	1	4	4	3
4926	18	733	6	20	7	50	48
4927	10	734	8	6	10	3	2
4928	1	1	664	1	1	1	1
4929	1	4	665	4	12	1	10
4930	1	1	666	1	1	1	1
4931	3	35	667	2	20	26	39
4932	2	2	668	2	6	3	2
4933	10	14	8	6	606	3	2
4934	1	1	605	1	1	1	1
4935	19	23	15	2	19	552	652
4936	580	14	8	6	10	3	2
4937	1	1	1	1	607	1	1
4938	2	2	2	375	6	3	2
4939	10	4	1	1	1	1	10
4940	1	31	1	1	119	1	10
4941	2	2	2	2	6	3	376
4942	19	23	15	1	19	20	15
4943	2	3	1	19	4	4	3
4944	19	23	15	19	19	20	3
4945	3	1	1	8	2	1	1
4946	3	1	1	23	4	4	1
4947	19	23	15	2	19	1	15
4948	19	23	149	48	19	20	15
4949	3	45	1	8	1	1	1
4950	581	4	1	4	12	1	10
4951	7	6	1	5	8	553	6
4952	1	4	1	376	12	1	10
4953	582	2	2	2	6	3	2
4954	1	1	669	1	1	1	1
4955	1	3	1	14	11	554	10
4956	1	1	1	1	1	1	656
4957	3	4	1	19	4	4	3
4958	19	23	15	2	19	20	653
4959	584	23	1	2	19	20	15
4960	19	23	15	377	19	20	15
4961	3	4	1	19	12	1	654
4962	3	123	1	23	12	19	655
4963	585	14	23	6	10	1	2
4964	19	23	15	378	19	20	15
4965	10	14	157	19	608	240	37
4966	6	66	46	2	7	50	5
4967	583	1	280	168	1	5	3
4968	3	735	1	1	443	4	3
4969	4	3	1	1	609	72	11
4970	234	1	1	1	1	5	3
4971	1	736	1	1	22	1	1
4972	2	2	2	2	6	555	162
4973	3	1	670	15	11	19	3
4974	13	13	1	1	12	11	657
4975	3	3	1	1	264	1	658
4976	588	1	1	1	12	556	659
4977	6	5	6	2	610	14	5
4978	4	1	4	289	5	5	4
4979	1	738	1	1	1	1	1
4980	12	739	1	4	12	1	3
4981	10	115	8	66	451	3	255
4982	101	497	1	1	4	4	3
4983	1	698	1	8	11	5	11
4984	3	14	8	6	10	517	2
4985	13	13	92	1	12	11	13
4986	3	1	154	8	1	1	1
4987	5	3	1	1	1	1	10
4988	1	4	1	379	12	1	10
4989	10	14	8	6	10	3	661
4990	1	740	1	8	4	4	3
4991	12	4	1	4	612	1	3
4992	3	737	280	168	1	5	475
4993	46	75	49	44	13	68	660
4994	1	1	1	1	1	557	1
4995	19	23	673	2	19	20	15
4996	589	14	8	6	10	3	2
4997	1	727	1	4	12	1	10
4998	586	1	1	15	11	1	338
4999	3	35	19	2	611	26	39
5000	6	5	671	2	7	14	5
5001	587	1	1	15	11	1	338
5002	3	730	1	8	1	1	1
5003	6	5	6	380	7	17	19
5004	590	6	1	5	8	8	6
5005	10	14	8	381	10	3	2
5006	3	3	1	338	4	4	3
5007	7	743	1	5	8	8	6
5008	1	4	1	4	12	109	10
5009	3	35	19	383	20	26	39
5010	19	23	15	2	614	20	15
5011	593	6	1	5	8	8	6
5012	591	14	8	6	10	3	2
5013	592	13	1	1	12	1	13
5014	10	40	8	6	10	3	500
5015	10	741	8	6	10	3	2
5016	1	4	674	4	12	1	10
5017	10	40	675	6	10	3	2
5018	13	13	1	1	613	112	13
5019	10	742	8	6	10	3	2
5020	12	4	1	382	12	1	3
5021	1	739	1	8	4	4	3
5022	10	14	676	6	10	3	2
5023	12	4	1	4	12	558	3
5024	10	40	8	6	10	559	2
5025	1	4	1	4	370	1	10
5026	597	2	678	2	6	3	2
5027	46	75	49	44	617	68	60
5028	7	6	1	5	618	8	6
5029	1	4	1	4	12	1	662
5030	1	3	1	384	11	5	11
5031	10	745	8	6	10	3	2
5032	3	37	2	2	6	32	249
5033	595	13	1	1	12	11	13
5034	596	13	1	1	12	11	13
5035	1	3	1	8	11	560	11
5036	10	746	677	6	10	3	2
5037	2	2	679	2	2	2	2
5038	2	748	2	2	2	2	2
5039	1	4	1	4	615	1	10
5040	3	747	1	1	4	4	3
5041	13	472	1	1	12	10	13
5042	3	3	156	1	4	4	3
5043	2	2	2	2	6	3	492
5044	599	1	14	15	11	19	3
5045	600	14	8	6	10	3	2
5046	2	2	680	2	6	3	2
5047	7	6	1	5	8	8	663
5048	1	598	1	1	1	1	1
5049	1	3	1	385	11	51	10
5050	1	1	1	1	1	561	1
5051	307	3	1	295	1	1	10
5052	19	23	102	2	19	20	15
5053	3	483	1	1	1	1	10
5054	151	749	215	34	175	180	169
5055	529	325	215	34	175	180	169
5056	151	750	20	101	145	150	131
5057	151	751	215	275	39	52	488
5058	36	269	43	34	553	116	105
5059	13	13	1	212	12	10	13
5060	13	13	1	1	619	11	13
5061	1	4	1	4	620	1	10
5062	602	1	4	1	5	5	4
5063	3	3	1	1	621	4	3
5064	594	4	1	4	12	1	10
5065	19	744	12	2	13	89	15
5066	3	35	681	2	20	26	39
5067	3	35	19	356	20	26	39
5068	7	6	132	5	8	8	6
5069	174	1	1	1	22	1	1
5070	3	35	19	230	20	26	39
5071	210	4	1	4	12	1	10
5072	7	6	1	5	8	8	664
5073	3	3	682	1	4	4	3
5074	3	752	167	2	20	26	39
5075	19	23	15	48	622	20	15
5076	3	3	1	386	4	4	3
5077	7	6	1	5	623	8	6
5078	1	1	284	1	1	1	1
5079	1	1	1	1	1	241	1
5080	1	4	1	387	12	1	10
5081	7	6	1	5	8	562	6
5082	2	753	2	2	624	3	2
5083	12	4	1	4	12	1	666
5084	604	1	1	1	1	5	3
5085	603	3	164	1	1	1	1
5086	3	3	1	1	4	4	665
5087	2	2	2	388	6	179	2
5088	5	4	1	4	4	563	3
5089	1	1	1	1	625	1	1
5090	601	14	8	6	10	3	2
5091	605	3	1	1	4	4	3
5092	7	6	1	5	8	564	6
5093	19	754	12	2	13	89	15
5094	7	6	1	389	8	8	6
5095	7	6	1	5	8	8	667
5096	19	23	15	2	19	20	668
5097	46	75	49	44	626	68	60
5098	598	13	1	1	1	10	658
5099	1	702	1	4	12	1	10
5100	7	6	1	5	8	8	669
5101	2	2	2	2	6	565	2
5102	7	6	111	5	8	8	6
5103	2	759	2	2	6	179	2
5104	19	23	686	2	19	20	15
5105	18	758	6	20	7	50	48
5106	3	701	1	1	4	4	3
5107	1	4	90	4	12	1	10
5108	3	32	112	1	4	4	3
5109	3	760	19	2	20	26	39
5110	2	2	2	2	6	3	671
5111	10	1	1	15	11	1	40
5112	2	2	2	2	6	3	353
5113	3	3	685	1	264	1	10
5114	607	35	19	2	20	26	39
5115	1	4	1	4	12	1	672
5116	6	115	687	2	7	32	5
5117	206	305	242	142	195	202	205
5118	206	274	253	143	248	202	193
5119	3	611	1	1	1	5	3
5120	609	3	1	1	4	4	109
5121	7	6	1	70	631	8	6
5122	524	6	1	5	8	8	6
5123	7	6	1	5	8	8	676
5124	3	3	1	1	4	569	3
5125	12	4	1	4	12	284	3
5126	8	2	2	2	6	568	2
5127	608	14	8	6	10	3	2
5128	19	23	690	2	19	20	15
5129	1	4	1	4	12	1	674
5130	3	764	19	2	20	26	39
5131	13	13	334	391	12	10	13
5132	10	14	8	392	10	3	2
5133	2	2	689	2	6	3	2
5134	1	4	1	4	12	567	10
5135	7	6	1	5	8	573	6
5136	1	766	1	1	1	1	1
5137	211	761	242	163	627	211	418
5138	211	762	303	142	195	211	673
5139	211	763	255	145	628	211	673
5140	206	274	688	142	195	235	205
5141	3	35	19	2	20	572	39
5142	19	765	15	2	19	20	15
5143	7	6	1	5	8	8	3
5144	7	6	1	5	630	8	6
5145	7	6	1	5	629	8	6
5146	3	1	1	1	1	5	675
5147	1	220	1	159	4	4	3
5148	1	2	2	6	6	5	2
5149	1	4	1	1	8	1	464
5150	1	6	1	4	8	4	6
5151	1	3	1	21	22	3	35
5152	1	3	1	159	12	4	1
5153	7	6	1	159	8	27	6
5154	7	3	1	6	11	5	10
5155	7	6	1	21	8	5	464
5156	1	3	1	159	4	4	3
5157	7	6	1	159	8	5	6
5158	3	3	1	1	11	27	10
5159	1	3	1	1	11	5	10
5160	1	4	1	4	12	570	3
5161	1	4	1	159	8	571	677
5162	3	1	691	1	22	28	1
5163	10	14	8	6	10	3	678
5164	12	4	1	4	633	1	3
5165	18	33	693	20	7	50	48
5166	3	767	19	2	20	26	39
5167	3	3	692	1	4	4	3
5168	5	4	1	4	4	6	679
5169	2	271	291	2	6	3	2
5170	13	13	565	1	12	10	13
5171	610	2	2	2	6	3	2
5172	3	4	1	4	636	6	3
5173	7	768	1	5	8	8	6
5174	3	345	1	1	4	4	3
5175	1	1	1	238	330	1	10
5176	1	4	1	394	12	1	10
5177	1	109	164	1	1	1	1
5178	1	4	599	4	12	1	10
5179	1	1	1	1	4	4	295
5180	1	1	1	1	330	324	10
5181	69	1	14	15	11	19	76
5182	1	1	1	1	330	1	230
5183	6	66	46	2	4	50	18
5184	3	35	19	2	634	26	39
5185	10	40	8	395	10	3	2
5186	5	4	1	4	4	576	3
5187	3	143	1	1	4	4	3
5188	12	769	1	4	12	1	3
5189	1	4	1	4	12	577	10
5190	7	6	457	5	8	8	6
5191	7	6	1	5	8	8	680
5192	10	14	8	396	10	3	2
5193	3	1	1	8	1	1	681
5194	611	40	8	6	10	3	2
5195	2	2	2	2	6	3	573
5196	2	2	694	2	6	3	2
5197	7	6	1	5	8	578	6
5198	4	1	4	1	5	5	682
5199	13	13	1	1	302	42	13
5200	613	1	1	1	1	1	1
5201	10	14	8	6	10	579	2
5202	1	1	695	1	1	1	1
5203	615	2	2	2	6	3	2
5204	614	75	49	44	13	68	60
5205	1	4	1	4	12	1	685
5206	2	770	2	2	6	3	2
5207	1	4	1	4	12	1	684
5208	7	771	1	5	8	8	6
5209	13	13	696	1	12	10	13
5210	7	6	697	5	8	8	6
5211	1	3	1	14	111	51	10
5212	3	3	664	1	4	4	3
5213	1	1	672	1	1	1	1
5214	3	3	1	1	4	4	683
5215	6	772	46	2	7	50	18
5216	3	695	280	168	1	5	3
5217	3	240	280	1	1	5	3
5218	3	730	280	1	1	5	3
5219	3	1	280	272	1	5	3
5220	3	1	280	108	1	5	3
5221	2	2	701	2	6	3	162
5222	1	1	700	1	1	1	1
5223	1	4	1	4	12	534	10
5224	6	66	46	2	7	50	687
5225	19	23	15	2	19	20	694
5226	3	778	1	1	1	1	10
5227	8	2	702	2	6	3	2
5228	618	23	15	2	19	20	15
5229	13	13	1	1	12	581	13
5230	2	2	93	2	6	3	2
5231	10	40	8	6	639	3	2
5232	619	1	1	1	1	5	3
5233	1	4	704	4	12	1	10
5234	3	779	1	1	4	4	3
5235	10	777	8	6	10	3	2
5236	1	4	1	399	4	4	3
5237	620	2	2	2	6	3	2
5238	3	1	1	8	640	1	1
5239	1	780	1	1	1	1	1
5240	7	6	1	5	8	8	695
5241	2	781	2	2	6	3	2
5242	3	3	663	1	4	4	3
5243	10	14	8	6	10	3	698
5244	3	1	1	1	1	582	3
5245	1	4	1	4	12	1	697
5246	10	14	8	6	10	3	696
5247	5	4	705	4	4	6	3
5248	2	2	703	2	6	3	2
5249	22	1	14	23	12	4	698
5250	10	14	8	6	641	3	2
5251	621	4	1	4	12	1	3
5252	10	14	8	6	642	3	2
5253	623	1	1	1	1	1	1
5254	1	4	1	4	12	1	699
5255	1	4	1	4	12	583	10
5256	3	3	1	1	643	4	3
5257	622	3	1	185	4	4	3
5258	1	4	84	4	12	1	10
5259	1	3	707	1	1	1	1
5260	7	6	1	5	8	584	6
5261	3	35	19	2	20	585	39
5262	12	4	549	4	12	1	3
5263	13	13	1	1	644	11	13
5264	7	6	1	5	8	586	701
5265	19	23	714	48	19	20	15
5266	19	457	15	407	19	20	15
5267	19	23	15	2	19	20	707
5268	3	3	708	1	4	4	3
5269	1	4	1	403	12	1	10
5270	4	3	1	1	1	1	40
5271	2	2	2	2	6	129	2
5272	3	3	1	406	4	4	3
5273	3	3	149	1	264	1	10
5274	1	1	706	9	1	1	1
5275	3	792	19	2	20	26	39
5276	2	2	2	410	6	3	2
5277	1	1	1	411	1	1	1
5278	3	784	1	1	1	1	10
5279	1	1	1	1	649	1	1
5280	7	6	715	5	8	8	6
5281	2	2	717	2	6	3	2
5282	3	3	1	1	650	4	3
5283	12	4	1	4	12	1	712
5284	3	1	1	408	1	1	1
5285	632	27	1	1	1	1	10
5286	631	4	1	4	12	1	10
5287	12	783	1	409	12	1	3
5288	1	4	1	4	648	1	28
5289	22	1	14	400	12	4	700
5290	1	1	1	404	1	1	1
5291	3	35	19	2	20	26	704
5292	627	1	1	9	646	1	1
5293	625	1	14	23	12	587	31
5294	1	1	1	9	1	1	703
5295	633	35	719	2	20	26	39
5296	3	35	19	2	20	26	705
5297	634	35	19	2	20	26	39
5298	159	35	713	2	20	26	39
5299	630	35	19	2	20	26	39
5300	629	1	14	23	12	4	706
5301	628	782	711	9	1	1	1
5302	1	1	712	9	1	1	39
5303	635	35	19	2	20	26	39
5304	1	1	1	405	1	1	1
5305	626	1	1	9	1	1	1
5306	22	1	709	23	12	4	702
5307	3	1	1	8	646	1	1
5308	5	788	1	4	4	6	3
5309	637	4	1	4	4	6	3
5310	10	14	721	6	10	3	2
5311	10	14	8	6	10	588	2
5312	13	13	1	1	654	11	13
5313	1	506	1	1	1	1	1
5314	151	789	215	34	175	180	169
5315	5	431	1	4	4	6	3
5316	3	3	1	1	4	4	709
5317	19	23	15	2	655	20	15
5318	3	1	61	8	1	1	1
5319	638	1	14	15	11	19	3
5320	19	23	15	2	19	20	710
5321	639	4	1	4	12	121	10
5322	5	4	1	403	4	6	3
5323	3	790	19	2	20	26	39
5324	1	4	1	413	12	121	10
5325	3	1	1	414	1	1	1
5326	3	791	1	8	1	1	1
5327	1	4	1	4	359	1	10
5328	22	1	14	23	12	589	31
5329	1	1	1	1	1	1	711
5330	6	5	16	415	7	14	34
5331	2	2	716	2	6	3	2
5332	22	1	726	23	12	4	31
5333	3	786	1	8	1	1	708
5334	636	786	322	8	652	1	1
5335	3	786	1	8	653	1	1
5336	3	35	723	2	20	26	717
5337	641	2	2	2	6	83	2
5338	7	6	1	5	8	590	6
5339	10	793	8	6	10	3	2
5340	1	3	1	14	11	51	713
5341	6	57	45	2	7	58	714
5342	642	6	1	5	8	8	6
5343	12	4	722	4	12	1	3
5344	1	1	1	416	1	1	715
5345	598	4	1	4	12	1	10
5346	1	4	1	8	4	4	381
5347	1	611	1	1	1	1	1
5348	3	786	720	8	1	1	1
5349	3	786	1	8	1	1	719
5350	3	797	1	8	1	1	1
5351	3	786	728	8	1	1	720
5352	393	4	1	4	12	1	10
5353	3	131	1	8	1	1	1
5354	2	3	457	1	4	4	3
5355	2	3	1	238	4	4	3
5356	1	1	691	1	22	1	1
5357	644	35	718	2	20	26	39
5358	3	785	19	2	651	26	39
5359	643	1	1	9	1	1	1
5360	1	13	1	1	1	10	658
5361	625	1	710	23	12	4	31
5362	3	798	729	8	1	595	721
5363	3	786	1	418	659	1	1
5364	3	786	638	419	660	1	723
5365	12	4	326	4	12	1	67
5366	1	1	1	4	12	1	40
5367	354	256	236	66	221	267	204
5368	13	13	1	1	661	11	13
5369	7	6	1	421	8	8	6
5370	3	3	1	420	4	4	3
5371	6	57	45	422	7	58	52
5372	10	47	8	425	26	32	2
5373	12	800	1	4	12	1	3
5374	646	4	1	4	12	1	10
5375	1	4	1	4	662	1	10
5376	13	13	84	1	12	11	13
5377	3	801	167	2	20	476	39
5378	46	75	49	44	13	68	726
5379	647	4	1	4	12	1	10
5380	6	799	6	2	7	14	5
5381	645	5	6	2	7	14	5
5382	3	3	1	1	4	345	3
5383	2	756	2	2	2	2	2
5384	8	2	683	2	6	3	2
5385	10	757	8	6	10	3	2
5386	606	13	1	1	12	11	13
5387	7	6	1	390	8	8	6
5388	1	1	684	1	1	1	1
5389	1	755	1	27	1	1	1
5390	25	26	28	18	18	566	670
5391	2	2	2	2	6	596	2
5392	624	2	2	2	6	3	2
5393	648	5	6	2	665	14	34
5394	3	35	19	427	20	26	39
5395	13	13	1	1	81	11	728
5396	2	803	2	2	6	3	2
5397	1	1	1	1	1	598	1
5398	12	4	1	4	73	1	3
5399	7	6	1	5	8	599	6
5400	10	14	8	426	10	3	2
5401	3	794	12	2	13	13	716
5402	3	16	12	2	656	13	15
5403	3	16	724	2	13	13	15
5404	3	796	727	8	658	1	1
5405	3	786	1	8	1	1	1
5406	3	16	12	2	13	13	15
5407	3	3	1	1	8	8	6
5408	3	1	487	1	4	5	3
5409	3	1	1	1	4	349	3
5410	2	2	5	2	4	3	3
5411	3	1	487	1	1	5	10
5412	3	1	487	1	1	349	3
5413	1	4	1	8	4	4	9
5414	3	1	487	1	1	5	96
5415	1	1	487	8	1	5	3
5416	3	3	1	1	264	1	9
5417	3	6	1	5	1	8	6
5418	3	3	1	1	1	4	10
5419	3	3	645	1	264	1	13
5420	3	3	487	1	264	1	10
5421	3	35	19	2	645	26	39
5422	3	1	1	1	1	26	3
5423	22	1	14	23	669	4	31
5424	19	6	15	5	8	8	15
5425	1	4	1	4	12	1	145
5426	7	6	539	5	8	8	6
5427	3	377	1	162	4	4	3
5428	654	23	15	2	19	20	42
5429	13	13	1	1	12	11	735
5430	1	4	1	4	12	1	736
5431	5	4	1	4	4	6	737
5432	1	4	1	4	12	1	738
5433	631	4	1	4	12	1	739
5434	10	14	733	6	10	3	2
5435	4	1	4	428	5	5	4
5436	3	1	1	8	1	1	729
5437	649	2	2	2	6	3	2
5438	2	2	2	2	666	3	2
5439	3	1	1	429	1	1	1
5440	10	14	734	6	10	3	2
5441	10	14	8	6	667	3	2
5442	650	13	1	1	12	11	13
5443	151	8	215	34	175	180	169
5444	651	13	1	1	12	11	13
5445	12	4	280	4	12	1	3
5446	13	13	1	1	12	601	13
5447	1	4	1	8	632	4	3
5448	22	1	14	23	37	4	31
5449	2	2	2	393	6	3	2
5450	10	14	8	6	10	3	730
5451	1	4	1	1	330	1	3
5452	2	2	2	2	6	600	2
5453	4	1	735	1	5	5	4
5454	1	1	736	1	12	1	1
5455	18	18	6	59	13	15	731
5456	2	2	2	2	6	3	732
5457	19	23	737	2	19	20	15
5458	19	23	738	48	19	20	15
5459	652	13	1	1	12	11	13
5460	19	23	739	2	19	20	15
5461	7	6	1	5	668	8	6
5462	6	5	16	2	7	602	34
5463	3	804	1	8	1	1	1
5464	653	23	15	2	19	20	15
5465	638	1	14	15	670	19	3
5466	1	1	740	177	12	1	1
5467	2	807	2	2	6	3	2
5468	1	4	1	4	671	1	10
5469	1	299	1	4	12	41	10
5470	3	3	1	137	4	4	3
5471	657	3	1	1	1	1	10
5472	19	4	1	4	119	20	10
5473	151	14	215	34	175	180	169
5474	79	1	256	23	12	4	31
5475	199	805	44	430	447	192	733
5476	199	806	741	2	447	192	734
5477	6	55	45	2	109	14	741
5478	1	299	1	4	12	25	10
5479	3	35	19	2	20	607	39
5480	6	57	45	2	7	611	52
5481	7	6	1	5	8	610	6
5482	2	816	2	2	2	2	2
5483	1	4	1	4	12	1	748
5484	10	14	8	6	10	612	2
5485	1	815	1	4	12	1	10
5486	6	817	6	2	7	14	5
