ST	arcC	ddl	gki	recP	tdk	tpi	yqiL	clonal_complex
1424	2	30	4	2	58	4	0	
1425	90	1	5	2	129	1	0	
1426	6	1	3	2	42	52	3	
1427	6	1	5	2	17	52	6	
1428	1	1	3	1	42	52	6	
1429	6	1	28	2	17	3	3	ST-143 complex
1430	1	1	3	2	130	52	6	
1431	1	1	28	2	28	52	3	
1432	1	1	3	2	17	52	3	ST-143 complex
1433	6	1	3	2	131	52	86	
1434	1	1	3	2	26	52	3	
1435	1	1	2	2	28	52	86	
