ST	atpD	gltB	gyrB	recA	lepA	phaC	trpB	clonal_complex
1590	533	455	1058	1	658	500	21	
1591	2	386	1040	2	651	62	48	
1592	4	386	1033	3	647	1	635	
1593	2	704	1049	37	1	496	48	
1594	75	195	48	37	3	3	21	
1595	531	182	418	37	108	39	644	
1596	75	58	48	37	646	3	21	
1597	1	697	1035	53	1	489	21	
1598	532	79	1056	92	57	492	637	
1599	523	386	1027	103	1	487	21	
1600	75	698	1038	103	3	491	636	
1601	1	55	1041	103	595	1	21	
1602	235	455	1031	103	595	3	53	
1603	524	694	1029	103	647	1	21	
1604	4	707	1054	103	658	499	21	
1605	66	195	1055	103	659	1	645	
1606	1	386	1036	325	1	490	21	
1607	1	705	1051	325	645	497	21	
1608	6	52	3	373	5	5	3	
1609	525	696	1032	373	648	101	634	
1610	6	95	1028	381	653	488	640	
1611	6	701	1045	551	591	95	641	
1612	6	693	1028	551	591	488	50	
1613	1	386	1037	593	649	3	21	
1614	77	79	1039	594	650	52	637	
1615	77	700	1044	595	57	492	637	
1616	528	702	1047	595	57	494	637	
1617	529	703	1048	596	655	495	642	
1618	180	706	1052	597	657	498	643	
1619	235	708	1057	598	3	3	21	
1620	528	702	1059	599	660	52	637	
1621	16	16	524	19	68	41	13	
1622	223	437	1061	312	360	484	312	
1623	16	16	1024	365	93	8	646	
1624	15	11	230	317	11	6	79	
1625	17	65	57	15	93	6	14	
1626	536	347	1064	136	662	166	234	
1627	16	711	1065	365	663	6	648	
1628	15	64	1063	14	11	502	12	
1629	535	64	1063	14	11	502	12	
1630	219	710	57	600	661	501	647	
1631	70	713	250	108	453	28	86	
1632	15	11	1066	14	11	503	79	
1633	233	712	1067	349	395	504	649	
1634	237	267	852	483	28	208	526	
1635	241	225	853	484	664	402	527	
1636	537	571	863	488	667	405	530	
1637	87	38	863	38	56	407	531	
1638	241	569	859	249	294	402	529	
1639	538	572	864	489	668	406	529	
1640	346	405	862	364	416	404	39	
1641	56	40	34	364	25	404	39	
1642	180	210	856	146	213	162	217	
1643	320	367	854	485	385	403	205	
1644	230	568	858	339	283	403	205	
1645	413	124	861	59	113	78	114	
1646	411	567	857	487	666	144	528	
1647	412	570	860	329	376	144	528	
1648	410	566	855	486	665	294	650	
1649	472	58	529	1	585	1	21	
1650	27	663	322	22	12	11	81	
1651	539	714	151	601	669	114	232	
1652	13	717	1069	138	63	96	7	
1653	36	203	1071	603	674	512	655	
1654	542	725	1070	606	676	507	657	
1655	543	718	1072	607	677	65	658	
1656	547	723	1078	604	678	513	654	
1657	541	726	1074	608	679	508	659	
1658	546	718	1075	609	680	510	660	
1659	548	727	1083	610	681	514	661	
1660	549	728	1079	611	682	515	662	
1661	550	720	1080	604	672	516	663	
1662	551	722	1081	612	683	517	664	
1663	128	721	1076	613	673	509	653	
1664	544	719	1073	614	671	518	665	
1665	552	729	1082	615	684	519	666	
1666	545	724	1077	605	675	511	656	
1667	106	124	1084	59	685	78	114	
1668	149	267	311	205	686	520	162	
1669	17	97	104	58	687	76	60	
1670	553	636	1089	616	598	523	667	
1671	36	730	246	181	263	47	186	
1672	555	731	1085	617	689	521	668	
1673	266	292	430	275	690	524	289	
1674	136	134	1086	242	688	522	138	
1675	556	732	1087	618	691	525	669	
1676	557	733	1090	619	692	526	670	
1677	554	578	1088	228	165	133	159	
1678	558	736	1093	146	695	528	217	
1679	152	167	208	25	693	529	166	
1680	194	735	327	213	233	188	235	
1681	222	737	1091	230	255	250	255	
1682	219	734	1092	15	694	527	648	
1683	60	170	36	168	27	72	206	
1684	540	715	1062	602	670	505	651	
1685	67	716	1068	49	94	506	652	
1686	9	50	81	141	37	35	5	
1687	13	141	133	160	386	42	560	
1688	13	328	454	7	239	96	334	
1689	16	335	485	15	47	453	341	
1690	107	155	1094	324	697	64	139	
1691	219	738	613	49	696	283	361	
1692	13	61	412	133	144	222	560	
1693	234	195	1095	1	1	1	21	
1694	16	16	1096	15	93	8	144	
1695	187	161	908	144	156	530	671	
1696	67	175	379	186	94	531	213	
1697	15	11	206	14	11	141	147	
1698	563	745	1097	623	701	538	676	
1699	202	746	339	220	698	532	238	
1700	51	740	94	36	77	26	35	
1701	466	618	1098	530	702	533	672	
1702	564	747	1105	624	703	539	677	
1703	559	748	1099	625	704	534	678	
1704	560	42	1106	622	699	481	673	
1705	565	749	1107	626	705	540	679	
1706	566	750	1108	627	706	541	680	
1707	567	741	1100	628	707	535	674	
1708	568	751	1101	629	708	542	681	
1709	561	742	1102	630	700	519	675	
1710	562	743	1103	631	709	536	675	
1711	569	744	1109	632	700	537	682	
1712	570	752	1104	633	710	543	683	
1713	571	753	1110	634	711	544	684	
1714	572	754	1111	635	712	545	685	
1715	573	755	1112	636	713	546	686	
1716	248	277	1113	637	307	547	307	
1717	574	756	1114	638	714	548	687	
1718	251	303	409	259	715	218	309	
1719	572	757	1115	639	716	549	688	
1720	575	758	1116	49	717	550	689	
1721	184	224	301	200	219	53	690	
1722	17	16	352	15	155	8	14	
1723	2	2	587	37	38	62	48	
1724	2	57	689	37	570	93	48	
1725	15	158	574	14	11	6	79	
1726	131	11	593	14	11	6	79	
1727	64	759	1117	89	122	97	691	
1728	9	270	1118	141	137	96	7	
1729	369	439	671	395	443	225	438	
1730	374	444	661	394	451	225	443	
1731	27	19	15	111	36	11	80	
1732	223	431	1120	396	440	269	312	
1733	577	761	1122	273	306	551	406	
1734	173	198	1119	193	719	155	197	
1735	579	764	1124	629	721	542	694	
1736	580	765	1125	643	722	554	696	
1737	581	766	1126	640	723	555	697	
1738	576	767	711	641	724	556	693	
1739	582	762	429	644	326	552	288	
1740	187	760	1121	144	718	123	45	
1741	131	11	85	14	11	6	79	
1742	15	11	85	14	11	6	79	
1743	15	11	481	14	11	6	12	
1744	9	60	170	141	63	96	7	
1745	537	768	1127	645	725	557	46	
1746	583	769	1128	646	726	558	698	
1747	578	763	1123	642	720	553	699	
1748	584	770	1129	647	727	559	700	
1749	585	771	1130	648	728	560	701	
1750	586	772	1131	649	729	561	702	
1751	587	773	1132	616	599	562	703	
1752	588	774	1133	650	730	563	704	
1753	478	637	1134	651	731	444	582	
1754	589	775	1135	536	604	439	583	
1755	590	653	968	558	616	459	705	
1756	492	776	962	652	732	564	706	
1757	591	777	1136	653	733	565	707	
1758	592	778	1137	654	734	566	708	
1759	593	779	1138	655	735	454	709	
1760	594	456	1139	656	736	567	710	
1761	595	11	228	14	11	6	12	
1762	12	6	118	9	63	100	6	
1763	596	330	53	7	7	42	711	
1764	13	369	635	133	7	96	415	
1765	597	780	1141	7	737	96	132	
1766	598	781	1142	185	10	42	132	
1767	599	782	1143	11	230	42	712	
1768	336	783	577	133	738	151	237	
1769	193	784	53	657	239	96	713	
1770	600	785	260	658	739	96	714	
1771	13	786	166	11	239	42	715	
1772	16	16	1140	19	68	41	13	
1773	601	787	1144	659	740	568	725	
1774	602	788	1145	660	741	569	716	
1775	603	789	1146	661	742	570	717	
1776	604	790	1147	662	743	571	718	
1777	605	797	1148	663	744	572	719	
1778	606	791	1149	664	745	573	720	
1779	607	792	1150	665	746	574	721	
1780	608	798	1151	666	747	575	722	
1781	609	793	1152	667	748	576	723	
1782	610	794	1153	634	749	577	684	
1783	590	653	1154	558	616	459	602	
1784	611	795	1155	668	750	578	724	
1785	9	60	165	77	37	35	5	
1786	10	50	4	77	37	35	67	
1787	10	50	52	671	252	35	5	
1788	10	60	53	674	754	35	67	
1789	10	205	308	670	37	35	5	
1790	13	5	172	133	201	96	132	
1791	13	50	160	133	7	170	215	
1792	13	150	166	88	7	42	6	
1793	13	152	1158	7	200	42	729	
1794	13	185	254	110	752	42	6	
1795	13	800	118	81	141	42	727	
1796	13	801	1157	7	753	42	728	
1797	14	803	1160	133	7	42	132	
1798	15	11	206	14	11	6	12	
1799	27	231	16	675	36	11	17	
1800	122	152	53	7	230	581	726	
1801	123	205	4	673	7	582	4	
1802	158	802	1159	672	46	96	390	
1803	214	60	4	141	575	170	215	
1804	223	309	1120	393	751	579	430	
1805	223	440	1120	388	436	225	430	
1806	223	799	492	312	318	580	312	
1807	612	61	1156	669	10	42	4	
1808	13	804	1161	676	755	96	730	
1809	13	334	1162	677	260	96	560	
1810	13	236	354	133	231	583	4	
1811	147	621	1000	71	168	73	161	
1812	511	82	999	156	226	73	619	
1813	15	11	184	14	11	6	79	
1814	23	136	57	15	93	6	14	
1815	292	161	1167	681	156	123	240	
1816	323	819	560	353	773	299	377	
1817	481	808	950	549	760	449	591	
1818	614	805	1164	590	757	585	732	
1819	615	806	1165	679	758	586	733	
1820	615	806	1175	686	767	586	741	
1821	615	806	1175	686	769	586	741	
1822	615	806	1175	689	767	586	746	
1823	615	806	1175	679	758	586	733	
1824	616	807	1166	680	759	587	734	
1825	617	809	1168	407	761	588	735	
1826	617	811	1170	682	763	590	735	
1827	618	810	1169	407	762	589	735	
1828	619	812	1171	353	764	308	736	
1829	620	813	1172	683	765	591	737	
1830	621	814	1173	684	766	32	738	
1831	622	284	1174	685	699	481	739	
1832	623	806	1175	686	758	586	740	
1833	624	815	1176	687	768	592	742	
1834	625	816	1177	683	765	591	743	
1835	626	374	1178	353	770	308	736	
1836	627	817	1179	688	771	593	744	
1837	628	818	1180	683	772	591	745	
1838	629	816	1181	683	765	591	745	
1839	630	806	1182	679	767	586	741	
1840	632	821	1184	690	774	594	748	
1841	633	34	1185	691	775	595	83	
1842	634	11	989	14	11	6	79	
1843	23	136	352	15	93	8	14	
1844	16	146	1186	136	140	117	60	
1845	94	822	1187	692	227	41	749	
1846	19	12	11	16	65	7	10	
1847	309	570	984	329	666	144	606	
1848	377	823	1188	693	776	340	750	
1849	6	56	1189	75	41	39	52	
1850	174	86	1190	50	14	58	82	
1851	578	763	1123	642	720	553	695	
1852	570	824	1191	694	777	596	751	
1853	635	825	1192	695	778	597	752	
1854	636	826	1193	696	779	598	753	
1855	637	827	1194	697	780	599	754	
1856	638	828	1195	698	781	600	755	
1857	639	829	1196	699	782	601	756	
1858	640	830	1197	700	783	602	757	
1859	641	831	1198	701	784	603	758	
1860	642	832	1199	702	785	604	759	
1861	205	833	1200	366	786	605	760	
1862	205	834	1201	366	787	191	761	
1863	643	274	1204	703	788	295	205	
1864	15	64	185	14	11	6	762	
1865	15	11	1203	14	11	141	12	
1866	15	11	487	143	11	6	147	
1867	9	60	395	79	137	96	5	
1868	16	11	1202	14	152	606	147	
1869	15	739	9	14	11	6	12	31
1870	235	707	1205	1	789	607	21	
1871	126	169	1206	704	790	99	150	
1872	478	637	966	539	601	444	582	
1873	10	270	1207	705	791	35	66	
1874	91	93	629	1	3	1	763	
1875	644	624	1208	706	590	438	573	
1876	130	11	489	143	11	6	79	
1877	39	835	1210	707	51	608	49	
1878	106	130	1209	59	113	111	114	
1879	106	130	1209	59	113	144	114	
1880	645	836	1211	49	375	609	764	
1881	646	837	1212	708	792	610	765	
1882	647	838	927	616	598	562	667	
1883	648	839	1213	709	793	611	766	
1884	649	840	1214	710	794	612	767	
1885	650	841	1215	711	795	613	768	
1886	651	842	1216	712	796	614	769	
1887	652	843	1217	713	797	615	770	
1888	653	844	1218	714	798	616	771	
1889	654	115	116	106	87	75	94	
1890	16	11	1219	14	11	6	79	
1891	381	845	1220	715	799	617	772	
1892	658	846	1229	716	802	224	775	
1893	13	236	354	133	231	621	4	
1894	656	288	426	717	323	618	774	
1895	273	848	1231	283	555	240	545	
1896	579	764	1124	629	721	542	777	
1897	660	853	1233	723	729	561	778	
1898	659	852	1223	722	805	623	694	
1899	16	175	1221	15	68	6	773	
1900	663	854	1235	724	807	624	781	
1901	664	855	1235	725	807	625	782	
1902	661	850	1225	726	806	622	783	
1903	593	851	1234	727	804	454	784	
1904	655	847	1230	728	803	619	785	
1905	657	849	441	720	808	620	299	
1906	665	856	1236	729	809	626	786	
1907	666	879	1222	730	810	627	787	
1908	667	858	1224	256	800	232	406	
1909	662	859	1237	697	811	628	780	
1910	662	859	1226	697	811	628	780	
1911	668	860	1238	721	812	629	788	
1912	669	854	1235	731	807	630	789	
1913	670	861	1239	732	813	631	790	
1914	671	862	1240	733	801	632	791	
1915	672	863	1232	734	814	633	792	
1916	673	864	1241	735	815	634	779	
1917	674	865	1242	718	816	635	776	
1918	675	866	1243	736	817	636	793	
1919	676	867	1227	719	818	637	794	
1920	27	869	1245	738	819	639	81	
1921	677	649	442	14	11	6	79	
1922	16	11	1246	14	11	6	147	
1923	678	870	1017	739	435	13	22	
1924	129	11	9	14	11	6	147	
1925	16	134	196	15	458	8	144	
1926	17	146	1247	136	102	640	144	
1927	27	19	15	174	825	132	799	
1928	324	375	1248	343	394	644	378	
1929	15	64	185	14	11	6	12	
1930	679	871	1249	99	820	48	795	
1931	680	687	1250	743	463	13	344	
1932	681	167	1251	745	821	641	22	
1933	27	20	15	22	12	11	63	
1934	16	264	381	177	406	41	180	
1935	682	201	1252	194	822	642	796	
1936	198	25	333	26	235	190	232	
1937	127	872	1253	67	147	64	139	
1938	27	19	173	23	36	11	17	
1939	176	201	1254	740	823	643	201	
1940	197	29	562	741	824	58	49	
1941	17	15	239	69	68	46	138	
1942	27	20	390	23	12	11	63	
1943	15	11	231	14	11	6	797	
1944	13	237	265	742	201	266	132	
1945	131	11	230	14	11	6	12	
1946	27	663	16	23	49	11	17	
1947	144	231	15	23	12	645	81	
1948	176	201	1255	740	206	58	796	
1949	168	190	303	133	231	96	4	
1950	379	687	1256	743	291	646	798	
1951	27	20	15	23	12	11	230	
1952	15	11	442	14	456	6	147	
1953	27	103	16	22	12	11	17	
1954	27	873	1258	48	819	180	81	
1955	27	103	16	23	12	187	17	
1956	27	874	1259	174	825	131	81	
1957	324	375	1257	744	394	647	378	
1958	683	875	1260	746	826	648	800	
1959	684	876	1261	747	827	649	801	
1960	685	877	1262	748	828	650	802	
1961	686	93	96	103	42	1	21	
1962	6	878	1263	183	829	4	354	
1963	223	337	665	749	440	225	430	
1964	3	50	4	81	7	35	57	
1965	193	880	1264	11	830	96	391	
1966	13	150	1265	750	7	96	132	
1967	9	60	395	81	357	35	215	
1968	223	436	417	312	360	269	435	
1969	336	881	55	133	144	14	803	
1970	13	882	1267	133	831	343	805	
1971	13	148	1266	135	239	42	804	
1972	10	883	315	133	63	651	54	
1973	9	142	161	81	137	96	67	
1974	9	6	1266	141	7	100	6	
1975	13	884	308	110	10	96	195	
1976	13	334	483	135	355	42	340	
1977	13	334	483	309	832	42	340	
1978	13	368	555	94	386	296	132	
1979	13	9	83	12	7	42	807	
1980	322	330	283	751	232	96	221	
1981	214	205	480	237	63	265	5	
1982	223	885	655	254	303	214	261	
1983	13	886	1268	573	46	96	132	
1984	158	371	98	11	623	42	251	
1985	10	887	169	141	37	96	806	
1986	13	888	1269	185	7	45	195	
1987	193	453	695	207	833	652	4	
1988	223	337	1270	388	624	269	428	
1989	687	781	1271	11	10	96	391	
1990	10	50	4	137	63	96	227	
1991	355	889	1272	133	231	96	132	
1992	223	890	1273	388	360	653	209	
1993	223	437	655	254	303	214	261	
1994	13	5	601	752	10	42	390	
1995	13	334	483	135	623	42	340	
1996	13	891	1274	753	200	42	132	
1997	57	41	1275	40	26	31	40	
1998	688	892	1276	754	834	654	808	
1999	15	11	85	14	11	120	79	
2000	131	11	230	755	11	6	358	
2001	13	50	53	81	37	35	5	
2002	126	893	1277	150	835	99	809	
2003	9	6	161	81	137	96	6	
2004	27	20	15	174	49	187	17	
2005	16	895	1280	15	847	550	122	
2006	10	50	476	81	849	35	336	
2007	6	896	1281	5	850	655	592	
2008	122	897	1282	657	461	42	812	
2009	1	695	1283	1	645	1	21	
2010	187	161	1284	175	177	123	45	
2011	324	375	1291	343	394	647	378	
2012	689	898	1285	757	855	174	813	
2013	27	19	202	22	49	56	17	
2014	690	899	1286	758	856	656	814	
2015	27	19	173	22	12	11	81	
2016	241	225	1287	759	857	402	527	
2017	187	630	1279	756	858	123	811	
2018	107	900	1288	67	859	41	139	
2019	375	901	1289	760	860	32	41	
2020	168	220	303	761	861	657	4	
2021	27	19	15	22	12	11	17	
2022	27	902	1290	96	36	56	17	
2023	27	103	16	23	36	11	17	
2024	6	903	1281	5	862	38	815	
2025	223	437	668	387	360	269	428	
2026	320	367	1293	485	385	403	205	
2027	691	15	1221	69	68	46	182	
2028	692	905	1294	762	864	659	816	
2029	60	170	1295	168	27	72	72	
2030	472	58	529	1	585	1	817	
2031	165	906	1296	144	858	123	588	
2032	241	225	1297	759	857	402	818	
2033	643	274	1298	339	246	660	205	
2034	167	907	1299	577	867	661	192	
2035	27	19	173	22	12	132	17	
2036	693	908	1300	764	202	153	819	
2037	4	692	1301	1	595	1	21	
2038	16	16	1302	19	68	41	13	
2039	186	909	1303	339	868	295	205	
2040	525	95	1304	37	41	95	820	
2041	29	663	15	23	36	56	81	
2042	146	679	1305	765	869	662	160	
2043	504	664	1306	4	34	4	821	
2044	16	910	1307	766	870	663	822	
2045	6	911	1308	376	41	325	48	
2046	6	912	1309	376	591	286	823	
2047	504	52	1310	53	4	4	821	
2048	180	868	1244	737	213	638	217	
2049	438	590	1292	505	554	416	544	
2050	694	54	1311	37	38	93	48	
2051	695	11	1312	14	271	6	147	
2052	696	904	1313	763	863	658	824	
2053	697	913	1314	767	865	664	825	
2054	698	914	1315	768	866	665	826	
2055	16	11	1219	143	11	6	79	
2056	91	915	1316	1	871	1	827	
2057	16	916	1065	365	663	6	648	
2058	15	11	1317	14	11	6	12	
2059	699	917	1319	7	92	96	132	
2060	13	185	254	110	200	666	6	
2062	113	170	1320	168	27	72	72	
2063	505	346	53	7	7	42	390	
2064	27	102	62	23	35	11	17	
2065	60	171	212	169	180	667	171	
2066	700	354	1321	769	38	93	828	
2067	118	50	605	6	37	96	5	
2068	701	918	1322	770	872	668	36	
