ST	acsA	aroE	guaA	mutL	nuoD	ppsA	trpE	clonal_complex
1604	28	14	11	5	3	15	1	
1605	16	5	6	11	2	15	2	
1606	11	138	16	11	4	6	7	
1607	4	4	16	12	14	6	3	
1608	28	4	5	61	4	13	1	
1609	16	98	11	5	1	15	1	
1610	17	4	16	12	1	6	3	
1611	11	5	70	11	3	27	7	
1612	36	5	11	77	4	13	7	
1613	17	5	36	5	4	10	95	
1614	11	5	66	3	96	15	1	
1615	1	5	20	13	3	4	7	
1616	1	5	6	34	4	6	19	
1617	2	5	11	3	2	4	3	
1618	2	4	5	3	4	6	11	
1619	4	4	16	5	1	6	3	
1620	5	5	5	61	4	1	11	
1621	5	54	99	48	1	6	3	
1622	6	3	5	5	4	14	3	
1623	6	5	6	3	4	4	7	
1624	6	5	6	11	1	64	19	
1625	6	5	9	11	27	5	2	
1626	6	5	11	61	3	6	1	
1627	6	5	36	11	4	42	7	
1628	6	8	7	6	8	11	40	
1629	6	8	26	11	1	4	9	
1630	6	72	11	3	1	4	3	
1631	8	5	12	3	3	3	10	
1632	9	13	3	6	64	33	42	
1633	9	4	63	13	8	7	8	
1634	9	7	63	13	8	7	11	
1635	11	3	11	11	4	38	14	
1636	11	5	1	30	3	4	10	
1637	11	5	3	3	8	1	9	
1638	11	5	6	11	3	4	19	
1639	11	5	6	61	3	7	1	
1640	11	5	9	11	4	4	20	
1641	11	10	1	3	27	4	7	
1642	11	22	5	3	58	14	3	
1643	11	22	12	3	2	14	18	
1644	11	55	1	5	1	15	45	
1645	15	1	25	6	6	7	5	
1646	15	5	7	3	2	7	68	
1647	15	5	36	11	3	4	2	
1648	16	3	1	5	3	55	61	
1649	16	5	12	77	11	4	18	
1650	16	5	26	3	4	15	8	
1651	16	10	5	11	4	4	1	
1652	16	14	11	5	1	15	1	
1653	16	14	11	31	1	15	1	
1654	16	20	83	3	1	4	10	
1655	16	20	94	3	1	4	10	
1656	16	52	11	85	1	15	10	
1657	16	55	7	61	27	4	45	
1658	16	56	11	85	59	15	10	
1659	17	3	5	3	4	15	26	
1660	17	5	5	11	4	12	83	
1661	17	5	12	3	1	4	7	
1662	17	5	36	5	1	55	14	
1663	17	18	17	5	4	4	9	
1664	17	18	17	5	4	4	21	
1665	17	22	11	3	15	15	3	
1666	17	76	5	5	2	4	10	
1667	17	143	6	1	4	7	9	
1668	18	5	11	5	4	20	1	
1669	22	5	91	33	4	15	1	
1670	22	20	11	3	4	3	7	
1671	23	5	36	63	4	30	2	
1672	23	5	11	7	5	12	7	
1673	27	1	112	16	12	6	119	
1674	28	5	12	11	53	1	44	
1675	29	12	65	19	13	7	23	
1676	32	3	9	5	1	17	9	
1677	32	8	57	3	1	15	25	
1678	33	5	36	63	4	30	2	
1679	37	4	5	3	1	6	11	
1680	39	5	4	11	4	12	16	
1681	39	5	9	11	1	5	2	
1682	39	6	4	14	4	15	2	
1683	39	6	9	7	3	15	2	
1684	39	6	9	11	3	3	2	
1685	39	6	12	11	1	15	2	
1686	39	55	7	11	1	6	45	
1687	40	5	65	3	3	13	7	
1688	40	6	19	11	3	15	9	
1689	40	10	65	3	1	10	9	
1690	41	5	7	5	2	4	7	
1691	47	8	7	6	4	11	40	
1692	47	4	26	5	12	6	15	
1693	64	5	11	5	2	4	19	
1694	109	10	73	3	1	4	3	
1695	111	30	80	78	48	24	55	
1696	17	32	26	3	4	4	26	
1697	36	19	29	7	4	10	7	
1698	16	164	30	11	4	31	41	
1699	16	5	30	130	4	31	41	
1700	16	74	30	130	4	31	41	
1701	17	5	12	54	14	4	7	
1702	16	74	30	29	4	31	41	
1703	18	4	134	33	97	6	4	
1704	16	8	1	3	1	4	61	
1705	6	5	6	7	4	4	7	
1706	11	6	19	3	4	4	9	
1707	16	24	1	149	4	125	19	
1708	8	5	135	10	1	4	9	
1709	118	106	85	92	3	54	90	
1710	11	5	36	30	3	4	171	
1711	128	144	85	53	60	54	90	
1712	16	5	30	11	4	31	7	
1713	4	5	17	11	4	10	10	
1714	68	106	85	86	60	54	90	
1715	36	5	5	11	3	15	18	
1716	68	106	85	92	72	54	72	
1717	28	24	91	5	4	4	14	
1718	28	5	12	3	3	4	185	
1719	6	5	1	5	27	15	52	
1720	89	30	64	69	48	24	32	
1721	28	24	5	6	1	33	5	
1722	40	5	5	3	3	10	56	
1723	13	91	9	3	1	17	15	
1724	38	91	3	9	1	2	4	
1725	13	52	9	3	1	17	15	
1726	41	91	3	9	1	2	4	
1727	38	91	9	9	1	2	8	
1728	38	91	3	9	1	2	26	
1729	4	75	16	12	1	18	3	
1730	13	52	9	3	12	17	15	
1731	11	5	1	25	1	15	1	
1732	128	3	85	53	60	54	90	
1733	5	154	26	21	24	33	42	
1734	11	10	6	11	4	4	7	
1735	6	5	5	3	3	4	26	
1736	17	78	12	3	1	1	18	
1737	39	80	12	11	1	15	2	
1738	28	30	64	78	30	24	55	
1739	6	22	4	3	1	92	2	
1740	31	12	65	19	12	7	23	
1741	5	1	109	3	12	1	47	
1742	17	5	11	3	12	6	37	
1743	15	181	1	63	4	15	10	
1744	118	106	85	86	72	73	71	
1745	36	176	28	150	4	13	176	
1746	13	4	5	5	12	7	172	
1747	6	5	1	4	4	6	17	
1748	16	5	30	11	4	13	7	
1749	111	99	31	144	48	24	32	
1750	6	5	5	5	52	4	7	
1751	16	5	11	146	3	4	14	
1752	2	75	5	3	1	6	11	
1753	5	58	21	17	10	16	22	
1754	11	182	5	5	3	10	25	
1755	11	5	5	11	4	4	7	
1756	28	5	11	29	3	53	1	
1757	28	23	3	61	4	1	11	
1758	17	48	5	4	4	4	3	
1759	16	70	30	29	4	31	41	
1760	16	76	30	11	4	31	41	
1761	5	156	26	31	1	33	40	
1762	16	56	30	11	2	31	41	
1763	118	104	85	86	60	54	123	
1764	81	11	57	5	13	20	139	
1765	39	6	4	14	61	15	2	
1766	5	3	95	5	93	6	47	
1767	16	5	36	153	4	7	19	
1768	16	5	36	153	4	7	13	
1769	89	30	64	136	48	24	187	
1770	17	89	99	3	14	96	5	
1771	17	89	98	3	87	96	5	
1772	17	89	12	3	14	4	5	
1773	38	91	3	13	91	2	11	
1774	15	89	70	3	4	43	12	
1775	16	19	30	11	91	31	5	
1776	17	19	68	3	14	87	5	
1777	28	89	6	11	4	4	9	
1778	6	94	68	3	91	6	6	
1779	6	19	11	98	3	96	20	
1780	15	94	70	98	3	87	5	
1781	8	89	12	3	87	4	5	
1782	39	99	12	22	88	117	5	
1783	17	89	88	3	88	87	5	
1784	15	19	43	3	87	4	5	
1785	16	19	36	11	63	31	5	
1786	16	89	30	11	4	96	5	
1787	24	39	99	13	91	2	6	
1788	38	39	66	13	91	2	11	
1789	38	39	3	13	1	2	35	
1790	1	89	80	3	4	10	3	
1791	62	89	12	3	4	4	5	
1792	17	89	93	3	4	15	5	
1793	35	89	11	29	3	23	2	
1794	35	4	3	62	5	6	35	
1795	70	89	11	11	3	10	5	
1796	134	8	57	27	1	96	3	
1797	13	73	9	97	97	17	15	
1798	5	5	5	11	1	4	5	
1799	18	19	13	3	1	17	13	
1800	11	5	73	3	4	4	3	
1801	16	5	17	11	4	13	188	
1802	121	20	26	13	98	64	2	
1803	13	8	9	3	1	127	9	
1804	28	183	11	4	3	6	1	
1805	11	20	11	7	27	6	7	
1806	40	5	1	7	9	4	7	
1807	38	8	6	3	1	13	18	
1808	11	22	6	7	4	6	7	
1809	6	5	6	1	4	6	26	
1810	5	4	3	3	1	17	8	
1811	119	10	11	3	64	6	77	
1812	5	4	5	3	5	20	4	
1813	13	8	9	5	1	6	4	
1814	39	184	12	11	3	4	2	
1815	6	5	10	7	3	13	7	
1816	40	5	11	3	4	40	2	
1817	89	30	64	26	48	24	156	
1818	17	5	12	3	14	4	1	
1819	17	185	11	28	1	15	1	
1820	11	5	1	11	3	29	10	
1821	6	5	5	4	4	4	2	
1822	142	14	25	6	1	1	8	
1823	11	186	5	3	3	4	9	
1824	18	20	13	3	4	6	13	
1825	11	5	11	1	1	4	1	
1826	5	1	25	16	12	6	4	
1827	11	133	11	5	1	4	7	
1828	2	5	5	3	1	6	11	
1829	38	11	3	13	1	2	11	
1830	38	4	5	3	1	6	11	
1831	2	4	5	3	1	6	7	
1832	5	4	3	3	1	6	8	
1833	38	11	3	9	1	2	7	
1834	6	5	11	3	1	10	4	
1835	16	20	30	3	3	13	7	
1836	156	8	119	6	12	6	3	
1837	28	62	17	3	13	13	7	
1838	5	1	112	5	1	26	119	
1839	17	5	12	9	14	4	7	
1840	28	5	36	3	2	13	7	
1841	15	5	36	17	27	4	2	
1842	11	5	30	72	4	4	7	
1843	1	5	17	16	3	4	7	
1844	38	11	5	13	1	20	9	
1845	28	5	12	3	3	4	186	
1846	5	4	1	13	1	4	7	
1847	38	4	5	3	1	2	4	
1848	5	5	11	5	1	12	130	
1849	5	4	5	5	5	20	14	
1850	28	5	12	11	4	1	44	
1851	38	11	3	13	1	2	2	
1852	63	74	11	138	3	50	29	
1853	16	22	11	5	4	4	10	
1854	17	5	44	110	14	81	7	
1855	5	54	44	48	14	81	3	
1856	30	2	44	110	1	97	7	
1857	28	54	44	110	4	79	3	
1858	17	2	11	3	81	38	3	
1859	17	5	36	7	27	4	5	
1860	17	5	44	3	14	77	5	
1861	17	20	49	110	11	79	10	
1862	17	20	12	110	4	81	10	
1863	39	189	1	3	4	46	56	
1864	39	5	1	154	4	46	56	
1865	39	5	1	3	4	46	7	
1866	1	5	1	98	1	10	10	
1867	6	94	133	1	1	12	1	
1868	23	5	11	98	1	12	7	
1869	15	24	5	5	50	4	14	
1870	17	11	3	13	1	2	4	
1871	28	22	5	43	3	14	19	
1872	11	5	1	117	9	4	190	
1873	1	5	11	3	2	4	3	
1874	29	188	95	13	8	6	11	
1875	29	188	95	127	8	6	11	
1876	40	181	11	11	3	4	9	
1877	119	10	83	43	3	6	77	
1878	15	100	66	5	50	4	14	
1879	15	5	11	3	67	4	3	
1880	13	8	9	97	52	124	9	
1881	22	20	11	48	3	3	7	
1882	16	5	26	124	4	3	26	
1883	17	5	11	97	4	12	56	
1884	17	5	12	3	99	4	7	
1885	5	5	57	9	1	40	3	
1886	7	133	36	63	74	15	2	
1887	11	10	1	61	27	4	7	
1888	11	10	1	3	4	4	7	
1889	15	121	36	5	10	15	8	
1890	5	1	11	13	10	7	23	
1891	17	83	1	61	3	4	2	
1892	17	5	4	66	4	15	19	
1893	101	8	78	72	4	13	7	
1894	17	187	1	3	4	15	3	
1895	17	6	4	14	4	6	2	
1896	5	3	5	3	1	33	189	
1897	7	162	12	3	3	4	185	
1898	15	5	83	11	4	62	7	
1899	39	5	70	28	4	4	63	
1900	39	5	68	28	4	4	63	
1901	16	101	11	13	4	69	88	
1902	11	94	7	98	2	7	33	
1903	23	5	11	13	1	12	137	
1904	6	103	11	63	4	15	2	
1905	6	4	42	5	1	4	26	
1906	16	3	1	28	1	55	61	
1907	11	5	11	131	3	53	1	
1908	11	6	19	5	4	15	9	
1909	17	5	5	4	4	4	191	
1910	15	5	5	85	8	4	14	
1911	11	3	70	3	1	4	60	
1912	11	48	11	3	1	15	14	
1913	11	48	98	5	3	10	85	
1914	6	14	12	7	1	4	20	
1915	19	22	32	3	3	6	14	
1916	28	5	32	3	3	6	14	
1917	47	4	3	13	1	6	40	
1918	32	5	61	9	1	126	54	
1919	14	5	10	155	4	13	7	
1920	27	13	9	156	1	7	192	
1921	39	5	136	3	4	46	56	
1922	17	3	6	33	27	4	10	
1923	157	5	1	3	4	46	56	
1924	38	11	3	13	91	2	4	
1925	7	5	7	4	52	1	7	
1926	13	5	5	5	12	7	15	
1927	45	8	15	30	17	8	2	
1928	7	2	7	1	4	1	7	
1929	22	5	91	3	1	4	7	
1930	6	5	1	3	2	7	7	
1931	2	4	5	3	1	4	11	
1932	45	5	15	35	17	8	177	
1933	142	12	65	6	1	16	125	
1934	15	5	36	140	27	4	2	
1935	15	121	36	31	4	15	8	
1936	99	19	19	15	4	4	3	
1937	99	162	7	7	1	3	3	
1938	146	122	1	18	3	4	3	
1939	82	11	3	13	1	2	163	
1940	82	93	3	13	1	2	4	
1941	17	35	12	3	14	4	7	
1942	82	16	5	21	1	19	15	
1944	9	8	5	73	95	20	9	
1945	23	35	11	7	1	12	7	
1946	71	30	64	26	48	59	143	
1947	99	6	19	11	4	15	9	
1948	99	5	5	22	1	6	3	
1949	70	35	12	119	3	1	18	
1950	40	22	11	14	4	4	7	
1951	88	35	28	3	4	13	7	
1952	33	4	57	62	1	1	26	
1953	12	93	5	21	5	6	118	
1954	81	4	13	3	93	17	13	
1955	2	4	5	21	1	6	11	
1956	1	4	1	11	4	10	10	
1957	99	57	7	21	4	15	1	
1958	39	35	9	140	27	5	2	
1959	99	4	11	31	4	4	113	
1960	16	5	77	3	1	4	7	
1961	15	5	29	31	4	4	7	
1962	88	27	3	31	4	13	7	
1963	18	5	5	3	1	17	13	
1964	16	66	11	3	4	29	7	
1965	158	4	1	10	3	6	3	
1966	6	5	11	3	4	3	141	
1967	39	166	41	5	4	6	7	
1968	17	166	6	157	4	4	13	
1969	111	30	31	141	30	24	55	
1970	11	10	36	3	4	38	3	
1971	32	190	3	62	8	7	26	
1972	17	134	1	3	4	15	7	
1973	1	5	91	7	4	12	7	
1974	39	5	6	11	4	7	193	
1975	25	76	36	11	44	4	10	
1976	17	76	11	72	3	10	3	
1977	47	8	7	6	8	14	40	
1978	45	148	15	35	17	8	177	
1979	89	191	137	158	78	128	32	
1980	17	10	11	5	4	112	19	
1981	28	22	5	158	3	14	19	
1982	2	4	5	4	1	6	11	
1983	28	166	5	11	1	13	3	
1984	17	5	1	7	9	4	3	
1985	16	5	1	5	1	55	61	
1986	11	20	1	4	4	4	10	
1987	28	10	1	65	4	4	7	
1988	11	76	5	3	27	14	3	
1989	16	5	91	3	83	15	1	
1990	5	14	25	5	16	7	28	
1991	5	4	5	5	1	6	8	
1992	125	5	1	3	3	4	3	
1993	148	5	1	3	1	124	181	
1994	33	11	25	133	91	20	125	
1995	11	22	1	7	9	4	7	
1996	17	27	28	3	4	13	3	
1997	36	5	36	63	4	30	7	
1998	11	4	5	33	1	6	19	
1999	17	11	3	13	1	2	141	
2000	38	4	5	5	1	6	4	
2001	28	11	3	13	1	2	19	
2002	17	4	5	3	1	6	141	
2003	2	5	1	7	9	4	11	
2004	28	5	17	3	4	15	19	
2005	40	11	3	13	1	2	2	
2006	38	5	12	3	3	1	4	
2007	38	22	5	3	3	14	4	
2008	28	4	5	3	1	17	19	
2009	11	11	57	5	1	20	7	
2010	38	11	3	13	100	2	4	
2011	5	4	3	13	1	11	8	
2012	15	5	11	72	4	15	3	
2013	16	192	26	5	3	1	7	
2014	38	11	69	13	1	2	4	
2015	6	5	1	2	2	15	193	
2016	13	22	1	30	2	3	15	
2017	103	4	16	12	1	6	8	
2018	28	5	11	3	4	7	19	
2019	23	5	1	7	9	4	13	
2020	118	194	85	86	60	54	195	
2021	11	5	37	34	4	13	7	
2022	16	76	7	11	44	6	45	
2023	87	195	43	87	53	131	196	
2024	23	5	11	7	4	12	7	
2025	11	196	12	34	4	13	18	
2026	70	5	30	11	4	31	41	
2027	17	3	11	11	4	38	7	
2028	73	197	114	123	53	106	180	
2029	15	28	11	3	3	38	10	
2030	5	61	79	11	10	7	124	
2031	87	198	141	87	53	109	197	
2032	5	8	115	28	10	7	5	
2033	15	5	30	72	3	6	68	
2034	40	5	142	162	73	75	60	
2035	16	14	3	11	1	132	1	
2036	6	5	1	1	1	4	117	
2037	15	199	5	5	50	4	14	
2038	5	200	11	6	1	101	139	
2039	87	34	118	89	53	110	147	
2040	47	8	7	163	8	11	40	
2041	16	22	19	11	3	15	2	
2042	111	201	64	26	30	59	55	
2043	5	1	27	6	12	6	4	
2044	40	5	17	3	4	15	2	
2045	6	5	4	11	2	6	25	
2046	5	4	143	5	5	20	4	
2047	87	34	144	37	53	107	126	
2048	40	5	11	5	2	4	37	
2049	32	4	5	5	1	36	26	
2050	20	30	31	26	48	24	32	
2051	11	5	5	3	4	133	7	
2052	11	5	74	28	3	134	7	
2053	16	5	4	74	2	7	10	
2054	15	5	30	72	64	6	68	
2055	16	24	1	149	4	129	19	
2056	11	122	36	164	3	12	27	
2057	142	12	65	165	1	16	198	
2058	16	5	11	11	2	15	1	
2059	1	3	12	3	1	135	4	
2060	40	202	145	7	1	12	1	
2061	15	5	5	3	3	15	3	
2062	16	5	138	5	2	4	9	
2063	36	27	28	159	4	13	7	
2064	11	5	1	160	9	4	7	
2065	32	4	139	27	2	18	26	
2066	159	5	5	3	4	4	3	
2067	6	5	140	1	1	12	1	
2068	11	6	1	11	1	12	1	
2069	35	5	36	72	4	42	1	
2070	6	3	32	29	4	6	10	
2071	2	193	1	3	4	130	11	
2072	159	5	5	4	4	4	3	
2073	16	17	1	11	7	15	22	
2074	6	5	11	3	4	12	2	
2075	2	22	5	3	2	14	11	
2076	6	20	11	65	4	4	1	
2077	11	5	1	11	68	15	10	
2078	11	4	5	5	12	7	2	
2079	16	5	11	7	1	12	3	
2080	28	5	1	27	2	7	7	
2081	11	20	36	3	3	3	33	
2082	22	76	7	3	1	4	7	
2083	11	131	11	3	2	4	1	
2084	11	11	4	13	1	2	19	
2085	38	76	6	3	1	4	4	
2086	11	11	61	5	1	6	1	
2087	40	22	5	3	1	14	2	
2088	17	1	12	11	4	4	3	
2089	17	22	5	3	3	14	3	
2090	28	5	5	7	9	4	19	
2091	11	5	32	3	4	7	194	
2092	39	5	5	3	1	6	2	
2093	4	5	16	3	1	6	3	
2094	22	5	1	7	9	4	1	
2095	11	5	36	102	3	13	14	
2096	118	106	85	166	3	54	90	
2097	36	27	28	3	101	13	7	
2098	9	4	65	167	15	6	7	
2099	17	4	11	11	1	63	23	
2100	17	8	3	11	1	15	1	
2101	15	3	11	11	1	15	1	
2102	11	138	46	11	4	6	7	
2103	127	71	3	168	75	136	5	
2104	9	8	5	3	1	6	4	
2105	11	5	11	3	27	4	10	
2106	15	14	3	11	1	15	1	
2107	17	4	19	3	3	38	1	
2108	47	147	5	33	73	6	40	
2109	36	27	28	4	4	13	7	
2110	160	20	11	3	3	3	7	
2111	11	22	11	11	3	28	2	
2112	6	5	1	5	15	18	7	
2113	17	5	26	1	4	4	26	
2114	5	4	3	1	1	11	8	
2115	16	5	19	3	4	7	7	
2116	47	4	5	33	1	137	40	
2117	20	203	64	26	48	138	199	
2118	28	20	94	5	73	6	10	
2119	5	67	76	3	1	7	135	
2120	74	122	11	5	3	7	201	
2121	5	8	119	6	12	6	40	
2122	5	67	76	3	1	7	200	
2123	6	5	36	3	3	15	2	
2124	5	1	112	5	1	6	119	
2125	40	14	30	72	2	25	7	
2126	13	4	5	5	12	139	15	
2127	98	78	20	21	3	10	7	
2128	15	24	17	3	1	33	7	
2129	15	5	11	5	1	3	141	
2130	89	30	64	26	102	24	156	
2131	28	5	11	3	15	6	91	
2132	11	5	11	11	3	6	7	
2133	111	30	64	26	48	24	32	
2134	63	5	10	4	45	4	3	
2135	5	4	5	5	1	7	4	
2136	23	5	10	7	4	13	7	
2137	17	55	12	3	14	4	7	
2138	121	74	36	138	1	13	7	
2139	30	22	5	54	3	14	19	
2140	11	5	12	3	3	1	18	
2141	17	28	17	11	4	15	19	
2142	9	4	63	13	1	7	8	
2143	25	4	94	3	3	6	8	
2144	84	52	26	71	4	7	53	
2145	67	50	57	33	1	126	8	
2146	5	4	65	31	12	6	26	
2147	109	10	73	3	4	4	42	
2148	17	20	6	34	4	6	19	
2149	5	4	3	6	1	33	60	
2150	16	5	140	1	1	12	9	
2151	6	5	10	4	4	4	1	
2152	6	5	11	1	1	12	19	
2153	6	5	140	3	2	7	1	
2154	6	5	17	3	3	15	7	
2155	22	20	11	3	4	23	7	
2156	23	5	36	3	3	13	7	
2157	1	5	16	5	4	38	2	
2158	11	19	3	13	1	2	10	
2159	6	5	4	3	4	15	3	
2160	38	22	5	3	1	14	4	
2161	11	5	5	3	3	14	7	
2162	6	5	16	12	1	6	3	
2163	11	5	3	13	1	2	7	
2164	18	11	11	3	4	38	139	
2165	87	42	114	37	53	97	147	
2166	47	50	115	31	1	6	8	
2167	11	143	1	7	3	94	26	
2168	30	19	12	54	45	1	151	
2169	35	150	12	138	19	1	31	
2170	30	150	36	116	19	1	31	
2171	89	30	64	26	48	24	55	
2172	28	4	5	3	1	6	19	
2173	2	20	7	3	3	3	11	
2174	11	20	32	65	4	4	10	
2175	28	5	35	161	4	13	3	
2176	4	20	4	12	1	6	3	
2177	5	43	1	65	4	4	8	
2178	28	22	114	37	53	97	19	
2179	16	5	12	11	3	15	18	
2180	35	4	139	3	1	18	26	
2181	16	4	26	169	1	4	10	
2182	5	8	146	170	1	40	3	
2183	111	9	31	144	48	24	32	
2184	28	23	5	61	4	1	11	
2185	17	5	36	116	3	7	3	
2186	17	10	129	5	4	112	10	
2187	17	5	36	5	4	10	1	
2188	101	84	11	3	4	4	7	
2189	11	5	3	3	93	1	9	
2190	100	3	94	13	1	4	10	
2191	111	30	64	26	48	140	7	
2192	35	8	27	3	15	7	3	
2193	18	4	5	12	1	18	2	
2194	16	204	11	3	4	76	1	
2195	11	8	9	3	1	6	9	
2196	38	11	3	13	1	2	193	
2197	38	11	3	65	13	2	10	
2198	32	52	5	85	13	6	3	
2199	38	11	3	13	22	2	3	
2200	5	61	79	11	25	7	124	
2201	38	11	3	13	91	2	3	
2202	38	11	3	13	1	2	3	
2203	87	4	114	13	53	38	3	
2204	17	32	5	13	4	4	3	
2205	38	176	3	13	13	2	3	
2206	38	150	3	11	13	2	3	
2207	82	75	5	133	13	7	3	
2208	38	150	3	11	12	2	3	
2209	6	196	11	11	4	4	193	
2210	13	52	9	138	13	6	3	
2211	87	34	114	37	86	100	170	
2212	87	70	79	80	53	48	129	
2213	87	34	43	60	53	109	196	
2214	73	34	118	87	86	109	145	
2215	118	106	85	86	72	54	123	
2216	36	5	28	11	4	4	7	
2217	40	22	7	3	3	14	37	
2218	15	3	5	3	3	14	1	
2219	39	22	11	3	3	14	7	
2220	6	5	5	3	1	76	3	
2221	87	5	114	37	86	100	1	
2222	7	5	26	72	3	47	10	
2223	32	5	61	13	1	126	54	
2224	161	5	59	77	4	33	5	
2225	111	30	64	26	48	24	156	
2226	38	52	3	33	1	18	183	
2227	128	106	85	86	60	141	72	
2228	73	205	118	87	86	109	145	
2229	68	106	85	92	3	73	72	
2230	87	198	114	123	86	93	146	
2231	39	5	11	28	103	4	63	
2232	20	30	123	171	48	24	32	
2233	38	11	3	172	1	2	4	
2234	28	206	11	3	4	6	1	
2235	6	5	1	13	3	4	10	
2236	9	52	5	67	95	20	9	
2237	82	39	119	13	13	2	4	
2238	6	10	1	3	27	4	7	
2239	6	75	6	10	3	6	3	
2240	6	76	5	138	61	14	3	
2241	11	5	36	3	3	1	1	
2242	5	146	79	20	1	7	24	
2243	13	52	3	3	1	17	15	
2244	13	52	9	10	1	17	15	
2245	13	17	9	3	1	17	15	
2246	13	75	5	10	12	7	15	
2247	13	52	9	21	1	17	3	
2248	13	5	9	3	1	33	1	
2249	19	5	36	36	2	12	2	
2250	4	75	16	10	1	6	3	
2251	4	75	16	10	14	6	3	
2252	11	144	11	5	60	4	7	
2253	17	28	12	3	14	4	7	
2254	28	5	11	11	4	75	60	
2255	17	4	11	72	3	10	3	
2256	28	5	36	3	3	13	190	
2257	22	5	11	3	3	3	7	
2258	36	4	28	3	4	13	7	
2259	4	13	16	12	1	6	3	
2260	5	5	109	5	1	1	47	
2261	11	27	20	5	4	4	52	
2262	36	20	28	3	4	13	7	
2263	47	52	7	6	8	11	40	
2264	39	5	12	11	3	15	2	
2265	11	11	1	7	9	4	7	
2266	17	20	12	3	14	4	7	
2267	39	80	9	11	3	3	2	
2268	13	52	9	72	1	6	9	
2269	28	5	12	3	3	13	7	
2270	108	5	7	11	3	6	7	
2271	92	5	7	21	4	4	2	
2272	28	5	7	21	4	49	7	
2273	6	5	7	116	3	10	14	
2274	28	5	12	21	4	15	10	
2275	92	5	6	21	4	10	10	
2276	16	28	6	21	4	10	10	
2277	16	78	83	21	4	4	1	
2278	37	27	28	3	4	15	7	
2279	6	5	7	3	3	10	14	
2280	16	27	11	21	4	38	7	
2281	11	5	36	3	3	12	1	
2282	6	5	12	3	3	12	1	
2283	7	5	12	3	14	4	7	
2284	41	5	11	28	1	20	7	
2285	5	75	5	21	5	20	4	
2286	1	5	1	173	4	10	10	
2287	11	5	6	7	9	4	7	
2288	6	5	6	8	9	4	7	
2289	11	5	6	8	9	4	7	
2290	32	52	5	3	5	18	26	
2291	25	20	7	3	3	3	7	
2292	92	20	7	3	3	3	7	
2293	81	75	13	3	1	17	13	
2294	28	5	58	21	4	15	44	
2295	17	5	26	3	4	6	8	
2296	87	5	43	60	53	108	44	
2297	4	4	16	21	1	6	3	
2298	87	138	43	60	53	108	10	
2299	13	75	5	21	12	7	15	
2300	37	5	29	3	4	10	7	
2301	39	5	6	3	4	46	56	
2302	28	5	6	3	4	15	7	
2303	28	5	65	21	4	15	44	
2304	11	5	148	11	3	6	27	
2305	16	5	6	2	3	4	184	
2306	6	5	83	2	4	6	7	
2307	17	5	36	7	27	4	7	
2308	5	5	65	9	1	74	3	
2309	6	5	5	3	4	15	7	
2310	5	5	65	5	1	74	3	
2311	11	20	6	65	4	4	10	
2312	16	22	5	21	4	18	10	
2313	6	5	7	8	4	1	9	
2314	6	5	6	8	4	6	7	
2315	6	5	6	8	4	18	7	
2316	6	5	5	2	4	4	1	
2317	11	136	5	11	1	15	8	
2318	28	5	5	3	4	4	3	
2319	17	5	91	3	4	15	20	
2320	28	209	3	28	1	20	5	
2321	39	5	9	21	27	5	2	
2322	13	208	9	3	1	6	7	
2323	16	52	11	3	59	15	10	
2324	16	52	7	85	59	15	10	
2325	13	208	9	3	1	6	9	
2326	47	4	5	33	1	6	202	
2327	87	207	43	174	53	107	203	
2328	17	5	12	175	14	4	204	
2329	134	8	57	27	1	6	3	
2330	6	5	11	3	4	92	3	
2331	28	5	11	176	4	75	205	
2332	15	5	91	11	3	4	2	
2333	40	5	11	5	1	90	26	
2334	38	3	3	11	1	15	4	
2335	9	4	11	3	8	7	8	
2336	6	3	1	3	2	13	1	
2337	30	202	11	4	4	4	7	
2338	16	5	1	54	58	7	19	
2339	11	5	11	5	1	6	2	
2340	9	131	5	6	12	17	8	
2341	16	5	1	3	58	7	19	
2342	17	5	5	4	4	4	26	
2343	9	131	5	6	1	17	8	
2344	6	5	30	3	4	142	1	
2345	163	6	11	5	3	6	1	
2346	15	5	36	11	27	4	206	
2347	11	5	1	7	9	143	7	
2348	6	5	26	3	4	10	3	
2349	36	27	28	3	4	13	207	
2350	6	5	5	3	1	5	15	
2351	6	3	6	5	2	4	9	
2352	39	162	12	11	3	15	2	
2353	6	5	11	7	4	1	2	
2354	11	5	12	3	11	1	18	
2355	38	11	3	21	1	2	4	
2356	13	4	5	3	12	7	15	
2357	1	5	1	11	3	15	10	
2358	6	5	58	10	3	4	37	
2359	4	4	5	12	3	14	3	
2360	6	5	1	11	3	15	7	
2361	15	4	16	12	50	4	47	
2362	6	5	1	29	92	4	68	
2363	6	5	11	11	4	4	1	
2364	5	5	20	5	1	4	25	
2365	11	5	9	11	27	5	2	
2366	28	5	6	11	4	4	7	
2367	15	5	1	63	4	15	10	
2368	11	5	11	3	4	6	37	
2369	2	4	5	5	1	6	11	
2370	125	5	11	61	1	12	7	
2371	17	5	7	3	4	4	7	
2372	125	5	11	7	73	12	7	
2373	125	5	11	7	1	5	7	
2374	17	5	26	3	4	4	7	
2375	28	5	11	2	4	38	9	
2376	36	27	28	3	52	13	7	
2377	4	1	59	6	1	33	42	
2378	17	5	11	7	1	12	7	
2379	11	5	6	61	3	7	37	
