ST	ace	gltB	gmhD	lepA	lipA	narK	ndh	clonal_complex
1608	1	1	14	4	180	2	1	
1609	1	4	23	2	1	24	1	
1610	1	1	6	4	1	9	1	
1611	1	2	23	18	6	12	1	
1612	1	2	3	4	1	22	1	
1613	1	28	3	4	5	131	1	
1614	1	2	3	2	15	8	1	
1615	1	15	3	120	6	22	1	
1616	1	16	3	2	1	12	1	
1617	1	22	3	4	17	6	11	
1618	8	4	14	2	3	6	11	
1619	1	6	13	2	1	27	1	
1620	15	4	13	1	1	19	1	
1621	1	7	6	14	1	22	2	
1622	1	16	136	4	1	22	1	
1623	2	2	137	2	2	6	2	
1624	8	15	13	121	1	6	1	
1625	4	16	3	4	1	2	1	
1626	21	6	13	2	1	27	86	
1627	1	15	13	4	5	12	1	
1628	1	4	3	1	42	22	1	
1629	1	32	13	4	3	19	1	
1630	1	12	10	2	1	1	3	
1631	1	12	10	4	1	1	3	
1632	1	2	10	4	1	2	3	
1633	1	2	6	2	20	2	3	
1634	1	2	3	2	20	42	3	
1635	4	2	6	4	1	1	3	
1636	4	2	10	1	1	3	1	
1637	4	4	10	2	5	2	1	
1638	4	12	10	2	1	2	1	
1639	1	12	6	4	20	2	3	
1640	4	2	3	4	1	42	3	
1641	4	172	3	2	1	1	1	
1642	4	2	13	2	1	132	1	
1643	1	12	6	4	1	8	87	
1644	3	4	2	4	5	4	1	
1645	4	12	6	1	1	1	3	
1646	1	2	2	2	1	16	1	
1647	1	1	3	1	1	3	3	
1648	1	4	2	3	8	133	3	
1649	1	2	15	2	5	3	1	
1650	4	12	14	1	1	19	1	
1651	1	7	6	4	15	9	13	
1652	1	15	13	31	15	6	1	
1653	1	15	13	2	6	19	13	
1654	1	23	3	27	2	26	1	
1655	1	1	3	4	8	12	27	
1656	1	2	14	21	15	6	11	
1657	1	2	3	1	15	19	1	
1658	1	2	14	4	42	6	88	
1659	1	4	14	2	1	3	89	
1660	1	7	14	7	1	134	11	
1661	1	2	6	4	15	35	1	
1662	1	6	44	28	1	2	1	
1663	8	2	13	1	18	8	1	
1664	1	4	3	4	1	2	1	
1665	1	4	3	2	16	135	1	
1666	1	23	14	4	1	2	1	
1667	1	2	13	122	1	8	1	
1668	1	2	26	19	181	2	1	
1669	1	1	3	4	15	22	13	
1670	1	1	3	4	182	2	1	
1671	1	19	3	2	1	6	1	
1672	1	2	6	19	1	2	1	
1673	1	7	6	4	15	22	13	
1674	1	1	3	4	15	22	1	
1675	1	7	13	21	29	2	13	
1676	1	2	13	1	1	29	1	
1677	5	5	9	5	7	7	14	
1678	103	5	9	5	7	7	14	
1679	5	5	9	5	7	20	14	
1680	5	5	9	5	7	138	5	
1681	5	5	9	123	7	138	5	
1682	6	5	9	5	7	137	14	
1683	6	5	9	5	183	136	14	
1684	1	4	13	2	8	1	1	
1685	1	4	3	2	29	2	3	
1686	4	2	3	4	1	1	3	
1687	4	12	6	3	1	2	11	
1688	1	12	3	4	1	1	3	
1689	4	4	14	4	1	1	3	
1690	4	12	6	1	1	2	3	
1691	4	2	6	2	1	2	3	
1692	1	4	3	2	1	1	3	
1693	1	12	2	2	1	1	3	
1694	4	4	6	4	5	8	3	
1695	4	12	14	4	1	1	1	
1696	4	12	6	4	5	2	3	
1697	104	27	42	2	1	3	1	
1698	1	2	3	2	5	2	7	
1699	1	2	3	4	1	9	15	
1700	1	2	139	4	1	12	1	
1701	1	1	13	1	6	6	1	
1702	105	1	2	2	5	1	1	
1703	1	1	2	32	5	139	1	
1704	1	2	13	4	1	9	13	
1705	1	6	14	4	3	2	1	
1706	1	7	26	19	1	2	1	
1707	1	2	3	2	1	38	11	
1708	1	1	6	2	1	2	1	
1709	8	2	3	2	3	6	11	
1710	1	4	13	2	2	8	1	
1711	8	4	13	2	1	2	1	
1712	1	2	13	2	2	1	11	
1713	1	2	13	2	6	22	11	
1714	1	1	2	1	1	1	90	
1715	1	32	3	22	18	21	1	
1716	8	2	23	4	1	6	11	
1717	1	1	13	4	1	6	11	
1718	4	37	13	4	15	2	11	
1719	1	12	6	1	1	1	11	
1720	1	1	3	2	5	2	1	
1721	3	2	2	3	5	2	3	
1722	4	2	3	1	1	2	3	
1723	1	4	49	1	1	2	1	
1724	1	1	3	1	8	2	1	
1725	1	2	3	2	3	3	3	
1726	1	10	6	2	1	2	1	
1727	1	12	13	2	1	1	3	
1728	1	12	6	1	10	4	1	
1729	1	12	6	1	9	4	1	
1730	4	1	3	2	1	1	1	
1731	3	4	11	4	8	4	6	
1732	3	12	11	3	5	4	1	
1733	1	4	2	3	1	2	3	
1734	3	1	3	3	5	2	1	
1735	1	12	2	3	8	4	3	
1736	3	12	2	3	8	4	3	
1737	3	1	2	4	1	4	1	
1738	1	1	2	1	1	3	3	
1739	1	1	3	1	1	29	1	
1740	1	1	140	1	6	1	18	
1741	1	1	13	2	5	1	1	
1742	3	1	3	3	5	4	6	
1743	1	3	4	3	8	4	3	
1744	3	2	2	3	1	2	1	
1745	3	1	11	4	1	4	6	
1746	3	4	11	4	5	2	6	
1747	3	1	141	3	1	4	3	
1748	1	1	2	1	6	1	91	
1749	1	1	2	2	6	1	1	
1750	1	29	3	27	2	6	1	
1751	1	15	3	4	15	2	6	
1752	1	12	6	3	1	4	1	
1753	1	4	3	4	8	2	1	
1754	1	1	13	2	20	6	1	
1755	1	1	22	19	8	21	1	
1756	1	15	3	2	1	2	1	
1757	1	1	3	2	4	19	1	
1758	1	15	3	4	1	6	1	
1759	1	12	6	4	1	19	1	
1760	1	1	3	18	1	12	1	
1761	1	1	13	36	1	38	11	
1762	1	4	31	2	1	22	1	
1763	1	18	13	14	1	22	1	
1764	3	12	11	3	5	19	6	
1765	4	2	10	4	1	21	1	
1766	4	12	10	4	5	2	1	
1767	12	4	6	2	8	8	1	
1768	12	4	3	1	1	19	1	
1769	12	4	13	2	1	3	1	
1770	18	12	6	2	1	1	1	
1771	22	4	14	2	6	12	1	
1772	106	5	9	11	14	20	14	
1773	24	53	45	37	50	66	35	
1774	1	1	2	3	5	22	1	
1775	1	1	2	3	8	22	3	
1776	1	2	6	2	1	2	1	
1777	3	1	3	2	5	2	1	
1778	1	2	14	25	1	2	1	
1779	1	7	14	31	15	6	1	
1780	1	23	13	21	1	9	1	
1781	1	2	3	2	35	50	1	
1782	1	1	2	1	5	4	6	
1783	1	1	2	3	1	3	1	
1784	1	1	2	3	6	30	1	
1785	6	175	9	11	14	20	14	
1786	1	1	3	1	1	2	1	
1787	1	4	3	1	1	22	3	
1788	1	2	2	17	184	4	1	
1789	1	1	3	2	5	4	1	
1790	1	1	3	2	6	1	1	
1791	1	1	3	2	6	3	1	
1792	3	1	2	3	5	4	1	
1793	1	1	3	3	1	22	1	
1794	1	1	3	3	5	1	1	
1795	1	1	3	3	6	3	1	
1796	1	1	3	4	5	2	3	
1797	1	1	3	17	1	1	1	
1798	1	1	4	1	5	1	1	
1799	1	1	4	2	1	4	6	
1800	1	1	4	3	1	2	1	
1801	1	12	13	1	1	4	1	
1802	1	1	4	3	6	3	1	
1803	1	3	2	2	5	1	1	
1804	1	1	6	2	5	2	1	
1805	1	1	6	3	6	3	1	
1806	1	1	10	1	1	4	3	
1807	1	1	11	1	1	1	1	
1808	1	1	12	1	1	2	1	
1809	1	1	13	1	1	4	3	
1810	1	1	19	1	5	4	3	
1811	1	1	28	2	1	3	1	
1812	1	2	2	1	1	1	3	
1813	1	2	2	2	1	10	1	
1814	1	2	2	3	1	3	1	
1815	3	4	3	4	1	1	1	
1816	1	12	13	1	1	2	92	
1817	1	2	3	1	1	29	1	
1818	1	2	3	1	1	30	1	
1819	1	2	4	3	1	3	1	
1820	3	1	12	1	1	4	1	
1821	1	2	4	3	6	30	1	
1822	1	2	11	1	1	3	1	
1823	1	2	11	3	5	4	6	
1824	1	1	3	4	1	9	1	
1825	1	2	13	1	1	22	1	
1826	1	2	14	1	1	3	1	
1827	1	2	14	2	1	2	1	
1828	9	2	14	2	1	12	1	
1829	1	2	28	2	1	3	1	
1830	1	4	142	4	5	2	1	
1831	4	2	3	1	1	2	1	
1832	1	4	3	1	1	10	1	
1833	1	4	3	3	1	4	1	
1834	1	4	3	4	5	22	1	
1835	1	4	4	1	1	3	1	
1836	1	4	11	1	1	3	1	
1837	1	4	11	1	1	1	1	
1838	1	4	11	3	8	2	1	
1839	1	4	13	1	1	4	6	
1840	1	4	13	1	6	3	3	
1841	1	12	2	2	1	2	1	
1842	1	12	3	2	1	42	3	
1843	3	1	2	1	1	1	1	
1844	3	1	3	3	5	4	1	
1845	3	2	3	3	5	1	1	
1846	3	2	4	1	1	4	1	
1847	3	2	11	1	1	22	1	
1848	3	2	11	1	5	4	6	
1849	3	2	11	3	5	4	1	
1850	1	2	3	3	1	140	1	
1851	3	174	11	1	1	3	1	
1852	1	2	3	3	6	3	1	
1853	107	1	6	2	1	2	1	
1854	3	2	11	3	5	30	1	
1855	3	4	2	1	5	3	6	
1856	3	4	2	2	5	4	6	
1857	3	4	2	3	5	3	1	
1858	3	4	3	3	1	4	1	
1859	3	4	12	1	1	2	1	
1860	3	4	28	2	1	4	1	
1861	4	1	3	2	1	29	1	
1862	4	16	13	18	1	8	1	
1863	1	2	13	4	3	2	11	
1864	1	1	143	3	1	3	1	
1865	1	7	3	4	1	9	1	
1866	1	1	11	4	5	22	6	
1867	1	1	144	1	6	4	1	
1868	3	4	145	3	5	4	6	
1869	3	2	13	17	6	4	1	
1870	1	2	3	4	2	12	1	
1871	3	1	5	124	1	4	1	
1872	1	1	146	1	5	1	1	
1873	1	2	14	4	1	12	83	
1874	3	12	11	3	5	142	6	
1875	1	2	3	2	5	141	1	
1876	1	1	140	2	6	1	1	
1877	1	2	14	4	1	12	1	
1878	1	1	13	1	5	6	1	
1879	1	1	13	1	185	6	1	
1880	1	12	6	2	1	60	3	
1881	1	1	10	3	1	1	3	
1882	1	12	6	2	5	8	3	
1883	1	2	3	2	1	60	1	
1884	1	2	6	4	1	2	3	
1885	1	4	3	2	1	61	1	
1886	1	12	6	2	1	1	57	
1887	4	4	13	4	1	2	1	
1888	4	4	10	2	1	42	1	
1889	1	4	3	4	1	1	1	
1890	4	12	6	19	1	2	1	
1891	1	4	3	1	1	2	3	
1892	4	6	6	2	1	1	3	
1893	4	2	6	2	1	2	1	
1894	1	2	6	2	20	8	3	
1895	4	2	3	4	20	2	3	
1896	4	1	11	1	1	3	1	
1897	4	2	13	1	3	6	1	
1898	1	12	6	4	1	8	3	
1899	1	4	3	4	8	22	1	
1900	4	2	13	2	1	2	1	
1901	3	1	2	3	1	4	93	
1902	1	1	3	3	1	1	3	
1903	3	1	2	1	186	4	3	
1904	3	1	11	1	1	143	1	
1905	1	1	28	1	5	4	3	
1906	4	15	14	4	35	22	1	
1907	1	1	36	3	5	2	3	
1908	1	1	3	4	1	6	1	
1909	1	39	14	4	5	2	1	
1910	1	2	3	4	15	8	1	
1911	1	12	3	1	5	22	3	
1912	1	12	3	2	1	4	1	
1913	3	1	3	1	1	4	3	
1914	1	1	10	2	5	2	3	
1915	4	1	3	3	1	19	3	
1916	3	1	36	3	5	2	1	
1917	3	2	3	3	1	4	1	
1918	3	2	3	4	5	1	1	
1919	3	4	2	1	1	4	11	
1920	3	4	11	3	1	4	1	
1921	4	1	3	3	1	1	3	
1922	6	174	16	8	10	14	8	
1923	1	12	6	1	5	1	1	
1924	3	12	6	1	5	2	1	
1925	4	26	3	2	1	22	1	
1926	1	12	6	4	1	4	1	
1927	1	4	14	4	1	1	1	
1928	4	4	3	4	3	2	20	
1929	1	2	6	46	1	2	57	
1930	1	12	14	4	1	1	3	
1931	1	2	6	4	3	1	1	
1932	1	7	6	14	15	2	89	
1933	1	4	3	2	1	1	87	
1934	4	4	10	2	1	42	11	
1935	1	6	6	21	15	9	1	
1936	1	2	3	18	15	22	11	
1937	56	61	62	49	114	68	48	
1938	1	3	47	4	1	8	1	
1939	1	6	3	14	8	6	11	
1940	1	6	13	2	1	2	11	
1941	1	4	3	2	1	132	1	
1942	1	12	28	2	1	2	1	
1943	18	12	3	1	1	2	1	
1944	4	3	6	2	1	1	1	
1945	4	4	3	4	1	1	1	
1946	9	2	22	2	18	26	1	
1947	10	2	3	2	8	26	1	
1948	12	2	27	4	2	6	1	
1949	8	15	13	4	1	8	1	
1950	8	4	3	18	1	6	11	
1951	8	2	24	1	2	6	11	
1952	1	2	6	4	8	6	1	
1953	1	15	3	12	1	21	1	
1954	1	1	3	4	1	9	11	
1955	1	23	3	27	6	26	1	
1956	1	15	3	4	15	22	1	
1957	1	16	3	2	1	12	11	
1958	8	23	23	2	3	8	13	
1959	1	4	13	4	8	19	1	
1960	1	2	13	31	15	2	25	
1961	1	29	47	4	1	57	1	
1962	1	2	3	4	5	2	1	
1963	1	1	14	4	16	6	11	
1964	1	1	23	19	17	38	1	
1965	1	1	3	4	1	22	27	
1966	1	1	13	4	6	47	11	
1967	1	2	6	4	20	2	11	
1968	1	4	44	4	1	2	1	
1969	15	2	24	2	6	35	11	
1970	1	2	3	1	5	141	1	
1971	1	4	13	4	15	26	1	
1972	1	1	13	4	15	2	1	
1973	1	4	13	4	1	26	1	
1974	1	6	42	4	1	22	1	
1975	1	4	13	14	8	12	2	
1976	1	23	14	2	1	8	1	
1977	1	23	3	28	15	12	1	
1978	1	157	3	2	5	27	1	
1979	1	6	6	4	15	9	1	
1980	1	4	3	4	15	12	1	
1981	1	4	24	2	1	144	11	
1982	14	4	3	2	19	145	13	
1983	1	2	13	2	20	146	1	
1984	4	2	23	2	1	19	1	
1985	4	23	13	4	1	2	1	
1986	1	2	3	4	2	8	1	
1987	1	4	14	2	15	147	1	
1988	4	23	14	2	1	22	1	
1989	1	2	14	4	1	148	1	
1990	3	1	3	4	5	4	6	
1991	3	1	28	1	1	3	3	
1992	3	1	2	1	1	2	3	
1993	1	12	2	1	3	29	3	
1994	1	12	6	2	5	48	1	
1995	8	2	3	34	1	19	1	
1996	3	1	3	2	1	2	1	
1997	8	7	3	4	1	12	89	
1998	8	2	14	4	3	19	11	
1999	21	1	14	4	1	2	11	
2000	12	2	23	2	1	12	1	
2001	3	3	3	2	1	2	1	
2002	3	4	17	3	5	4	6	
2003	3	1	3	3	1	150	1	
2004	13	2	13	2	8	27	1	
2005	1	23	13	2	6	21	15	
2006	1	2	13	31	1	2	1	
2007	1	32	3	4	18	21	1	
2008	1	15	13	2	3	9	1	
2009	1	7	3	21	1	9	1	
2010	1	2	13	19	1	12	1	
2011	1	7	3	2	15	2	1	
2012	4	2	14	4	1	12	1	
2013	1	7	3	2	1	24	1	
2014	1	6	3	4	1	3	1	
2015	8	7	14	4	15	9	83	
2016	1	2	31	2	3	22	11	
2017	1	2	31	2	3	6	11	
2018	24	43	45	37	50	70	35	
2019	6	5	9	5	14	20	14	
2020	1	1	6	2	5	42	1	
2021	4	2	147	2	15	6	1	
2022	1	4	14	2	1	132	1	
2023	1	1	19	4	1	2	3	
2024	1	1	3	1	5	152	1	
2025	1	12	3	1	1	1	1	
2026	1	1	10	1	5	149	1	
2027	1	4	133	4	1	9	13	
2028	1	1	13	4	6	3	1	
2029	1	6	3	4	3	12	1	
2030	4	12	3	4	1	2	1	
2031	1	4	53	1	1	132	1	
2032	4	2	6	4	1	1	1	
2033	4	4	2	4	1	1	1	
2034	1	1	11	3	5	4	6	
2035	4	2	6	2	1	1	11	
2036	3	1	4	2	1	29	1	
2037	1	12	4	2	1	2	1	
2038	4	12	10	4	1	8	1	
2039	4	2	10	4	1	1	1	
2040	3	1	11	3	6	22	1	
2041	3	1	11	3	1	22	1	
2042	1	1	3	1	5	1	1	
2043	1	1	13	3	1	12	1	
2044	3	2	3	1	1	1	3	
2045	9	2	3	4	6	8	1	
2046	1	4	3	2	2	1	4	
2047	1	1	3	3	8	2	1	
2048	1	2	6	3	5	2	1	
2049	15	2	3	2	15	6	1	
2050	1	2	31	2	1	2	11	
2051	1	15	13	31	1	2	1	
2052	1	15	3	2	5	154	1	
2053	8	4	13	2	18	155	1	
2054	8	2	13	4	188	153	11	
2055	3	4	2	3	1	4	6	
2056	1	3	13	1	1	4	1	
2057	1	12	3	2	4	1	1	
2058	1	1	13	2	6	2	3	
2059	4	4	2	1	8	2	1	
2060	1	4	2	1	1	2	1	
2061	3	2	3	1	1	22	1	
2062	108	1	2	3	1	2	1	
2063	5	5	148	5	7	7	14	
2064	1	4	12	1	6	4	1	
2065	1	2	3	2	1	4	3	
2066	4	1	11	2	1	1	1	
2067	1	1	13	2	6	1	3	
2068	1	16	3	1	1	38	1	
2069	1	3	13	4	1	156	1	
2070	1	1	3	2	1	2	11	
2071	12	2	13	2	1	3	11	
2072	1	4	3	4	1	22	1	
2073	1	4	3	2	2	8	1	
2074	1	6	27	4	26	12	1	
2075	1	2	47	2	8	61	1	
2076	1	4	24	2	2	6	1	
2077	1	15	13	2	1	21	1	
2078	12	6	13	2	1	3	11	
2079	8	2	13	2	1	8	11	
2080	1	6	6	2	189	124	11	
2081	1	4	49	1	3	2	1	
2082	1	4	6	9	85	7	92	
2083	1	1	9	9	94	7	92	
2084	26	1	2	9	44	7	3	
2085	2	1	2	9	95	7	92	
2086	2	96	2	9	94	56	3	
2087	12	4	27	4	1	141	1	
2088	8	2	13	125	1	21	94	
2089	15	28	13	2	15	6	1	
2090	2	4	3	14	2	6	1	
2091	12	15	3	4	15	12	1	
2092	1	4	25	4	15	2	1	
2093	1	4	23	36	8	44	1	
2094	1	178	14	2	1	22	4	
2095	1	6	3	2	1	6	4	
2096	1	37	3	2	1	2	11	
2097	1	2	25	4	6	19	1	
2098	1	2	13	2	1	2	1	
2099	1	2	27	126	6	19	11	
2100	1	2	13	14	190	38	1	
2101	1	4	2	1	1	2	3	
2102	1	177	13	4	6	12	11	
2103	1	2	13	2	3	6	2	
2104	4	2	13	4	1	6	1	
2105	1	2	23	19	6	22	11	
2106	3	4	4	3	1	9	1	
2107	15	2	22	36	6	9	11	
2108	1	12	6	2	20	2	3	
2109	1	15	3	4	15	12	1	
2110	1	1	22	2	6	2	1	
2111	1	2	13	14	191	45	1	
2112	1	4	3	2	5	19	1	
2113	1	4	13	2	20	19	7	
2114	1	1	3	2	18	2	11	
2115	1	4	3	2	3	19	1	
2116	8	15	3	19	1	8	1	
2117	1	2	3	2	1	8	1	
2118	8	29	22	2	18	22	1	
2119	1	12	6	2	6	38	1	
2120	1	28	6	4	1	3	94	
2121	1	16	3	2	15	12	1	
2122	12	2	6	2	1	2	4	
2123	1	2	13	1	20	23	11	
2124	1	2	3	2	1	157	11	
2125	1	2	6	2	192	6	26	
2126	1	2	24	2	2	6	1	
2127	8	48	3	4	194	2	1	
2128	1	16	3	4	15	9	1	
2129	1	2	13	2	193	27	1	
2130	8	4	24	2	1	6	11	
2131	1	2	3	22	6	158	11	
2132	1	15	3	2	15	12	1	
2133	4	4	3	2	1	26	1	
2134	1	32	149	22	1	38	1	
2135	8	4	13	2	8	8	11	
2136	1	4	3	2	2	5	1	
2137	1	4	13	2	8	8	11	
2138	1	32	3	22	1	38	1	
2139	8	40	13	4	8	19	95	
2140	1	2	23	2	15	45	1	
2141	1	4	13	2	2	2	1	
2142	1	4	3	2	20	19	7	
2143	8	4	133	2	1	6	11	
2144	15	2	13	2	1	2	11	
2145	1	4	133	4	8	9	1	
2146	1	2	13	2	8	33	1	
2147	1	4	133	2	1	6	11	
2148	1	4	3	2	3	22	11	
2149	1	4	6	1	1	22	1	
2150	1	4	13	1	8	8	11	
2151	8	12	13	2	6	27	11	
2152	109	2	13	2	1	27	11	
2153	15	1	23	2	4	6	1	
2154	1	4	13	2	1	6	11	
2155	1	15	3	4	6	19	96	
2156	1	4	13	2	1	6	1	
2157	1	4	27	4	2	19	6	
2158	1	4	150	14	3	9	1	
2159	1	18	3	4	1	159	1	
2160	1	179	3	2	5	19	1	
2161	1	2	13	4	1	9	1	
2162	8	1	22	14	1	160	11	
2163	12	3	3	2	1	9	1	
2164	23	2	6	2	6	6	4	
2165	1	2	25	4	1	8	1	
2166	1	4	13	2	1	12	1	
2167	1	2	3	2	15	6	1	
2168	1	2	23	18	1	12	1	
2169	1	15	13	2	3	19	1	
2170	8	15	13	2	3	12	15	
2171	1	4	3	4	15	22	1	
2172	1	6	13	4	1	12	11	
2173	1	1	3	2	187	19	11	
2174	1	176	14	4	15	2	11	
2175	1	23	13	2	3	146	1	
2176	8	4	13	2	6	6	11	
2177	1	2	3	4	1	12	11	
2178	1	2	22	22	3	19	11	
2179	1	2	6	2	1	6	4	
2180	8	15	13	21	1	151	1	
2181	8	15	13	18	1	21	1	
2182	1	4	13	2	2	19	11	
2183	1	23	13	4	1	2	1	
2184	1	15	3	2	6	50	1	
2185	1	2	3	2	6	6	4	
2186	1	20	22	2	5	2	1	
2187	1	15	13	19	1	6	1	
2188	1	39	3	4	15	2	1	
2189	1	7	3	19	15	2	1	
2190	1	4	13	4	1	22	1	
2191	1	4	3	2	5	2	1	
2192	4	6	13	4	1	12	97	
2193	12	32	3	2	5	6	11	
2194	1	2	3	2	15	2	1	
2195	1	180	3	2	15	27	11	
2196	1	4	3	2	15	8	1	
2197	1	2	3	1	187	22	1	
2198	1	6	13	4	15	22	1	
2199	1	23	14	4	1	12	1	
2200	1	4	3	2	6	12	1	
2201	22	4	14	2	15	8	1	
2202	1	4	3	22	1	22	1	
2203	1	1	3	2	30	2	1	
2204	12	1	13	1	1	2	1	
2205	1	6	6	4	195	6	1	
2206	4	6	14	2	15	2	1	
2207	1	4	3	4	1	6	1	
2208	23	3	27	36	8	8	1	
2209	1	2	13	4	5	12	1	
2210	4	2	2	2	1	4	1	
2211	1	18	7	2	5	6	1	
2212	4	2	3	1	1	4	1	
2213	3	4	11	3	5	22	6	
2214	1	4	3	3	1	4	3	
2215	3	1	6	1	1	19	1	
2216	1	4	13	2	5	4	1	
2217	1	2	37	1	1	1	1	
2218	1	4	2	3	1	2	1	
2219	3	4	11	1	1	4	6	
2220	1	2	2	2	1	4	1	
2221	1	2	3	2	41	9	1	
2222	1	12	6	2	1	2	57	
2223	1	5	14	2	5	2	1	
2224	1	2	6	4	25	2	57	
2225	1	1	2	3	5	4	3	
2226	1	1	13	1	1	6	1	
2227	1	2	13	2	3	3	1	
2228	8	2	13	4	18	38	15	
2229	1	4	3	2	15	161	1	
2230	12	2	3	2	21	38	98	
2231	8	4	24	2	1	162	11	
2232	1	4	13	2	2	163	1	
2233	1	181	3	2	1	12	11	
2234	1	1	2	127	5	1	1	
2235	1	2	14	2	1	168	13	
2236	1	15	13	2	5	2	1	
2237	1	2	3	4	5	6	1	
2238	1	4	13	2	1	24	1	
2239	1	15	22	14	1	2	1	
2240	1	2	14	2	1	22	13	
2241	1	1	3	4	5	3	1	
2242	1	12	27	4	26	12	13	
2243	1	2	3	22	8	6	1	
2244	15	4	3	126	15	6	1	
2245	1	12	3	2	1	19	11	
2246	1	1	3	2	15	22	1	
2247	8	15	13	2	8	27	11	
2248	8	1	6	2	196	19	1	
2249	15	2	3	2	6	38	1	
2250	1	4	6	2	15	3	1	
2251	1	2	13	2	8	44	1	
2252	15	39	13	4	5	3	11	
2253	1	1	14	2	1	12	1	
2254	1	1	3	1	1	29	3	
2255	12	2	13	126	1	6	1	
2256	1	2	6	4	8	6	56	
2257	4	1	3	1	5	1	1	
2258	1	39	13	2	5	35	11	
2259	1	4	3	46	191	6	1	
2260	1	6	3	19	1	3	1	
2261	1	4	14	39	1	8	1	
2262	4	20	2	2	5	2	1	
2263	1	4	14	2	1	8	11	
2264	1	12	3	4	18	171	1	
2265	4	3	2	1	8	2	1	
2266	1	1	24	4	1	6	1	
2267	1	1	10	2	5	169	39	
2268	1	1	7	1	6	169	1	
2269	1	2	3	39	6	19	1	
2270	1	1	10	2	6	1	2	
2271	1	2	3	4	3	6	4	
2272	1	4	13	4	1	1	94	
2273	1	48	13	2	6	12	1	
2274	1	1	3	4	1	172	1	
2275	1	2	13	19	1	22	1	
2276	1	18	7	2	6	1	39	
2277	1	1	151	4	6	3	1	
2278	1	2	14	7	1	12	11	
2279	1	2	6	4	1	2	99	
2280	1	7	6	4	15	2	13	
2281	1	1	7	2	5	1	1	
2282	110	1	13	128	6	2	11	
2283	1	2	3	4	15	24	32	
2284	4	6	14	28	1	173	1	
2285	12	4	13	4	15	6	1	
2286	1	2	3	4	1	6	85	
2287	8	4	13	4	1	8	1	
2288	4	4	13	28	1	12	11	
2289	9	2	13	14	3	6	11	
2290	1	23	13	4	15	6	1	
2291	1	1	13	2	5	19	1	
2292	1	2	24	4	1	33	1	
2293	1	16	14	1	1	22	1	
2294	1	1	13	4	30	2	1	
2295	1	1	7	4	5	125	1	
2296	4	23	3	4	6	35	1	
2297	1	16	13	4	3	6	2	
2298	1	7	6	4	197	9	13	
2299	4	29	3	28	15	9	1	
2300	1	2	14	2	1	9	1	
2301	1	1	3	21	29	22	13	
2302	1	1	7	2	1	1	1	
2303	4	16	3	4	1	22	1	
2304	1	1	153	2	6	1	1	
2305	1	7	3	21	1	2	13	
2306	1	1	13	2	5	6	1	
2307	1	1	13	4	5	1	1	
2308	1	1	10	2	6	1	1	
2309	1	1	13	2	6	170	1	
2310	1	1	13	2	5	1	39	
2311	1	1	154	2	1	1	1	
2312	1	1	7	2	6	1	1	
2313	1	1	25	2	1	1	1	
2314	1	12	34	2	5	2	100	
2315	1	18	152	1	5	1	3	
2316	3	4	4	1	1	42	3	
2317	12	4	3	4	1	58	1	
2318	1	48	13	4	1	22	1	
2319	1	12	13	4	8	2	1	
2320	1	3	1	1	1	8	2	
2321	112	1	13	4	5	2	1	
2322	1	1	3	4	5	2	1	
2323	15	2	13	2	8	2	11	
2324	1	1	2	1	3	42	3	
2325	113	15	13	2	200	27	1	
2326	1	1	2	1	3	42	1	
2327	12	1	22	2	1	2	1	
2328	12	1	3	2	1	144	1	
2329	12	4	23	4	1	222	1	
2330	12	4	27	4	1	19	1	
2331	12	4	3	19	15	231	1	
2332	15	15	3	2	6	163	1	
2333	15	15	3	2	6	8	1	
2334	15	1	13	2	8	12	1	
2335	15	28	3	2	15	6	1	
2336	15	2	159	4	1	224	96	
2337	15	2	3	2	15	223	1	
2338	15	4	3	2	15	6	1	
2339	1	15	27	4	1	6	1	
2340	1	15	3	129	8	6	1	
2341	1	15	3	22	1	166	1	
2342	1	15	3	2	5	166	1	
2343	1	16	23	19	8	2	1	
2344	1	16	25	4	8	3	1	
2345	1	16	3	2	3	207	1	
2346	1	177	13	4	6	165	11	
2347	1	183	3	2	8	6	1	
2348	1	1	13	4	6	215	1	
2349	1	1	13	4	8	9	1	
2350	1	1	24	4	1	172	1	
2351	1	1	3	4	1	225	1	
2352	1	1	3	4	8	124	11	
2353	1	1	6	2	1	38	1	
2354	1	23	14	4	1	150	1	
2355	1	28	6	4	1	176	94	
2356	1	2	13	14	1	6	1	
2357	1	2	13	2	1	3	1	
2358	1	2	13	4	1	232	1	
2359	1	2	13	4	6	2	1	
2360	1	2	14	2	1	229	13	
2361	1	2	25	4	1	19	1	
2362	1	2	27	4	1	3	1	
2363	1	2	31	2	1	221	11	
2364	1	2	3	126	1	166	1	
2365	1	2	3	126	1	198	1	
2366	1	2	3	126	1	203	1	
2367	1	2	3	126	1	214	1	
2368	1	2	3	126	1	6	1	
2369	1	2	3	14	198	204	1	
2370	1	2	3	1	15	150	1	
2371	1	2	3	2	1	176	1	
2372	1	2	3	2	1	211	1	
2373	1	2	3	2	1	2	11	
2374	1	2	3	4	4	12	1	
2375	1	2	6	14	6	6	4	
2376	1	2	6	2	3	8	1	
2377	1	2	6	4	199	166	1	
2378	1	2	6	4	8	166	1	
2379	1	2	6	4	8	166	56	
2380	1	37	3	2	15	226	101	
2381	1	37	3	2	1	9	1	
2382	1	3	13	4	1	6	1	
